place,date,new_time,log_conc
G2,2022-02-02,1,3.115407236608765
G2,2022-02-02,1,1.977470931710388
G2,2022-02-02,1,3.153785620061175
G2,2022-02-07,6,3.960544088446111
G2,2022-02-07,6,3.568752114723585
G2,2022-02-07,6,3.4790489274158936
G2,2022-02-09,8,2.18093160140226
G2,2022-02-09,8,2.177640866269466
G2,2022-02-09,8,1.731195646500818
G2,2022-02-11,10,1.897838009744324
G2,2022-02-11,10,1.353330968459527
G2,2022-02-16,15,1.056993098694203
G2,2022-02-16,15,1.4098330823799898
G2,2022-02-16,15,1.8999118490038551
G2,2022-02-18,17,1.722816805052124
G2,2022-02-18,17,2.5468954371779162
G2,2022-02-23,22,3.5453572886527653
G2,2022-02-23,22,2.690955584513008
G2,2022-02-23,22,3.0766177111078536
G2,2022-02-28,27,2.117306092992942
G2,2022-03-02,29,3.34390344287441
G2,2022-03-02,29,3.0056934172199874
G2,2022-03-02,29,2.931132500940586
G2,2022-03-04,31,5.550835900491554
G2,2022-03-04,31,5.284847643267222
G2,2022-03-04,31,5.963033308707332
G2,2022-03-14,41,3.5410146914900156
G2,2022-03-14,41,2.5197190612826743
G2,2022-03-30,57,4.087534995325469
G2,2022-04-06,64,4.676287709203213
G2,2022-04-06,64,3.3299790284839954
G2,2022-04-22,80,4.9269342537096295
G2,2022-04-22,80,4.93947888456212
G2,2022-04-22,80,5.772812050580647
G2,2022-04-25,83,2.3864127300077844
G2,2022-04-27,85,3.246248948214077
G2,2022-04-29,87,3.2833648647815963
G2,2022-04-29,87,3.2887597831660145
G2,2022-05-02,90,2.05311548815089
G2,2022-05-04,92,4.5091205469411575
G2,2022-05-04,92,4.792098954928948
G2,2022-05-04,92,5.062835554099454
G2,2022-05-06,94,7.244048365985587
G2,2022-05-06,94,7.496496242285547
G2,2022-05-06,94,7.286892461587677
G2,2022-05-09,97,6.813003444524035
G2,2022-05-09,97,6.976602839111904
G2,2022-05-09,97,6.740827559270948
G2,2022-05-13,101,6.990587092251243
G2,2022-05-13,101,7.545621321634163
G2,2022-05-13,101,7.336096259675761
G2,2022-05-18,106,3.766407835670937
G2,2022-05-18,106,3.5575370835457285
G2,2022-05-18,106,3.709041647885793
G2,2022-05-20,108,6.664336262091345
G2,2022-05-20,108,6.366570318517381
G2,2022-05-20,108,6.534022460641434
G2,2022-05-23,111,4.045913508939635
G2,2022-05-23,111,4.29872644972959
G2,2022-05-23,111,2.2939481731508966
