time,total_conc,total_conc_I1,total_conc_I2,total_conc_I3,total_conc_I4,total_conc_I5,total_conc_I6,total_conc_I7,total_conc_R1,total_conc_R2,num_I1,num_I2,num_I3,num_I4,num_I5,num_I6,num_I7,num_R1,num_R2,sim
0,11862.349625768262,11862.349625768262,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,NA,1
0.25,11862.349625768262,11862.349625768262,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,NA,1
0.5,11862.349625768262,11862.349625768262,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,NA,1
0.75,11862.349625768262,11862.349625768262,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,NA,1
1,189797.59401229228,0,0,189797.59401229228,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,NA,1
1.25,189797.59401229228,0,0,189797.59401229228,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,NA,1
1.5,189797.59401229228,0,0,189797.59401229228,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,NA,1
1.75,189797.59401229228,0,0,189797.59401229228,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,NA,1
2,189797.59401229228,0,0,189797.59401229228,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,NA,1
2.25,189797.59401229228,0,0,189797.59401229228,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,NA,1
2.5,189797.59401229228,0,0,189797.59401229228,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,NA,1
2.75,189797.59401229228,0,0,189797.59401229228,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,NA,1
3,94898.79700614612,0,0,0,94898.79700614612,0,0,0,0,NA,0,0,0,1,0,0,0,0,NA,1
3.25,94898.79700614612,0,0,0,94898.79700614612,0,0,0,0,NA,0,0,0,1,0,0,0,0,NA,1
3.5,47449.39850307306,0,0,0,0,47449.39850307306,0,0,0,NA,0,0,0,0,1,0,0,0,NA,1
3.75,47449.39850307306,0,0,0,0,47449.39850307306,0,0,0,NA,0,0,0,0,1,0,0,0,NA,1
4,47449.39850307306,0,0,0,0,47449.39850307306,0,0,0,NA,0,0,0,0,1,0,0,0,NA,1
4.25,47449.39850307306,0,0,0,0,47449.39850307306,0,0,0,NA,0,0,0,0,1,0,0,0,NA,1
4.5,47449.39850307306,0,0,0,0,47449.39850307306,0,0,0,NA,0,0,0,0,1,0,0,0,NA,1
4.75,47449.39850307306,0,0,0,0,47449.39850307306,0,0,0,NA,0,0,0,0,1,0,0,0,NA,1
5,47449.39850307306,0,0,0,0,47449.39850307306,0,0,0,NA,0,0,0,0,1,0,0,0,NA,1
5.25,47449.39850307306,0,0,0,0,47449.39850307306,0,0,0,NA,0,0,0,0,1,0,0,0,NA,1
5.5,23724.699251536527,0,0,0,0,0,23724.699251536527,0,0,NA,0,0,0,0,0,1,0,0,NA,1
5.75,11862.349625768262,0,0,0,0,0,0,11862.349625768262,0,NA,0,0,0,0,0,0,1,0,NA,1
6,11862.349625768262,0,0,0,0,0,0,11862.349625768262,0,NA,0,0,0,0,0,0,1,0,NA,1
6.25,11862.349625768262,0,0,0,0,0,0,11862.349625768262,0,NA,0,0,0,0,0,0,1,0,NA,1
6.5,NA,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,1
6.75,NA,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,1
7,NA,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,NA,1
0,492345.8264613487,492345.8264613487,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,NA,2
0.25,492345.8264613487,492345.8264613487,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,NA,2
0.5,492345.8264613487,492345.8264613487,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,NA,2
0.75,492345.8264613487,492345.8264613487,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,NA,2
