seed,time,total_conc,total_conc_I1,total_conc_I2,total_conc_I3,total_conc_I4,total_conc_I5,total_conc_I6,total_conc_I7,total_conc_R1,total_conc_R2,num_I1,num_I2,num_I3,num_I4,num_I5,num_I6,num_I7,num_R1,num_R2,sim,log_genes_mean,log_gene_copies1,log_gene_copies2,log_gene_copies3,log_gene_copies4,log_gene_copies5,log_gene_copies6,log_gene_copies7,log_gene_copies8,log_gene_copies9,log_gene_copies10,log_mean_copiesten,log_mean_copiesthree,new_time,everyother,week
1,1,76603.61510855205,2387.945171433636,74215.66993711841,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,4.233283754603704,3.920056849232538,3.620977447154526,4.953862608025845,5.122498398341429,4.779118232371385,3.6879969627362756,4.421401493168446,3.9051940162180308,4.678972375763023,4.202039513439539,4.458491216131793,4.337285133949636,1,TRUE,0
1,3,233313.00191066714,33089.483268774995,189733.57562916848,0,9491.084325627266,0,998.8586870963939,0,0,0,4,5,0,2,0,1,0,0,0,1,5.347020392252453,4.929206086047429,5.036837053640391,5.55300774841121,5.729819891831386,5.2919410110110245,4.904211605923473,5.200372925377021,6.125046710303564,5.5460821311699195,5.898840901463861,5.501713491767346,5.211786469581386,3,TRUE,0
1,5,234664.2420380634,2136.151405161109,10116.516101176998,43019.30631782074,127088.97327257865,35659.26190800711,0,861.5726086862206,15782.460424632602,0,3,3,1,4,2,0,2,1,0,1,5.352795219554567,5.517549105462248,4.897334395278344,5.557496139380034,5.327512368833432,6.149252096414164,7.257933559909899,6.049718127641077,5.81808142382469,5.69066717787571,4.875886989486791,5.972088814780494,5.366177458919844,5,TRUE,0
1,7,182882.6004177464,1558.4273730426617,0,7674.052575048724,140852.8926061999,3617.717975781499,2153.84282703432,10902.956147948058,16032.1750964067,90.53581628450588,1,0,2,5,2,1,4,2,1,1,5.103483903544724,5.347198429758967,4.776191581585315,5.89677812026571,5.550320754757481,4.745919703210783,5.257267215755451,4.046316329642895,4.119886229019244,5.059990736515977,4.670117138819265,5.099843142257839,5.441744983300311,7,TRUE,0
1,9,94862.65482545624,10362.197803636318,6196.729115454911,459.32308576159187,36927.40527846128,103.20185570700173,1414.8599014423528,19019.370692297398,20288.381968157835,91.18512453754391,7,1,1,4,1,3,5,4,2,1,4.447069591174772,4.734960267001519,4.805423329183375,3.304451823528539,5.432738284286848,4.9842900703137225,4.620896415585753,4.038989280798029,4.677644171428153,4.531314673078785,4.558254838602454,4.693461497929457,4.474544062517013,9,TRUE,1
1,11,234471.49720074568,8.475977741146204,84006.51627993694,84255.03714964993,21668.810967889287,17263.48145398352,334.5125485435515,1736.7103376005543,21011.028918461056,4186.923566939635,1,5,3,3,5,2,2,5,6,1,5.351973517722703,6.1078641019481275,5.5440661966358755,5.685506601105449,6.179046168860197,5.0504748659201555,5.390625079091165,5.804326033364108,4.130817857181992,5.241526218914482,6.049100038231722,5.657486919700669,5.808803510586169,11,TRUE,1
1,13,272451.29485012655,43613.09007222707,8434.961879515431,109868.28582859857,74756.02818713085,6317.78711382267,6183.91099376988,522.9522321494323,22351.572713967194,402.70582894535943,5,3,4,3,1,2,3,11,4,1,5.50209934797561,5.191479057704709,5.184231121001122,5.495399586402656,5.543582214768567,5.293988332210514,4.910478227759276,5.331565858156709,5.829625347218983,5.496636502552046,5.832364988232256,5.448545680829998,5.301211887337058,13,TRUE,1
1,15,876130.8268186005,391.29995682291303,40579.58425118939,736954.6700404814,33372.08606766231,21247.578056285904,19611.73015065652,0,23186.241397146237,787.6368983561043,6,1,4,2,6,5,0,13,5,1,6.670154909810943,7.232620368882497,7.386296029081775,6.587966993926109,6.157880670043713,6.486839436959764,7.165955427840626,6.934308765969143,6.316370793502295,5.3720992155859575,6.2044147604455215,6.737921041779946,7.1239049888109,15,TRUE,2
1,17,184470.23854416856,979.5172541093508,30034.152760530957,1165.7873824384283,54196.8412678909,16556.21456574566,1590.1559684872814,49901.013057150005,29376.33909507656,670.2171927394155,6,3,2,4,2,2,5,19,5,1,5.112127626107414,5.104032494557941,5.008437254306432,4.912004254118592,5.633933855285505,5.833037831207349,4.425771990642829,5.043790948248476,5.067128285783539,4.5686732176186995,4.067957443352998,5.089832742072221,5.011228138603022,17,TRUE,2
1,19,200134.98737537832,524.3983641136896,67962.22179501895,54543.4574721645,2720.315869348752,2550.7546081011424,12974.215381616808,10743.787351438896,47467.30262473333,648.533908842247,7,7,4,2,4,3,4,20,7,1,5.193631560099643,5.604242157648687,5.0336351258253895,5.687550693827083,4.966563105522463,4.9995478071389625,5.773343823527419,4.445317982921746,4.631903091544566,5.691272463745927,4.422930276646014,5.247693709277671,5.480966319885663,19,TRUE,2
