place,date,new_time,log_conc
E,2022-02-23,8,1.439206253807676
E,2022-02-23,8,1.404770515903017
E,2022-04-01,45,3.863916112855502
E,2022-04-01,45,3.7614973154788194
E,2022-04-01,45,2.3878590351007696
E,2022-04-15,59,6.397302540019299
E,2022-04-15,59,6.433743383037628
E,2022-04-15,59,6.186761316816634
E,2022-05-23,97,5.998804730676678
E,2022-05-23,97,5.934141310950287
E,2022-05-23,97,6.039665826966698
G1,2022-02-02,1,4.1542049427472065
G1,2022-02-02,1,3.3692097617328103
G1,2022-02-02,1,3.827692569538616
G2,2022-02-02,1,3.115407236608765
G2,2022-02-02,1,1.977470931710388
G2,2022-02-02,1,3.153785620061175
G2,2022-02-07,6,3.960544088446111
G2,2022-02-07,6,3.568752114723585
G2,2022-02-07,6,3.4790489274158936
G1,2022-02-09,8,0.8991572146683328
G1,2022-02-09,8,0.7617917876765671
G2,2022-02-09,8,2.18093160140226
G2,2022-02-09,8,2.177640866269466
G2,2022-02-09,8,1.731195646500818
G1,2022-02-11,10,2.262179063927331
G2,2022-02-11,10,1.897838009744324
G2,2022-02-11,10,1.353330968459527
G2,2022-02-16,15,1.056993098694203
G2,2022-02-16,15,1.4098330823799898
G2,2022-02-16,15,1.8999118490038551
E,2022-02-16,1,1.6938807277584214
G2,2022-02-18,17,1.722816805052124
G2,2022-02-18,17,2.5468954371779162
G1,2022-02-23,22,5.14221476830021
G1,2022-02-23,22,4.687437043022052
G1,2022-02-23,22,4.520480600825313
G2,2022-02-23,22,3.5453572886527653
G2,2022-02-23,22,2.690955584513008
G2,2022-02-23,22,3.0766177111078536
G1,2022-02-25,24,4.368431754515566
G1,2022-02-25,24,4.070726464296522
G1,2022-02-25,24,4.436847049683052
G2,2022-02-28,27,2.117306092992942
E,2022-02-28,13,2.9437797798370333
G1,2022-03-02,29,2.6088047708803193
G1,2022-03-02,29,2.5016077541934387
G2,2022-03-02,29,3.34390344287441
G2,2022-03-02,29,3.0056934172199874
G2,2022-03-02,29,2.931132500940586
E,2022-03-02,15,1.903249994278157
E,2022-03-02,15,1.992462345263315
G1,2022-03-04,31,3.6094440968408006
G1,2022-03-04,31,2.56819144007361
G2,2022-03-04,31,5.550835900491554
G2,2022-03-04,31,5.284847643267222
G2,2022-03-04,31,5.963033308707332
E,2022-03-04,17,3.922751434474484
E,2022-03-04,17,4.25868556079337
E,2022-03-04,17,4.451599689105487
G1,2022-03-07,34,1.94421907199016
G1,2022-03-07,34,2.5041091460611837
G1,2022-03-07,34,3.062491837130961
G1,2022-03-09,36,2.4037053569777167
G1,2022-03-09,36,2.982073189043327
G1,2022-03-09,36,3.1308244281181863
G2,2022-03-14,41,3.5410146914900156
G2,2022-03-14,41,2.5197190612826743
E,2022-03-18,31,2.9244822126019403
G1,2022-03-21,48,5.383259672485695
G1,2022-03-21,48,5.270623624934162
G1,2022-03-21,48,5.133425757411995
G1,2022-03-23,50,4.593661580912039
G1,2022-03-23,50,4.1665036310564
G1,2022-03-23,50,4.069160616388984
G1,2022-03-28,55,3.1038774552778747
G1,2022-03-30,57,2.3653725440904494
G2,2022-03-30,57,4.087534995325469
E,2022-03-30,43,5.947334304332755
E,2022-03-30,43,5.776274198193043
E,2022-03-30,43,5.689233743584549
G1,2022-04-01,59,2.2726113201411056
G1,2022-04-04,62,4.030087529640686
G1,2022-04-06,64,3.464489180652036
G1,2022-04-06,64,3.121520569000628
G1,2022-04-06,64,3.063911306697672
G2,2022-04-06,64,4.676287709203213
G2,2022-04-06,64,3.3299790284839954
E,2022-04-06,50,4.867508772433597
E,2022-04-06,50,4.570807001086531
E,2022-04-06,50,4.679671216741303
E,2022-04-08,52,5.816313813297774
E,2022-04-08,52,5.566672411173278
E,2022-04-08,52,5.085385008717796
G1,2022-04-11,69,3.785723696869037
G1,2022-04-11,69,5.081497174963198
G1,2022-04-11,69,3.9985171418719454
E,2022-04-11,55,4.225115435951325
E,2022-04-11,55,4.258681236503674
E,2022-04-11,55,3.850064944251472
G1,2022-04-13,71,5.169247739712066
G1,2022-04-13,71,5.4670430869800475
G1,2022-04-13,71,5.511159298722572
E,2022-04-13,57,3.580407419085422
E,2022-04-18,62,8.103172019564623
E,2022-04-18,62,8.209457657379987
E,2022-04-18,62,8.183609863477061
G1,2022-04-20,78,2.915308033481224
G1,2022-04-20,78,3.9933617655396856
E,2022-04-20,64,3.3556693826414308
E,2022-04-20,64,2.9836334288169444
G1,2022-04-22,80,5.231549940312677
G1,2022-04-22,80,4.589144087647038
G1,2022-04-22,80,5.009266784781064
G2,2022-04-22,80,4.9269342537096295
G2,2022-04-22,80,4.93947888456212
G2,2022-04-22,80,5.772812050580647
E,2022-04-22,66,2.5811218146667443
G1,2022-04-25,83,4.170415673383052
G1,2022-04-25,83,5.142913066767539
G1,2022-04-25,83,4.59604824480044
G2,2022-04-25,83,2.3864127300077844
E,2022-04-25,69,2.9710650569661383
E,2022-04-25,69,3.586259217404329
G1,2022-04-27,85,5.21787187993662
G1,2022-04-27,85,5.770759542931917
G1,2022-04-27,85,5.4642404041647294
G2,2022-04-27,85,3.246248948214077
E,2022-04-27,71,6.21863390856311
E,2022-04-27,71,6.1830590221947
G1,2022-04-29,87,3.890258015729715
G1,2022-04-29,87,4.046948513696706
G1,2022-04-29,87,4.317757132414154
G2,2022-04-29,87,3.2833648647815963
G2,2022-04-29,87,3.2887597831660145
E,2022-04-29,73,6.8130209991455875
E,2022-04-29,73,6.456925968315443
