time,name,value,.lower,.upper,.width,method
1,Rt,0.5746469622468914,0.49321376853478144,0.6687086497940247,0.5,estim_normal
2,Rt,0.6020253497545551,0.5066119808563677,0.7139937246642984,0.5,estim_normal
3,Rt,0.6325673715312747,0.5207014030502046,0.763870224805099,0.5,estim_normal
4,Rt,0.6595066068164007,0.5420472462848964,0.8111805277703905,0.5,estim_normal
5,Rt,0.6904223637674064,0.5654328846784141,0.8682748773678547,0.5,estim_normal
6,Rt,0.7284588766568496,0.5878591860676765,0.9091598715032694,0.5,estim_normal
7,Rt,0.7742874873029526,0.6256433977466517,0.9665516224014634,0.5,estim_normal
8,Rt,0.8254193388436992,0.6582640898608594,1.0457428476915265,0.5,estim_normal
9,Rt,0.8833035672967763,0.7031276083844276,1.127474560378782,0.5,estim_normal
10,Rt,0.9314045444648766,0.7484661335767895,1.1670728003132695,0.5,estim_normal
11,Rt,0.9788736276600868,0.7844188134061245,1.2307204600074912,0.5,estim_normal
12,Rt,1.0229203750910416,0.8127043370004645,1.2972532535373498,0.5,estim_normal
13,Rt,1.1015360587388203,0.8521354532914148,1.3891530181551208,0.5,estim_normal
14,Rt,1.145053479090686,0.8874702421266205,1.4782969974748645,0.5,estim_normal
15,Rt,1.1565416063502323,0.9090177965325388,1.5537293052428964,0.5,estim_normal
16,Rt,1.1765360489940557,0.8646007294629947,1.6022865775088082,0.5,estim_normal
1,Rt,0.5746469622468914,0.42020362400053074,0.787891270303228,0.8,estim_normal
2,Rt,0.6020253497545551,0.4220900788751108,0.8699182684252673,0.8,estim_normal
3,Rt,0.6325673715312747,0.42993189160974016,0.9420249243202223,0.8,estim_normal
4,Rt,0.6595066068164007,0.44888566911346944,1.0019602876559888,0.8,estim_normal
5,Rt,0.6904223637674064,0.472229585111294,1.0836463446653353,0.8,estim_normal
6,Rt,0.7284588766568496,0.48650912360745696,1.1270455963023212,0.8,estim_normal
7,Rt,0.7742874873029526,0.5145880062886988,1.1975621066790518,0.8,estim_normal
8,Rt,0.8254193388436992,0.5479265150856134,1.3022821983351762,0.8,estim_normal
9,Rt,0.8833035672967763,0.5901868191762046,1.3953590392798862,0.8,estim_normal
10,Rt,0.9314045444648766,0.6228019221170578,1.4501133965314295,0.8,estim_normal
11,Rt,0.9788736276600868,0.6458937249080418,1.5354576494858734,0.8,estim_normal
12,Rt,1.0229203750910416,0.6618403182420765,1.6083003060477359,0.8,estim_normal
13,Rt,1.1015360587388203,0.6899560031728182,1.746089202619706,0.8,estim_normal
14,Rt,1.145053479090686,0.7030972618448045,1.8680913913143329,0.8,estim_normal
15,Rt,1.1565416063502323,0.7001496817787431,2.012734617738535,0.8,estim_normal
16,Rt,1.1765360489940557,0.6779466861930146,2.111653254514373,0.8,estim_normal
1,Rt,0.5746469622468914,0.3313812102716667,0.9964431266562741,0.95,estim_normal
2,Rt,0.6020253497545551,0.32838180700869607,1.1243672318821998,0.95,estim_normal
3,Rt,0.6325673715312747,0.3383895500278179,1.2125651935137942,0.95,estim_normal
4,Rt,0.6595066068164007,0.3537062750220506,1.319268697307438,0.95,estim_normal
5,Rt,0.6904223637674064,0.3640628487361106,1.409759218751251,0.95,estim_normal
6,Rt,0.7284588766568496,0.3778654850405267,1.4326599126991717,0.95,estim_normal
7,Rt,0.7742874873029526,0.43048623905888583,1.5303264176894857,0.95,estim_normal
8,Rt,0.8254193388436992,0.46251727445472823,1.6624130297336055,0.95,estim_normal
9,Rt,0.8833035672967763,0.4903069822164786,1.7332040483446431,0.95,estim_normal
10,Rt,0.9314045444648766,0.5217008575001163,1.7828639600674019,0.95,estim_normal
11,Rt,0.9788736276600868,0.5292934250654993,1.9667647847794054,0.95,estim_normal
12,Rt,1.0229203750910416,0.5453084645024774,2.016320984811512,0.95,estim_normal
13,Rt,1.1015360587388203,0.5576654526483543,2.149473212061857,0.95,estim_normal
14,Rt,1.145053479090686,0.5593594763107761,2.3893845387845007,0.95,estim_normal
15,Rt,1.1565416063502323,0.5592183455252606,2.6543559727611457,0.95,estim_normal
16,Rt,1.1765360489940557,0.543105561921435,2.935188583143614,0.95,estim_normal
