time,name,value,.lower,.upper,.width,method
1,Rt,1.0328259229446712,0.9331056579851524,1.1409711749046059,0.5,estim_normal
2,Rt,1.0359248382111566,0.9273992010302184,1.1602752669147216,0.5,estim_normal
3,Rt,1.0415990692937769,0.9290951071305793,1.1703272205165312,0.5,estim_normal
4,Rt,1.042786625214958,0.9224656157354675,1.1868853981521208,0.5,estim_normal
5,Rt,1.048737299612442,0.9232196341180731,1.1914525481023621,0.5,estim_normal
6,Rt,1.0567511063958934,0.9220619274122024,1.2001950223822262,0.5,estim_normal
7,Rt,1.0616829057370976,0.9253734404924803,1.2176573583908932,0.5,estim_normal
8,Rt,1.07496103910675,0.9359907206955347,1.230245019208792,0.5,estim_normal
9,Rt,1.0849168584572917,0.9561796905079205,1.2628883428525988,0.5,estim_normal
10,Rt,1.0994619858261618,0.970578214255817,1.2816684375128278,0.5,estim_normal
11,Rt,1.1089166041550627,0.9769105408042302,1.2987618094725828,0.5,estim_normal
12,Rt,1.1207587156746133,0.9862023200229824,1.3271256653211487,0.5,estim_normal
13,Rt,1.133859787702887,1.000110540650284,1.3671133437911631,0.5,estim_normal
14,Rt,1.1556278634940917,1.0089056700239907,1.3983770977606604,0.5,estim_normal
15,Rt,1.162854479721398,1.0080598154369902,1.427566103447527,0.5,estim_normal
16,Rt,1.1567352101314792,1.003482053401871,1.432940969429136,0.5,estim_normal
1,Rt,1.0328259229446712,0.8392992249106368,1.2649457529672237,0.8,estim_normal
2,Rt,1.0359248382111566,0.8290652782595673,1.3098434744835779,0.8,estim_normal
3,Rt,1.0415990692937769,0.8186157566518764,1.3252026709085118,0.8,estim_normal
4,Rt,1.042786625214958,0.8115108104564747,1.3575757145453258,0.8,estim_normal
5,Rt,1.048737299612442,0.8002620944172806,1.3776063177127218,0.8,estim_normal
6,Rt,1.0567511063958934,0.8011203842290894,1.404516992099903,0.8,estim_normal
7,Rt,1.0616829057370976,0.8117421261065654,1.4164280409097105,0.8,estim_normal
8,Rt,1.07496103910675,0.833149997020076,1.4482875543978957,0.8,estim_normal
9,Rt,1.0849168584572917,0.8512647077285107,1.470054266393252,0.8,estim_normal
10,Rt,1.0994619858261618,0.864609137054146,1.5017025579480787,0.8,estim_normal
11,Rt,1.1089166041550627,0.8664187000688847,1.5175792689281802,0.8,estim_normal
12,Rt,1.1207587156746133,0.8774051490264911,1.5812361361864953,0.8,estim_normal
13,Rt,1.133859787702887,0.8832532084176747,1.672213287647271,0.8,estim_normal
14,Rt,1.1556278634940917,0.8900521027267039,1.7092430116144095,0.8,estim_normal
15,Rt,1.162854479721398,0.8912791902580817,1.7674149667776657,0.8,estim_normal
16,Rt,1.1567352101314792,0.878654910532911,1.805375825095157,0.8,estim_normal
1,Rt,1.0328259229446712,0.7012310346734874,1.4597601362080879,0.95,estim_normal
2,Rt,1.0359248382111566,0.6550174987247975,1.5716171896068143,0.95,estim_normal
3,Rt,1.0415990692937769,0.6232722806317864,1.6755708373699618,0.95,estim_normal
4,Rt,1.042786625214958,0.6288768390192055,1.7018840918289784,0.95,estim_normal
5,Rt,1.048737299612442,0.6012197043657037,1.739492567335456,0.95,estim_normal
6,Rt,1.0567511063958934,0.6172312124082338,1.7227824784366768,0.95,estim_normal
7,Rt,1.0616829057370976,0.6421982421567145,1.7401081329791348,0.95,estim_normal
8,Rt,1.07496103910675,0.6664070496909231,1.8394894178306844,0.95,estim_normal
9,Rt,1.0849168584572917,0.7162907740709192,1.882507072909876,0.95,estim_normal
10,Rt,1.0994619858261618,0.7297185947801463,1.8770146503978946,0.95,estim_normal
11,Rt,1.1089166041550627,0.7386425492252577,1.8827297011032007,0.95,estim_normal
12,Rt,1.1207587156746133,0.7407234120830073,1.9723909996278368,0.95,estim_normal
13,Rt,1.133859787702887,0.7470662481582647,2.1394740290308274,0.95,estim_normal
14,Rt,1.1556278634940917,0.7645338887798812,2.2214272019577916,0.95,estim_normal
15,Rt,1.162854479721398,0.7527911284676568,2.3419082263625413,0.95,estim_normal
16,Rt,1.1567352101314792,0.7374666353411979,2.423908339863206,0.95,estim_normal
