time,name,value,.lower,.upper,.width,method
1,Rt,1.0556620259849303,0.9529363293985236,1.180265452950258,0.5,estim_normal
2,Rt,1.0730896824028313,0.9564188340975366,1.2030265441021755,0.5,estim_normal
3,Rt,1.0805544145447252,0.9591844178064073,1.233090634457081,0.5,estim_normal
4,Rt,1.0954930435876864,0.9737005914977934,1.2590828735630533,0.5,estim_normal
5,Rt,1.1128493720064163,0.9813639775664923,1.2942835055769915,0.5,estim_normal
6,Rt,1.1323342658519033,0.9862502368841598,1.3205679484670205,0.5,estim_normal
7,Rt,1.1519508105953467,1.004406929528152,1.3563119025435966,0.5,estim_normal
8,Rt,1.1804545051200785,1.0284448855598085,1.3832643394435749,0.5,estim_normal
9,Rt,1.2100858060914041,1.0465183688753883,1.4074262094802943,0.5,estim_normal
10,Rt,1.225395473517135,1.0670237416692858,1.4318992512385689,0.5,estim_normal
11,Rt,1.2350351627567768,1.0820249013774084,1.4444377914064954,0.5,estim_normal
12,Rt,1.2577000491425319,1.0920888982074917,1.4760367441500235,0.5,estim_normal
13,Rt,1.2902626525438516,1.1155549510010534,1.5392462403180873,0.5,estim_normal
14,Rt,1.3176073225049003,1.1293679217495467,1.5868812253648203,0.5,estim_normal
15,Rt,1.3462919853426505,1.1357761418691057,1.631903504366315,0.5,estim_normal
16,Rt,1.3345228239556404,1.1194249658007094,1.6473217422617568,0.5,estim_normal
1,Rt,1.0556620259849303,0.8467891975514931,1.3282393961869723,0.8,estim_normal
2,Rt,1.0730896824028313,0.8375510006360948,1.3708674112392025,0.8,estim_normal
3,Rt,1.0805544145447252,0.8246862943810377,1.4172139125219498,0.8,estim_normal
4,Rt,1.0954930435876864,0.831539081941133,1.4657375661969703,0.8,estim_normal
5,Rt,1.1128493720064163,0.8466230267515701,1.5117645554026824,0.8,estim_normal
6,Rt,1.1323342658519033,0.8554625041689151,1.5361104686854623,0.8,estim_normal
7,Rt,1.1519508105953467,0.8868937090960094,1.5775828068066364,0.8,estim_normal
8,Rt,1.1804545051200785,0.902857157610923,1.5994941808268248,0.8,estim_normal
9,Rt,1.2100858060914041,0.9404526125098709,1.663259123130543,0.8,estim_normal
10,Rt,1.225395473517135,0.9501326097102011,1.6562562254966269,0.8,estim_normal
11,Rt,1.2350351627567768,0.9429081904475302,1.696418068581177,0.8,estim_normal
12,Rt,1.2577000491425319,0.9619257785851786,1.7017103907672673,0.8,estim_normal
13,Rt,1.2902626525438516,0.989017126762275,1.7989937831601013,0.8,estim_normal
14,Rt,1.3176073225049003,0.9967272218297478,1.8627747214374353,0.8,estim_normal
15,Rt,1.3462919853426505,0.9881514280901789,1.9524803775002932,0.8,estim_normal
16,Rt,1.3345228239556404,0.9637899486545378,2.0140033758063653,0.8,estim_normal
1,Rt,1.0556620259849303,0.7236672051693868,1.5622599410892348,0.95,estim_normal
2,Rt,1.0730896824028313,0.6831366506407456,1.6714513720750306,0.95,estim_normal
3,Rt,1.0805544145447252,0.6498073480652334,1.7435860170604003,0.95,estim_normal
4,Rt,1.0954930435876864,0.6692683976886212,1.788847437524506,0.95,estim_normal
5,Rt,1.1128493720064163,0.6608632684267848,1.8541414528413713,0.95,estim_normal
6,Rt,1.1323342658519033,0.669100439321151,1.8591812456220838,0.95,estim_normal
7,Rt,1.1519508105953467,0.7157348329408242,1.90821109916611,0.95,estim_normal
8,Rt,1.1804545051200785,0.7400103206134087,1.9721329647298869,0.95,estim_normal
9,Rt,1.2100858060914041,0.7682667070668372,1.9524328259892043,0.95,estim_normal
10,Rt,1.225395473517135,0.8092064271928103,2.0108445037162372,0.95,estim_normal
11,Rt,1.2350351627567768,0.835670881883606,2.033075991527047,0.95,estim_normal
12,Rt,1.2577000491425319,0.8475017093730332,2.029738395149491,0.95,estim_normal
13,Rt,1.2902626525438516,0.862883096622587,2.1296332953816224,0.95,estim_normal
14,Rt,1.3176073225049003,0.8681125126064231,2.3054793370218256,0.95,estim_normal
15,Rt,1.3462919853426505,0.8475885318908583,2.455510178997414,0.95,estim_normal
16,Rt,1.3345228239556404,0.809446879026713,2.573754771247227,0.95,estim_normal
