time,name,value,.lower,.upper,.width,method
1,Rt,1.0618788223198785,0.9516618144995297,1.1856641765859357,0.5,estim_normal
2,Rt,1.0746706378054034,0.9456721304055249,1.2140073707269503,0.5,estim_normal
3,Rt,1.084852807282521,0.9571142551751544,1.2412221132661854,0.5,estim_normal
4,Rt,1.1102410077649718,0.9636419417904063,1.2566205241846977,0.5,estim_normal
5,Rt,1.1195624088912575,0.9740916921826019,1.2873131265453805,0.5,estim_normal
6,Rt,1.1325550782511706,0.9805458314560028,1.3041881018444568,0.5,estim_normal
7,Rt,1.1650027329975923,1.0203326279356575,1.3380250949011712,0.5,estim_normal
8,Rt,1.2170083168967727,1.0616835711029469,1.397529398831381,0.5,estim_normal
9,Rt,1.2519366907398026,1.0939733774876363,1.4504191333692789,0.5,estim_normal
10,Rt,1.2837856731326114,1.114972961528462,1.4798479458825176,0.5,estim_normal
11,Rt,1.3343419560329104,1.1612043612656717,1.5448800385425767,0.5,estim_normal
12,Rt,1.3843192892783294,1.200411518757381,1.6205794050085887,0.5,estim_normal
13,Rt,1.4037575314363875,1.2121018491606232,1.6530882990861504,0.5,estim_normal
14,Rt,1.3902718565760992,1.2026173018548516,1.6276145766573464,0.5,estim_normal
15,Rt,1.3447246267780486,1.162361261244475,1.583150938544797,0.5,estim_normal
16,Rt,1.334546663434716,1.1426269684506543,1.6130560847087465,0.5,estim_normal
1,Rt,1.0618788223198785,0.8307325168868636,1.327114157683651,0.8,estim_normal
2,Rt,1.0746706378054034,0.8294430080371531,1.3810418480223263,0.8,estim_normal
3,Rt,1.084852807282521,0.8242139692627833,1.414190192438493,0.8,estim_normal
4,Rt,1.1102410077649718,0.8090465426501702,1.461070315905529,0.8,estim_normal
5,Rt,1.1195624088912575,0.8292615601042636,1.494054567871866,0.8,estim_normal
6,Rt,1.1325550782511706,0.843036345277334,1.5088263492928735,0.8,estim_normal
7,Rt,1.1650027329975923,0.8861102182849608,1.5587578825982933,0.8,estim_normal
8,Rt,1.2170083168967727,0.9335541608746903,1.6184071711134203,0.8,estim_normal
9,Rt,1.2519366907398026,0.968918471086181,1.706988497140159,0.8,estim_normal
10,Rt,1.2837856731326114,0.9931449490927348,1.7358604536230304,0.8,estim_normal
11,Rt,1.3343419560329104,1.0383394551192098,1.8104652415584161,0.8,estim_normal
12,Rt,1.3843192892783294,1.0580160922742907,1.9191826251846043,0.8,estim_normal
13,Rt,1.4037575314363875,1.0736583604768903,1.9423122115339162,0.8,estim_normal
14,Rt,1.3902718565760992,1.0496049354431947,1.8820616274303212,0.8,estim_normal
15,Rt,1.3447246267780486,1.0226617335966548,1.8493364112972617,0.8,estim_normal
16,Rt,1.334546663434716,0.9958883061315539,1.941746998583233,0.8,estim_normal
1,Rt,1.0618788223198785,0.6526563950771433,1.600083632193649,0.95,estim_normal
2,Rt,1.0746706378054034,0.623436112880061,1.6718763731784063,0.95,estim_normal
3,Rt,1.084852807282521,0.6198050003044611,1.724405480268541,0.95,estim_normal
4,Rt,1.1102410077649718,0.6158414879620513,1.7235484706826687,0.95,estim_normal
5,Rt,1.1195624088912575,0.6230860239626982,1.797137064893514,0.95,estim_normal
6,Rt,1.1325550782511706,0.6481141560612677,1.8034662688259786,0.95,estim_normal
7,Rt,1.1650027329975923,0.6914059103412955,1.9214383597148872,0.95,estim_normal
8,Rt,1.2170083168967727,0.7593361431842114,2.0457269046902997,0.95,estim_normal
9,Rt,1.2519366907398026,0.8073221423399051,2.0324309538905134,0.95,estim_normal
10,Rt,1.2837856731326114,0.8512587829642055,2.0695812936721447,0.95,estim_normal
11,Rt,1.3343419560329104,0.9010032127076972,2.1596637193840262,0.95,estim_normal
12,Rt,1.3843192892783294,0.9475875242694366,2.284028891308217,0.95,estim_normal
13,Rt,1.4037575314363875,0.9565683965514858,2.325648042808113,0.95,estim_normal
14,Rt,1.3902718565760992,0.9249770746660193,2.2379144344869237,0.95,estim_normal
15,Rt,1.3447246267780486,0.8942229087210637,2.239927835325322,0.95,estim_normal
16,Rt,1.334546663434716,0.8339084344134936,2.378830562578272,0.95,estim_normal
