time,name,value,.lower,.upper,.width,method
1,Rt,1.0739943808365464,0.9386816990775229,1.2127817449867366,0.5,estim_normal
2,Rt,1.0988730709972865,0.9551669366207721,1.2470815316158856,0.5,estim_normal
3,Rt,1.1206909318269789,0.964743258029086,1.296010713657874,0.5,estim_normal
4,Rt,1.1415823657985258,0.9809574784652513,1.3193329585695142,0.5,estim_normal
5,Rt,1.1661837079963777,0.9950109399629306,1.3532749690017991,0.5,estim_normal
6,Rt,1.1938607044393028,1.0260724176614031,1.3870048985234553,0.5,estim_normal
7,Rt,1.2480307055640827,1.0832051559581546,1.442437787345086,0.5,estim_normal
8,Rt,1.3185243602851027,1.1478214892654983,1.5398375663661072,0.5,estim_normal
9,Rt,1.3685910189757369,1.1858287319523209,1.590074813969271,0.5,estim_normal
10,Rt,1.4075654304119372,1.2218422628442265,1.6179186982516447,0.5,estim_normal
11,Rt,1.4772323947438282,1.2873229572305998,1.694936813293003,0.5,estim_normal
12,Rt,1.565802095243349,1.3644010995520544,1.8022217496861113,0.5,estim_normal
13,Rt,1.598702097680273,1.3898150977515547,1.8444541263865708,0.5,estim_normal
14,Rt,1.545126564088031,1.357144085469919,1.7705924536986946,0.5,estim_normal
15,Rt,1.478081714489942,1.2885207082207568,1.7057494326526486,0.5,estim_normal
16,Rt,1.4714050551610929,1.251839001499915,1.7516279890568092,0.5,estim_normal
1,Rt,1.0739943808365464,0.817656315797167,1.3605021549382277,0.8,estim_normal
2,Rt,1.0988730709972865,0.8032762079255995,1.4285774082118705,0.8,estim_normal
3,Rt,1.1206909318269789,0.7987595463893747,1.4916295911850328,0.8,estim_normal
4,Rt,1.1415823657985258,0.8014049787084775,1.5598443667210813,0.8,estim_normal
5,Rt,1.1661837079963777,0.8316696453738286,1.5722926074326748,0.8,estim_normal
6,Rt,1.1938607044393028,0.8632523467039177,1.5915706242420844,0.8,estim_normal
7,Rt,1.2480307055640827,0.9232140113857974,1.6765118182578227,0.8,estim_normal
8,Rt,1.3185243602851027,0.9978184616472797,1.7959386641766277,0.8,estim_normal
9,Rt,1.3685910189757369,1.0505945126004783,1.8481773862681403,0.8,estim_normal
10,Rt,1.4075654304119372,1.0895088476792902,1.8567644081804364,0.8,estim_normal
11,Rt,1.4772323947438282,1.152321252997378,1.9655060095107124,0.8,estim_normal
12,Rt,1.565802095243349,1.2103188410297856,2.081512697922112,0.8,estim_normal
13,Rt,1.598702097680273,1.2305333716252604,2.104661333691254,0.8,estim_normal
14,Rt,1.545126564088031,1.2126863503372467,2.00700817936579,0.8,estim_normal
15,Rt,1.478081714489942,1.1315089575151032,1.9299857549777113,0.8,estim_normal
16,Rt,1.4714050551610929,1.0683720216419232,2.0509370258283424,0.8,estim_normal
1,Rt,1.0739943808365464,0.6489206945634202,1.6133110482163986,0.95,estim_normal
2,Rt,1.0988730709972865,0.6121438973768737,1.7592610165272347,0.95,estim_normal
3,Rt,1.1206909318269789,0.5926529724003785,1.834270322812,0.95,estim_normal
4,Rt,1.1415823657985258,0.5765195091545271,1.8952096151600955,0.95,estim_normal
5,Rt,1.1661837079963777,0.5975737531298364,1.9581488089909582,0.95,estim_normal
6,Rt,1.1938607044393028,0.6242964484301508,1.9520731312993234,0.95,estim_normal
7,Rt,1.2480307055640827,0.7124371699408362,1.9611969977556392,0.95,estim_normal
8,Rt,1.3185243602851027,0.8022468567244035,2.153308200739613,0.95,estim_normal
9,Rt,1.3685910189757369,0.8506382474708096,2.1645098492425774,0.95,estim_normal
10,Rt,1.4075654304119372,0.923070126261405,2.199586898231864,0.95,estim_normal
11,Rt,1.4772323947438282,1.0059982366288738,2.321208659577446,0.95,estim_normal
12,Rt,1.565802095243349,1.0559478853843607,2.4807480097681864,0.95,estim_normal
13,Rt,1.598702097680273,1.0942556198850493,2.471031140138437,0.95,estim_normal
14,Rt,1.545126564088031,1.0582670548410926,2.320013981611158,0.95,estim_normal
15,Rt,1.478081714489942,0.9611427617137017,2.2165330215626327,0.95,estim_normal
16,Rt,1.4714050551610929,0.8583812960636183,2.484505738164716,0.95,estim_normal
