seed,min_rhat,max_rhat,min_ess_bulk,max_ess_bulk,min_ess_tail,max_ess_tail
1,0.9979086679050756,1.022904999792723,550.2378297381771,1744.406630638206,173.85103161137528,1009.2979165029714
2,0.9969868857000131,1.013505209578599,769.5582578503022,2013.9438454230865,498.2951141094349,1084.8984200364478
3,0.9984093904301488,1.01574640137079,584.4454952342293,1211.0688279364772,214.3181635735624,1007.7680207014654
4,0.9972981398907976,1.0138741774453006,1030.9536989367527,2203.6628023800827,594.5183655396819,1079.5160429394066
5,0.9972471336062524,1.0135790994540976,408.0478118859719,1306.4852878039503,180.8067411434233,1038.3888098935745
6,0.9982327873256596,1.0155618439970986,802.1284207033441,1697.116452550007,527.5008644677365,1084.8965175629396
7,0.997362293334954,1.013654075365593,849.1079020192185,1763.2933634660355,354.512387880092,1076.2069062248977
8,0.9982175188644208,1.016597998619677,730.7807710080355,1716.3236712810829,361.55394607589784,1000.8432959067736
9,0.9975093843342788,1.0156283687481855,557.9889679836182,1546.8195104004797,486.52893016513696,962.396402278449
10,0.9994195603354582,1.0050280075698,2244.434746650547,4625.673502060901,806.6541823362082,3993.8168354855657
11,0.9977035932330868,1.031674639154046,342.3878275563815,1587.8050530683788,130.34092856040218,1081.299858124668
12,0.9980696263226264,1.0166879193089324,642.0624501639918,1759.2222633533472,577.678422439027,1030.1989422367517
13,0.9984300349323544,1.0093607246243006,715.8323711894695,1358.149013226093,522.17890640395035,1030.8982069159624
14,0.9979810747270376,1.0108261619745158,762.428018396964,1551.1338712524002,559.9979576536897,1037.6498115374477
15,0.9983082570461972,1.012143167651307,935.7302894371536,1735.6348077308826,500.2259441873143,1026.17384088147
16,0.9982022791505712,1.0164761064058083,656.1179557195211,1186.164505144371,379.11845697752034,1034.758895010016
17,0.9985443660062628,1.015041404967963,823.978491806701,1752.7477758197315,449.2390912555215,1034.5783265000457
18,0.9985267319707444,1.018213793402604,399.14522371719835,1165.1132736639795,133.1849639871197,981.6403800570796
19,0.9994499493417784,1.0043507009541386,1186.7410397388378,5255.648270200664,810.3953935839362,3909.011503595661
20,0.9977739958917512,1.013017663679793,735.4042662726439,1327.322656487872,448.5497191518427,1075.7840842811004
21,0.997772210047439,1.0153093405153792,991.4861984944034,1804.256580924908,365.6000218193377,1082.5988191411434
22,0.9975971894459852,1.0094451359842176,755.3222082692754,1346.6686080916336,555.5336332137747,1052.057321487767
23,0.9983943245736336,1.0129405278694348,795.6685634749809,1446.919816716487,422.2160289817168,1081.3866134025077
24,0.9981278791570728,1.0117733168738383,533.5632030150639,1293.4511358901643,306.7952294247363,1016.4330792142188
25,0.9978990511149116,1.0084907522293307,748.0941934040252,1801.8543936765711,527.366496662845,1063.155660931449
26,0.9972270699786392,1.0143843804471504,546.7499447033829,1498.767606812787,361.77896995973146,1084.77888367044
27,0.9975790397102442,1.017815964119278,712.4428367472589,1391.630270445169,294.35400780647336,1053.0227313464388
28,0.9976583234617892,1.0212915378846106,704.3294054962814,1608.3856000675455,561.1324599556799,1104.823162622506
29,0.9972896843862354,1.0169119202234544,926.8743965823276,1888.6994453370237,541.50968534265,1082.715904194628
30,0.9982587314439704,1.0103869290553886,857.0953179410789,1985.3454713547917,516.536389921314,1069.1036902796927
31,0.997911931855774,1.0393500051592062,888.8398493810906,1543.7223222837104,391.1044509143777,1033.67894990458
32,0.9974444928630088,1.0137273841290628,976.8171361127236,2018.7623473420583,510.0989063879162,1050.4789642128726
33,0.9976169142285212,1.01874116579436,905.3130965197876,1761.3500785625547,421.4951450672373,1086.074885022571
34,0.9973163110930258,1.0100063731287166,734.0149359021824,1547.352269867661,466.74972297794943,1133.8118021296114
35,0.9973607062180748,1.0140411538807983,929.4894931932826,1925.986978582959,629.7775683214214,1082.0441721191598
36,0.998868369998396,1.0140700554335107,857.0403901177168,1498.7209107249478,461.461550573847,1080.7360180621065
37,0.9985313010802233,1.0117976657072336,595.5497659960286,1439.399033193436,245.94833774287704,1080.077057183084
38,0.999909590343858,1.0046954241942514,2695.5456206726726,5873.588788426014,802.2932225106564,3772.299274467523
39,0.9978090550660376,1.0161368680342115,480.56022477870954,1354.498933891781,356.97888451774276,1007.6213099020518
40,0.9978960801535564,1.0388393379058516,927.2849592779576,1959.3017274009685,510.2001241465419,1010.2727770974402
41,0.9973863676456324,1.017665432340492,1011.8226489802688,2030.8500302004877,510.9210134040335,1085.014188285924
42,0.998301142129126,1.0106617957357564,624.1678768328569,1336.307920437279,421.7357336007679,1054.0602864093878
43,0.9984311605868936,1.0118498700599814,746.5541146546879,1689.643086483547,552.7815230999277,1035.282961903417
44,0.9980316059360222,1.0150623801371494,819.8150067996703,1347.0105247105112,471.3457346724033,1036.583622248667
45,0.9993690794281082,1.00702366783324,892.91568243176755,6384.667512782825,295.81690245965257,3794.601266047516
46,0.9982657511732596,1.0200561696342,317.04885276829725,1459.6651119828134,117.3744045760396,1035.706740766889
47,0.9971572829912266,1.014667688016777,925.228952512455,2005.2789049768735,551.5825602169267,1064.1070513807476
48,0.9999764282815768,1.0038999908743096,2082.992459357959,10773.47958834299,822.8026538681818,7319.994107191878
49,0.997207779449992,1.0179760031624152,347.4308203410159,1204.3837576429432,227.94603407363908,1018.1291088519736
50,0.9982126874237424,1.011339328301023,882.410109255629,1722.157132053346,551.7340163163387,1036.4295940442505
51,0.9975574765200432,1.0192981608959306,781.1020683847759,2076.2689114960895,335.318852620178,1100.6607118618583
52,0.9980482236955318,1.01503756136602,791.5571823893018,1577.992445488368,533.0968831597767,1133.02772162933
53,0.9979900195164304,1.0203088406037626,911.769896140379,1697.987226419063,518.706450167452,1078.9872398620769
54,0.9973663694641952,1.0116889215267728,809.8027000310007,1416.79532030133,592.619162905559,1078.755180538151
55,0.9981903246573174,1.0146594598152507,822.5660742912971,2054.942330913854,469.2316937968138,1032.3572828391395
56,0.9982502368432874,1.0161530102300296,728.6394527412534,1789.3302559752678,271.9323819744131,1086.074885022571
57,0.9975637499010018,1.0175158477720034,808.7244990351178,1852.2903672793157,392.17330059189953,1083.60456662378
58,0.9995285789825876,1.003562366900101,1764.198228568004,6230.11521558541,2138.940686258284,4085.657726151269
59,0.9981324849217263,1.0128937899662134,668.9009289075099,1491.674324521118,370.8869945221463,1032.375738657796
60,0.9993771496745608,1.004391204188912,1239.785206594658,7071.053555441248,561.2048686876741,3916.3117308066967
61,0.9980633062928438,1.0104597611581243,833.145918304271,1276.260601737922,385.95672262910585,1077.7480931345551
