variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
gamma,0.2698902674936252,0.2667460127334891,0.05347877378503322,0.05620122089702366,0.19186898705739047,0.3647194578977019,0.9983005127583633,1921.9127234947005,861.477147839303
nu,0.14594985618566864,0.14411642241588646,0.027535973706294632,0.02763087409912577,0.10452574737665984,0.19534040871991007,1.0085577603041587,1635.6355478256748,720.6792919606911
rho_conc,4.055163104480372,3.5518836959812057,2.1718056162775983,1.8023944039184132,1.5795568650419252,7.996982719886628,1.0028198181616303,1319.709223843962,707.3575456402727
rt_init,0.5727544695103471,0.5702314357335977,0.05608105419757873,0.05699542193175997,0.4875467473892765,0.6648802467482874,1.0016082900605523,1208.3035837743346,742.3034051143993
sigma_rt,0.1667277911480703,0.1656932850494935,0.016392602540997794,0.016085851993638073,0.14239640809821105,0.19524394198819067,1.004849482957102,1244.0074524073298,573.475357920949
tau,1.594435058260941,1.5768834766387392,0.18772129081794375,0.16942525670931188,1.3157091356997368,1.9245616062209614,1.003151598617376,967.6771361825964,636.4522886019644
E_init,5.018702217269308,5.019852484839674,0.2468309712508949,0.252313732806187,4.618577217705907,5.435985067321474,1.0013932842295301,1232.6014922616353,762.007486762653
I_init,9.022366073346413,9.018689650610932,0.4699799817943378,0.4846990805792634,8.246173482658325,9.797443293728481,1.0076501564977844,1530.3725813172841,753.5855391655533
alpha_t_values[0],0.08359107773259258,0.08176061598186384,0.017767333985603578,0.018107630478635797,0.05738547063604232,0.11503557144354055,1.0069486966112495,1655.8656581709329,820.0846297738382
alpha_t_values[1],0.11830553584110651,0.11458682859866032,0.0299845806760867,0.02919242157372365,0.07399824056214727,0.17139396286887415,1.0048386976817694,1629.411816061986,669.2639375506832
alpha_t_values[2],0.15688487742787116,0.1536511564173945,0.04023601124179709,0.03975898134199197,0.09709693006637726,0.23005234387506213,1.0059794725150242,1685.8470248824808,720.9625476019085
alpha_t_values[3],0.19645275681093133,0.1926078668286294,0.049200831219075154,0.04713341223376868,0.1247790246591455,0.2838119711156177,0.9995598430348576,1500.779130244959,755.1396244908439
alpha_t_values[4],0.23200435797539132,0.22704241487271548,0.05668368898907616,0.05110823270680273,0.15117665598225738,0.3346004245383649,1.0006062151414539,1371.1447838664114,758.2352558628238
