new_time,name,value,.lower,.upper,.width,.point,.interval
1,log_copies,3.025776656020458,2.248866406635286,3.8409181885180397,0.5,median,qi
8,log_copies,3.127093906612335,2.29715082998471,3.914643956633104,0.5,median,qi
10,log_copies,3.1037232803793158,2.3337372428361864,3.8978989296703497,0.5,median,qi
22,log_copies,3.257070634277876,2.4761971427210385,4.047193722972079,0.5,median,qi
24,log_copies,3.2860737628245236,2.434431876945432,4.076124405176775,0.5,median,qi
29,log_copies,3.4357061935908244,2.6469943543623438,4.169690820370384,0.5,median,qi
31,log_copies,3.3821754796892733,2.5635942847738655,4.2003032955999995,0.5,median,qi
34,log_copies,3.517854020947576,2.7131033693552737,4.2941107997166466,0.5,median,qi
36,log_copies,3.478628669482787,2.7014921501134563,4.252446159303684,0.5,median,qi
48,log_copies,3.7904028999840182,3.0126294079884683,4.599218571098758,0.5,median,qi
50,log_copies,3.8432086853768954,3.090898418339115,4.650023702891437,0.5,median,qi
55,log_copies,3.9079463893772965,3.128017960648864,4.717083522107535,0.5,median,qi
57,log_copies,4.002866471901905,3.207766001933517,4.778216066553413,0.5,median,qi
59,log_copies,4.0717061066080085,3.296736006753922,4.8708347451853955,0.5,median,qi
62,log_copies,4.112414320748813,3.2680257832675097,4.863698538607046,0.5,median,qi
64,log_copies,4.206859778185811,3.432237750212603,5.022706281479804,0.5,median,qi
69,log_copies,4.277984644681624,3.453614314550401,5.045126646007738,0.5,median,qi
71,log_copies,4.247915229458481,3.4583760378795096,5.0856299634259,0.5,median,qi
78,log_copies,4.402424205317578,3.6203495351575796,5.175420459174759,0.5,median,qi
80,log_copies,4.4380138585787225,3.6231639477626385,5.233609964285318,0.5,median,qi
83,log_copies,4.421740956816327,3.5984481480482717,5.200913197228182,0.5,median,qi
85,log_copies,4.447700430395617,3.6829081950649396,5.230963006491008,0.5,median,qi
87,log_copies,4.452715744831726,3.622689578899575,5.2445712110684415,0.5,median,qi
90,log_copies,4.389516405241093,3.615415049368597,5.150029226548453,0.5,median,qi
92,log_copies,4.402986985880862,3.6124749051785825,5.223390849612683,0.5,median,qi
94,log_copies,4.405472216698236,3.6028926363727702,5.202923561382324,0.5,median,qi
97,log_copies,4.333805432971334,3.5454927402206957,5.143912069745532,0.5,median,qi
99,log_copies,4.315677305630924,3.500263239071266,5.113862648300456,0.5,median,qi
101,log_copies,4.271335623411321,3.4940292134568853,5.083007165654525,0.5,median,qi
104,log_copies,4.192550023207045,3.410708300499036,5.000398977693939,0.5,median,qi
106,log_copies,4.175097510557842,3.38476959145074,4.925832315175951,0.5,median,qi
108,log_copies,4.112684971495622,3.3350184901566373,4.943345436707897,0.5,median,qi
1,log_copies,3.025776656020458,1.4838321759090038,4.574569446701674,0.8,median,qi
8,log_copies,3.127093906612335,1.60847057071451,4.630674406115438,0.8,median,qi
10,log_copies,3.1037232803793158,1.6863916161679633,4.502465513057223,0.8,median,qi
22,log_copies,3.257070634277876,1.7167350038269975,4.830278074919603,0.8,median,qi
24,log_copies,3.2860737628245236,1.6802947515040603,4.801697886446955,0.8,median,qi
29,log_copies,3.4357061935908244,1.876775192064057,4.8882960483877564,0.8,median,qi
31,log_copies,3.3821754796892733,1.8208441768858268,4.947959685701121,0.8,median,qi
34,log_copies,3.517854020947576,1.973649338103705,4.967524842647443,0.8,median,qi
36,log_copies,3.478628669482787,1.9570681600412825,4.93376174223042,0.8,median,qi
