new_time,name,value,.lower,.upper,.width,.point,.interval
1,log_copies,3.1774589732356358,2.1761310143107786,4.195031939276838,0.5,median,qi
6,log_copies,3.0597364436176124,2.0524635840228336,4.089503505734541,0.5,median,qi
8,log_copies,3.0888201249207423,1.967908250799483,4.09654870097291,0.5,median,qi
10,log_copies,2.897624563465156,1.8764862105784372,3.977504373376436,0.5,median,qi
15,log_copies,2.7814414273731636,1.8436047044777537,3.8230325367299423,0.5,median,qi
17,log_copies,2.8054275680968175,1.7535140252764738,3.8324852526007334,0.5,median,qi
22,log_copies,2.8108420642300924,1.707943268224689,3.820284710711279,0.5,median,qi
27,log_copies,2.8503261336597223,1.828690458384328,3.834665372208402,0.5,median,qi
29,log_copies,2.863368832631463,1.8154402086865398,3.8930751918956323,0.5,median,qi
31,log_copies,2.8395056968764223,1.7719522232359277,3.8299658039219135,0.5,median,qi
41,log_copies,3.051525385707331,2.0525908340518115,4.072218635080956,0.5,median,qi
57,log_copies,3.557896873659609,2.494740658694632,4.656973434681145,0.5,median,qi
64,log_copies,3.8827621338725677,2.8740627229113582,4.968849023697314,0.5,median,qi
80,log_copies,4.544318413426474,3.4365593729290644,5.561592415199016,0.5,median,qi
83,log_copies,4.652231807869384,3.6661097842979116,5.717688382338855,0.5,median,qi
85,log_copies,4.790933939121925,3.8326443561812997,5.887350254658168,0.5,median,qi
87,log_copies,4.7907886701601505,3.7568039665319493,5.846647039315407,0.5,median,qi
90,log_copies,4.880702468773682,3.8310257484916255,5.9734998159345345,0.5,median,qi
92,log_copies,4.9717503530990514,3.9336756889031985,5.975267808902414,0.5,median,qi
94,log_copies,5.13832875701077,4.100867136895153,6.153312665230959,0.5,median,qi
97,log_copies,5.138708362995443,4.137815116186303,6.141616452535306,0.5,median,qi
101,log_copies,5.308057698350827,4.270072591906132,6.309916344019111,0.5,median,qi
106,log_copies,5.425513613485514,4.4021437254645175,6.462030466079254,0.5,median,qi
108,log_copies,5.431734157347664,4.395478155370525,6.482459117939738,0.5,median,qi
111,log_copies,5.579415228484771,4.495780214806752,6.602494487533303,0.5,median,qi
1,log_copies,3.1774589732356358,1.2768150452287879,5.096526407048451,0.8,median,qi
6,log_copies,3.0597364436176124,1.127860082937804,5.041815011758648,0.8,median,qi
8,log_copies,3.0888201249207423,0.9913831082348903,5.027272263041737,0.8,median,qi
10,log_copies,2.897624563465156,0.9620265659675648,4.8409235580589085,0.8,median,qi
15,log_copies,2.7814414273731636,0.8587084709843887,4.7602029383868745,0.8,median,qi
17,log_copies,2.8054275680968175,0.7892937218491997,4.743834786307131,0.8,median,qi
22,log_copies,2.8108420642300924,0.7771154947718945,4.79251452746125,0.8,median,qi
27,log_copies,2.8503261336597223,1.0925828370459314,4.635245246092541,0.8,median,qi
29,log_copies,2.863368832631463,0.9352652757566902,4.7267818189913156,0.8,median,qi
31,log_copies,2.8395056968764223,0.9059529791981613,4.741273917584379,0.8,median,qi
41,log_copies,3.051525385707331,1.1127270853502418,5.078886163613292,0.8,median,qi
57,log_copies,3.557896873659609,1.5920474840971153,5.519753880088512,0.8,median,qi
64,log_copies,3.8827621338725677,1.8909056750617599,5.877849116048237,0.8,median,qi
80,log_copies,4.544318413426474,2.5387976437044566,6.58629109734479,0.8,median,qi
83,log_copies,4.652231807869384,2.7221174279099873,6.742812560742229,0.8,median,qi
85,log_copies,4.790933939121925,2.861983162341229,6.748715839679959,0.8,median,qi
87,log_copies,4.7907886701601505,2.82351628206181,6.7869069296390645,0.8,median,qi
90,log_copies,4.880702468773682,2.9738928817972186,6.959575936965636,0.8,median,qi
92,log_copies,4.9717503530990514,2.980387565639763,6.818576351635487,0.8,median,qi
94,log_copies,5.13832875701077,3.1640112192609786,7.010189433538851,0.8,median,qi
97,log_copies,5.138708362995443,3.232147797462172,7.066194066948693,0.8,median,qi
101,log_copies,5.308057698350827,3.390381379547952,7.254417054121534,0.8,median,qi
106,log_copies,5.425513613485514,3.398157528205845,7.374481498094174,0.8,median,qi
108,log_copies,5.431734157347664,3.4698722879796495,7.425664046162365,0.8,median,qi
111,log_copies,5.579415228484771,3.5704626991386488,7.530248925249279,0.8,median,qi
1,log_copies,3.1774589732356358,0.2568735887292259,6.207738150220619,0.95,median,qi
6,log_copies,3.0597364436176124,0.11009467966552891,6.10154945038665,0.95,median,qi
8,log_copies,3.0888201249207423,-0.05231781568357622,6.02644885559046,0.95,median,qi
10,log_copies,2.897624563465156,-0.2633386015740564,5.934820039866355,0.95,median,qi
15,log_copies,2.7814414273731636,-0.24684506301004755,5.795737908862466,0.95,median,qi
17,log_copies,2.8054275680968175,-0.2678672838153962,5.826902959073146,0.95,median,qi
22,log_copies,2.8108420642300924,-0.35482883001586735,5.820567477573904,0.95,median,qi
27,log_copies,2.8503261336597223,0.12092451405066988,5.797827851546263,0.95,median,qi
29,log_copies,2.863368832631463,-0.19873796053567014,5.898537077934167,0.95,median,qi
31,log_copies,2.8395056968764223,-0.1527937091232951,5.718217040966299,0.95,median,qi
41,log_copies,3.051525385707331,0.051729533900797375,6.210542119352597,0.95,median,qi
57,log_copies,3.557896873659609,0.6887650549733049,6.461371223739135,0.95,median,qi
64,log_copies,3.8827621338725677,0.8806661234958338,6.918299849255889,0.95,median,qi
80,log_copies,4.544318413426474,1.4723907689446112,7.586343185631401,0.95,median,qi
83,log_copies,4.652231807869384,1.7583439270587282,7.896164126355814,0.95,median,qi
85,log_copies,4.790933939121925,1.5469756509183632,7.795571495401072,0.95,median,qi
87,log_copies,4.7907886701601505,1.755260774586778,7.888750077871891,0.95,median,qi
90,log_copies,4.880702468773682,1.9205460791990085,7.873238351826035,0.95,median,qi
92,log_copies,4.9717503530990514,1.832372264122399,7.823206381587715,0.95,median,qi
94,log_copies,5.13832875701077,2.0026108101475186,8.051586059659147,0.95,median,qi
97,log_copies,5.138708362995443,2.1687568087784848,8.12852352184801,0.95,median,qi
101,log_copies,5.308057698350827,2.3106384481445805,8.361397382797447,0.95,median,qi
106,log_copies,5.425513613485514,2.3557555522160833,8.438323025834297,0.95,median,qi
108,log_copies,5.431734157347664,2.3609945235305325,8.567535246398359,0.95,median,qi
111,log_copies,5.579415228484771,2.466910097993998,8.596311046801091,0.95,median,qi
