new_time,name,value,.lower,.upper,.width,.point,.interval
1,log_copies,2.919008986706075,2.130969736554394,3.7488376818582125,0.5,median,qi
6,log_copies,2.9346416135402427,2.041581388262338,3.6965607975961667,0.5,median,qi
8,log_copies,2.925223965084996,2.1302731060232523,3.841220764467569,0.5,median,qi
10,log_copies,2.9098466508124607,2.1228431093738767,3.6896339642138574,0.5,median,qi
15,log_copies,2.9257608825990546,2.1627075360558132,3.7377906056805594,0.5,median,qi
17,log_copies,3.067993304026326,2.2419674113617787,3.8200187971127004,0.5,median,qi
22,log_copies,3.095815724370272,2.294919215462914,4.005610351647423,0.5,median,qi
24,log_copies,3.0736123332768535,2.2359991345842083,3.8583818703451946,0.5,median,qi
27,log_copies,3.1959361297791533,2.370003030313541,4.042061806076372,0.5,median,qi
29,log_copies,3.187663186877712,2.45450765207148,4.061146882805177,0.5,median,qi
31,log_copies,3.2712402148877118,2.4640238942157806,4.160770646505437,0.5,median,qi
34,log_copies,3.3938383043683173,2.5424683391599303,4.165460348790908,0.5,median,qi
36,log_copies,3.3783236711583333,2.513332990905396,4.1454272267489625,0.5,median,qi
41,log_copies,3.4946287830972658,2.7101717254819198,4.3774948805002944,0.5,median,qi
48,log_copies,3.6171196502273655,2.8398336947123184,4.458423517377256,0.5,median,qi
50,log_copies,3.7542484523098745,2.87123358276757,4.520093947288016,0.5,median,qi
55,log_copies,3.780263506296722,3.0340038223447947,4.612333788724241,0.5,median,qi
57,log_copies,3.884546601130536,3.048393085571992,4.603630214127733,0.5,median,qi
59,log_copies,3.9462494649007516,3.1228887459160797,4.821183225994169,0.5,median,qi
62,log_copies,4.018539391035611,3.2210077196556095,4.862706908226573,0.5,median,qi
64,log_copies,4.178059609804098,3.35656259514571,5.009393166799493,0.5,median,qi
69,log_copies,4.220536316396782,3.32789743749012,4.970007447299614,0.5,median,qi
71,log_copies,4.2708018908410015,3.464136015043982,5.077865194636831,0.5,median,qi
78,log_copies,4.519759867338358,3.718519850738109,5.313954360917744,0.5,median,qi
80,log_copies,4.5603067645831015,3.696629719717003,5.288278610056038,0.5,median,qi
83,log_copies,4.6485014161073295,3.882551687576373,5.412707279798308,0.5,median,qi
85,log_copies,4.62259810514883,3.78296073228539,5.444175221943966,0.5,median,qi
87,log_copies,4.739216358494972,3.9567823211005546,5.52330544178752,0.5,median,qi
90,log_copies,4.701991886360039,3.8405620100884392,5.545313217511525,0.5,median,qi
92,log_copies,4.781042027360287,3.9735991659396532,5.627917095629021,0.5,median,qi
94,log_copies,4.844214222036426,4.062760539269142,5.665412481393333,0.5,median,qi
97,log_copies,4.869067040405526,4.005555525714869,5.618652853573099,0.5,median,qi
99,log_copies,4.948972638450545,4.175973037386266,5.690305451170224,0.5,median,qi
101,log_copies,4.964214498340981,4.228997671956641,5.8272089176267805,0.5,median,qi
104,log_copies,5.03635582875687,4.200861843950717,5.9356564055707945,0.5,median,qi
106,log_copies,5.079364230045745,4.26722555120759,5.8825436361539065,0.5,median,qi
108,log_copies,5.160206154028273,4.315040679514712,5.897102388230252,0.5,median,qi
111,log_copies,5.1467846591789606,4.278134202751652,5.99074761949997,0.5,median,qi
1,log_copies,2.919008986706075,1.3429790046760073,4.547782792716662,0.8,median,qi
6,log_copies,2.9346416135402427,1.390234610696319,4.472116924627327,0.8,median,qi
8,log_copies,2.925223965084996,1.3424563779662468,4.464694249004108,0.8,median,qi
10,log_copies,2.9098466508124607,1.4168940792588796,4.570153527326731,0.8,median,qi
15,log_copies,2.9257608825990546,1.4929833414245821,4.523391906285925,0.8,median,qi
17,log_copies,3.067993304026326,1.4787898570110602,4.507052661994722,0.8,median,qi
22,log_copies,3.095815724370272,1.5235550178805313,4.776315144047916,0.8,median,qi
24,log_copies,3.0736123332768535,1.4016602959679245,4.578665763910045,0.8,median,qi
27,log_copies,3.1959361297791533,1.7010729899663763,4.733071785737102,0.8,median,qi
29,log_copies,3.187663186877712,1.721839456834185,4.8198791128997405,0.8,median,qi
31,log_copies,3.2712402148877118,1.685011515587079,4.876371456817971,0.8,median,qi
34,log_copies,3.3938383043683173,1.7093669328123091,4.916468723283184,0.8,median,qi
36,log_copies,3.3783236711583333,1.7682539614496349,4.859777208989941,0.8,median,qi
41,log_copies,3.4946287830972658,1.973392892624011,5.109459070452876,0.8,median,qi
48,log_copies,3.6171196502273655,2.0874977757233726,5.163482850337121,0.8,median,qi
50,log_copies,3.7542484523098745,2.068062260847847,5.204718842140165,0.8,median,qi
55,log_copies,3.780263506296722,2.3147639695442255,5.3255018052348,0.8,median,qi
57,log_copies,3.884546601130536,2.3409446990543565,5.4547925856954524,0.8,median,qi
59,log_copies,3.9462494649007516,2.424844930166109,5.591853096143457,0.8,median,qi
62,log_copies,4.018539391035611,2.4943097790848405,5.607248018828429,0.8,median,qi
64,log_copies,4.178059609804098,2.5254499718760592,5.782157733796024,0.8,median,qi
69,log_copies,4.220536316396782,2.5491864034748177,5.68952442505061,0.8,median,qi
71,log_copies,4.2708018908410015,2.760164374899647,5.831444223974238,0.8,median,qi
78,log_copies,4.519759867338358,2.9454628401494687,5.9802775253252145,0.8,median,qi
80,log_copies,4.5603067645831015,3.0266966922350913,6.041530757617852,0.8,median,qi
83,log_copies,4.6485014161073295,3.100751298889531,6.122886612104968,0.8,median,qi
85,log_copies,4.62259810514883,3.1049301921798462,6.178449732009113,0.8,median,qi
87,log_copies,4.739216358494972,3.2404703626497566,6.284803773155254,0.8,median,qi
90,log_copies,4.701991886360039,3.0963990391610587,6.25388832249868,0.8,median,qi
92,log_copies,4.781042027360287,3.2323175839145644,6.415827790760446,0.8,median,qi
94,log_copies,4.844214222036426,3.2070642479189986,6.307625323875353,0.8,median,qi
97,log_copies,4.869067040405526,3.3554041103685788,6.373202586818194,0.8,median,qi
99,log_copies,4.948972638450545,3.376828128739063,6.388242145104188,0.8,median,qi
101,log_copies,4.964214498340981,3.3666920791177644,6.545990932217663,0.8,median,qi
104,log_copies,5.03635582875687,3.486238548417317,6.66100544163297,0.8,median,qi
106,log_copies,5.079364230045745,3.537803117388033,6.6820049892005144,0.8,median,qi
108,log_copies,5.160206154028273,3.432910724096583,6.700926635385525,0.8,median,qi
111,log_copies,5.1467846591789606,3.4259723512054414,6.671207123216679,0.8,median,qi
1,log_copies,2.919008986706075,0.532188098241689,5.2719159134945235,0.95,median,qi
6,log_copies,2.9346416135402427,0.5645114962703144,5.324352742965757,0.95,median,qi
8,log_copies,2.925223965084996,0.521120034954658,5.520614308695312,0.95,median,qi
10,log_copies,2.9098466508124607,0.605089693994979,5.412915090432635,0.95,median,qi
15,log_copies,2.9257608825990546,0.5236828699871361,5.341531204969446,0.95,median,qi
17,log_copies,3.067993304026326,0.6901813912130313,5.345561926813732,0.95,median,qi
22,log_copies,3.095815724370272,0.6809107980643052,5.63915616132737,0.95,median,qi
24,log_copies,3.0736123332768535,0.6678801448732048,5.4444696784954125,0.95,median,qi
27,log_copies,3.1959361297791533,0.8929193350533912,5.547394815714897,0.95,median,qi
29,log_copies,3.187663186877712,0.7687533032130552,5.747491911368284,0.95,median,qi
31,log_copies,3.2712402148877118,0.7478436842746793,5.706950115165237,0.95,median,qi
34,log_copies,3.3938383043683173,0.7760770297111159,5.790957964774243,0.95,median,qi
36,log_copies,3.3783236711583333,1.0059765561853173,5.780475076662794,0.95,median,qi
41,log_copies,3.4946287830972658,1.0870408959428024,6.1294827523693725,0.95,median,qi
48,log_copies,3.6171196502273655,1.1561566588052905,6.071364880378071,0.95,median,qi
50,log_copies,3.7542484523098745,1.258057674626619,5.985604721104583,0.95,median,qi
55,log_copies,3.780263506296722,1.3688070576615397,5.996549888172466,0.95,median,qi
57,log_copies,3.884546601130536,1.483370244949424,6.36166971399759,0.95,median,qi
59,log_copies,3.9462494649007516,1.6563229583284163,6.4408622040284484,0.95,median,qi
62,log_copies,4.018539391035611,1.8378110031730461,6.580646554452648,0.95,median,qi
64,log_copies,4.178059609804098,1.6011361701101765,6.65912439441683,0.95,median,qi
69,log_copies,4.220536316396782,1.718628700495558,6.518989307334364,0.95,median,qi
71,log_copies,4.2708018908410015,1.8164052054428643,6.62542106862605,0.95,median,qi
78,log_copies,4.519759867338358,2.080080269494375,6.761888193476766,0.95,median,qi
80,log_copies,4.5603067645831015,2.294423883775589,6.762383937178707,0.95,median,qi
83,log_copies,4.6485014161073295,2.117395228438975,6.853793145686523,0.95,median,qi
85,log_copies,4.62259810514883,2.181761888276155,7.0790466788941195,0.95,median,qi
87,log_copies,4.739216358494972,2.355560610568556,7.182912015934667,0.95,median,qi
90,log_copies,4.701991886360039,2.1575384308371506,7.209479931908598,0.95,median,qi
92,log_copies,4.781042027360287,2.4875436243781404,7.219518522368525,0.95,median,qi
94,log_copies,4.844214222036426,2.3515366840775234,7.070266406537227,0.95,median,qi
97,log_copies,4.869067040405526,2.5105363790079904,7.196309051710384,0.95,median,qi
99,log_copies,4.948972638450545,2.5559855170242303,7.366864842526208,0.95,median,qi
101,log_copies,4.964214498340981,2.5439479815476407,7.291043132305682,0.95,median,qi
104,log_copies,5.03635582875687,2.643624877900333,7.501404168307569,0.95,median,qi
106,log_copies,5.079364230045745,2.5618245099670442,7.531730303416215,0.95,median,qi
108,log_copies,5.160206154028273,2.5049010408786048,7.504847526244219,0.95,median,qi
111,log_copies,5.1467846591789606,2.5005812369807074,7.538401295382286,0.95,median,qi
