new_time,name,value,.lower,.upper,.width,.point,.interval
1,log_copies,3.5653309400140687,2.7290037624376566,4.417420829668277,0.5,median,qi
6,log_copies,3.380233326717538,2.567318131852028,4.208837605785545,0.5,median,qi
8,log_copies,3.338166841486496,2.5001225113952525,4.211609994057043,0.5,median,qi
10,log_copies,3.2384443037584063,2.4376018323857283,4.0951920747776125,0.5,median,qi
15,log_copies,3.091241858025259,2.2594213861478263,3.9385789540572937,0.5,median,qi
17,log_copies,3.1525520193687675,2.316583627933156,3.9591645683227235,0.5,median,qi
22,log_copies,3.0566393381132517,2.1890374018898404,3.8764416890589803,0.5,median,qi
24,log_copies,2.9945849154598667,2.0942509537037917,3.767078629638662,0.5,median,qi
27,log_copies,3.068983896541111,2.1848656444440264,3.912175830008319,0.5,median,qi
29,log_copies,3.0847705888969,2.20442288524547,3.913460062654563,0.5,median,qi
31,log_copies,3.109468713076289,2.2468061636559487,3.902245767467262,0.5,median,qi
34,log_copies,3.166869601296708,2.3053752749497063,3.933310283884736,0.5,median,qi
36,log_copies,3.136454731284913,2.2203442282882895,3.9703672761386675,0.5,median,qi
41,log_copies,3.304672807876268,2.4349829646932024,4.105639346343548,0.5,median,qi
48,log_copies,3.4050478793238335,2.5550900729476616,4.20150329072597,0.5,median,qi
50,log_copies,3.448603029808016,2.6142585326732037,4.31008773038494,0.5,median,qi
55,log_copies,3.6178347408558937,2.693569651413676,4.403658820143983,0.5,median,qi
57,log_copies,3.6435721330725706,2.857105046428469,4.466973673770881,0.5,median,qi
59,log_copies,3.787513917625477,2.923421909757206,4.699020808231525,0.5,median,qi
62,log_copies,3.8561158139776577,3.068358862792504,4.672969311950934,0.5,median,qi
64,log_copies,4.028531007447729,3.1607294677837072,4.859621855449683,0.5,median,qi
69,log_copies,4.054855046031806,3.0985048849429777,4.89983514032264,0.5,median,qi
71,log_copies,4.142046907889094,3.3520240140846638,4.953783892717898,0.5,median,qi
78,log_copies,4.434890962196338,3.62340560681028,5.226855779009233,0.5,median,qi
80,log_copies,4.449130069304367,3.6708842167598035,5.264854920185774,0.5,median,qi
83,log_copies,4.556131664585594,3.785069812435722,5.38322739681213,0.5,median,qi
85,log_copies,4.581588074959264,3.7179418749074307,5.376262905804321,0.5,median,qi
87,log_copies,4.722460033972371,3.8717920160606285,5.511783560707497,0.5,median,qi
90,log_copies,4.678373327217026,3.7777411234162424,5.504242517675721,0.5,median,qi
92,log_copies,4.750004558888246,3.893260733331272,5.597933489511916,0.5,median,qi
94,log_copies,4.812689353098536,4.0410603925716995,5.602448293986193,0.5,median,qi
97,log_copies,4.817498209976717,4.006272129881506,5.671693535052459,0.5,median,qi
99,log_copies,4.912817384509253,4.109191146148597,5.748073183778459,0.5,median,qi
101,log_copies,4.983452457141302,4.220700887227949,5.855801758904884,0.5,median,qi
104,log_copies,5.051292619413548,4.192711856457928,5.88723322580942,0.5,median,qi
106,log_copies,5.053218891811241,4.2515448977174515,5.893159089466442,0.5,median,qi
108,log_copies,5.090975228393981,4.308467836303651,6.0098272901119865,0.5,median,qi
111,log_copies,5.109468028785704,4.260084763009308,6.047557777444258,0.5,median,qi
1,log_copies,3.5653309400140687,2.0109999681152377,5.14166282292105,0.8,median,qi
6,log_copies,3.380233326717538,1.8479939469784432,5.03297684518305,0.8,median,qi
8,log_copies,3.338166841486496,1.737220110557036,5.02023561315322,0.8,median,qi
10,log_copies,3.2384443037584063,1.6507527917044689,4.84565411080474,0.8,median,qi
15,log_copies,3.091241858025259,1.5517350042332603,4.686404599234365,0.8,median,qi
17,log_copies,3.1525520193687675,1.5070706855963978,4.611408535562072,0.8,median,qi
22,log_copies,3.0566393381132517,1.4493926383868712,4.7111307890015475,0.8,median,qi
24,log_copies,2.9945849154598667,1.3272054774421767,4.519587658251978,0.8,median,qi
27,log_copies,3.068983896541111,1.4409977002991352,4.610450668979719,0.8,median,qi
29,log_copies,3.0847705888969,1.4654180879017489,4.664178515155351,0.8,median,qi
31,log_copies,3.109468713076289,1.4459431447193487,4.696600935037652,0.8,median,qi
34,log_copies,3.166869601296708,1.4486099537778157,4.714864555287121,0.8,median,qi
36,log_copies,3.136454731284913,1.4580910553726225,4.6767246675917304,0.8,median,qi
41,log_copies,3.304672807876268,1.6221867026258774,4.828734086067873,0.8,median,qi
48,log_copies,3.4050478793238335,1.7958667587377877,5.000089267553539,0.8,median,qi
50,log_copies,3.448603029808016,1.8987459100744304,5.074593395189214,0.8,median,qi
