iteration,chain,data_log_copies[1],data_log_copies[2],data_log_copies[3],data_log_copies[4],data_log_copies[5],data_log_copies[6],data_log_copies[7],data_log_copies[8],data_log_copies[9],data_log_copies[10],data_log_copies[11],data_log_copies[12],data_log_copies[13],data_log_copies[14],data_log_copies[15],data_log_copies[16],data_log_copies[17],data_log_copies[18],data_log_copies[19],data_log_copies[20],data_log_copies[21],data_log_copies[22],data_log_copies[23],data_log_copies[24],data_log_copies[25],data_log_copies[26],data_log_copies[27],data_log_copies[28],data_log_copies[29],data_log_copies[30],data_log_copies[31],data_log_copies[32],data_log_copies[33],data_log_copies[34],data_log_copies[35],data_log_copies[36],data_log_copies[37],data_log_copies[38],data_log_copies[39],data_log_copies[40],data_log_copies[41],data_log_copies[42],data_log_copies[43],data_log_copies[44],data_log_copies[45],data_log_copies[46],data_log_copies[47],data_log_copies[48],data_log_copies[49],data_log_copies[50],data_log_copies[51],data_log_copies[52],data_log_copies[53],data_log_copies[54],data_log_copies[55],data_log_copies[56],data_log_copies[57],data_log_copies[58],data_log_copies[59],data_log_copies[60],data_log_copies[61],data_log_copies[62],data_log_copies[63],data_log_copies[64],data_log_copies[65],data_log_copies[66],data_log_copies[67],data_log_copies[68],data_log_copies[69],data_log_copies[70],data_log_copies[71],data_log_copies[72]
1,1,4.214998305374937,2.737854210393281,6.910563738381272,5.32300781289159,1.852646704478746,7.316478361600876,4.663744136592684,1.9614058884653103,7.590423052496748,5.381541113098574,4.109849215393763,3.0938972600557393,-0.38149127078726136,1.0919494784411403,2.897715112442699,2.572717373688272,5.762837771709977,2.1250215138527193,3.5818716610138095,4.5386088310907,7.031080155915476,6.1309748618319135,4.11628592004999,7.998634629992885,4.9173623265530395,3.2745988762527434,6.058559895867503,2.8591995656338827,5.270116753370478,5.815511325741546,5.737338593340132,5.455553004892139,4.287056806482942,3.3009999645161194,6.386416843873675,4.4967403861729425,6.932798765052919,8.67610824298396,4.210004602453697,4.840631652369602,5.0659054279768725,5.632861937654972,9.765166536853648,5.857826614955951,6.105278601734699,5.896355022407535,6.582100879385063,5.6284809116373,5.767435724079008,7.271346067141613,6.66406123898575,7.580083784476005,2.4358817628609124,5.761727882277597,6.634828685548177,3.644277730831524,7.868373689473521,7.239608449404419,4.108527092486995,6.500630049191474,4.949482293228324,7.236390899635677,3.4628006348841582,5.910332078287439,6.916609885407846,4.035595671731159,5.410879976611652,7.020432885147415,8.890256948986424,2.1136927112859225,7.435772898234069,3.8297446340932106
2,1,4.091405318436305,3.672453041294946,5.586204510584013,6.888243719771302,2.9665273066599753,7.832886134185333,6.590208439680656,3.168818061660062,2.5664782700157738,5.705082907671035,3.8997306750476652,2.0415992279036965,6.181526635968274,6.01799372078179,1.8680919805340366,6.219801612720684,6.396016619962533,2.3831474209177874,4.720644998951077,2.692915055496784,7.0597240466718185,2.5024182608820817,2.9479626264796894,5.1211040835046475,5.22724735073518,6.417755187747948,5.466341205305943,6.138480485866237,5.590006860117098,3.829931647558465,2.816940344306553,5.48460048051344,4.936392621639419,3.44925879149531,6.067542460922535,7.171305292536274,4.401661715125354,3.2407734450958823,2.0211010968861487,6.394129079233553,3.499700953094803,6.60564980629339,3.7871875304684623,2.7799852290804563,1.8867069040514162,3.687859460732594,7.50911843799993,5.162871017713549,4.849922577920934,7.620338062395713,3.692796773673647,6.434019204555244,5.44479278833012,6.258954468656424,5.350352519166619,5.2316650364665644,5.685206342625406,5.091481186746066,4.606315161257325,4.447090343543473,4.668559849090464,5.46661816972052,5.2958394866784,4.293680161039357,6.521576479526032,4.248077977121356,5.594696867170204,4.878943134974853,5.945779326629748,7.024794095842486,7.434555445212657,6.698701294806504
3,1,0.7964493107048372,2.5113353708653596,4.493172317484524,6.166147210974164,4.290387794603186,6.014186045551422,4.782242294319693,5.416535850446808,9.690459933164195,3.4917344549853038,7.141414085240757,0.6849816745957418,3.3363681611024765,0.26182627603181563,1.3883433172316257,0.23435799848498237,2.738248800449567,3.2007263615668644,1.895554245398213,4.881108883760971,1.5603331426248028,4.295692591609312,3.1921740919812716,4.942633969720083,1.1091226525666356,5.9005939311079745,5.505042032125713,2.8679437926595486,5.413155382625489,5.477573210398741,3.9462560912866107,3.513763783336624,2.5889864793121817,5.9577990540831545,4.641119506301714,5.546683604654552,8.577883222601773,4.939755784941994,3.743678416822845,4.403395238102973,6.787461138900288,7.325730711424295,6.9717818291561535,7.937621007771126,6.653709402442823,3.719107787339315,3.1670907466619957,8.414757080175963,3.7696000319628133,3.3901817162689594,5.49032944189014,4.7621878903182235,2.9240217329496994,5.689850498522144,4.212485607059311,5.385980659925709,7.855830947190577,3.521136162581535,4.9442787955132905,10.008844260164024,6.062767249238472,5.297352159675832,8.268130419565463,4.745257444386801,7.552373515362527,4.370713181719985,7.27425300388588,6.0304457591030305,4.457478330601381,5.754991272749912,6.781131408541805,6.785145049773572
4,1,1.4435020709368283,5.4467200817994925,3.6710427376210752,3.7010964773546386,1.7896878888327308,6.92903069737015,5.218748290818084,3.863732007342975,2.1904857131674236,4.8560411122656815,11.564902097150036,3.2465240001276676,4.588454679356439,3.130296105855161,2.668361887119162,1.571440384912061,4.2891872600170045,1.7671104915508558,2.0978336437362066,5.297112208540364,5.0957897280373805,4.175582984762962,6.421079270482478,3.2554669201819197,4.288742129300874,4.35062976251419,5.2480535177103,5.414207680761251,4.157305326141294,4.173065625809622,6.421927262792738,4.94710529662922,5.5576386793318315,4.384469706411716,3.6785597527609246,7.652280361482507,5.534038199766255,6.229739264577055,6.439164433534567,6.0661137716404685,3.6149614098535614,5.028426788921269,4.979714595639089,6.036033706388681,6.517776208651389,5.809728945580833,5.853722532043709,3.2416392287665157,4.874294086551281,7.108862754197101,6.7910323244388255,5.096869399871778,4.844312005127199,5.386453542120909,6.255380492015728,6.63969683461943,8.323082750751741,7.3372693440538574,5.998419653206611,5.255074922425193,5.831223845886212,8.73194149496998,6.564589586856417,6.523876338521592,5.926961725832484,6.362427783595335,7.158288663584009,6.868301784902805,5.199599107752575,8.278885303602255,6.676287691687484,6.793296246107144
5,1,1.8222912241045262,3.460773496486184,4.2413436909610835,5.482272525666959,3.9018941759610506,5.960999406140572,3.6681879138065536,4.9846417643252625,8.040650498326443,4.2885511701594305,2.270025139783919,7.4823097269142105,5.817895247101239,3.6827973549619792,4.845411677428977,5.4350458913712325,5.759063144909686,5.724798701707283,4.2740911281659,3.4844109955082994,7.558791344438241,5.022942983062126,5.4413839895805385,3.4895746486892203,7.367593197791256,3.526231758183315,5.642196189199768,6.560104328969957,4.338007371555516,5.605407817610557,5.0017816968198,3.4109426961083718,4.591274034545539,4.962424915856517,5.402887228085311,5.95404267528589,4.815833131695314,3.5339921588759076,4.981855843625108,5.444285836044413,7.460769206693778,4.632368298382043,6.687832724849814,6.313048417469304,7.328370990609155,3.009583322528999,6.114980711830161,5.263262447381543,5.635640269960604,5.2557260844042695,9.187119657560366,6.478864046479473,5.420898325775454,4.81957938718221,4.187082639276282,7.1872892998338465,4.583600848511393,7.400446747687478,9.853627999214433,6.09255560527942,5.882419573636,7.037532107483508,4.296947206841815,5.745166439084837,0.490457738251252,5.4998672930266395,3.2862394928871,5.4910453536814865,3.7886339473739423,3.216363779817077,4.979264855945635,3.8570389500797035
6,1,4.368029600474548,2.273036487522898,3.093468465506156,6.838118003551452,6.44413053068577,4.079830831870573,4.321202156550418,5.022369246625406,4.343313920478911,4.466825556745598,7.715131567285984,2.01854745507348,2.5322795825739974,4.912049213146918,1.0616620448502383,1.5422753122224382,6.820539481114078,2.245306436358901,3.3891697661356495,4.337733768077158,5.354445815699895,5.136191254092232,4.239172317705043,3.3416208677760415,4.268510358564626,3.8924096906468333,4.459404740826605,5.3960753765329095,5.780621640957883,2.6221392882831234,3.934862020373659,6.154573916858433,5.704307091028706,5.441119696353406,5.6049554722180615,4.667278852499998,5.551505647470435,6.548021992257883,7.518746816743157,2.520395538745309,6.172544325761815,4.415552481019983,5.478598108399734,3.8024312325505814,5.740912273842469,4.107322935633166,7.190807690330819,5.473182557744138,5.182722620619274,6.8726427912097,4.563030332120853,6.187147015165793,5.83004890789675,9.454126244416578,7.446367536353906,4.110952253817862,4.194241571379862,7.835317717151653,4.587863291488537,6.185726607594136,4.4532819619764865,5.975357148847645,4.071826856647544,5.474551599160817,3.7321665152886028,6.885306436914263,7.152748419296972,3.9738528875442456,4.5403171022927,4.196407450181757,5.457642322036958,5.457867181167001
7,1,4.5588418332339,5.708546794124518,4.919996093732735,5.164269038947613,4.186754535806056,6.2001740391263525,5.008658727220485,4.457980952799385,5.600697398495454,6.24906505056374,3.653522428446924,2.460031252770413,2.9854683494217285,0.40586483909985194,2.1084299685900847,1.5750607702848582,3.26368702687291,2.3072650356558655,7.318197583938123,2.9610757539307357,2.7545271513951204,3.0684090417478433,4.257042087101405,4.930335569567152,6.8883481072652755,6.415600838569674,5.662042187157385,5.303546946200685,4.327256021990119,5.38436101245553,3.7866613720043607,5.146763060890339,4.778597734047744,6.127499378687209,6.965493712514744,5.732088714214412,6.7999898481168755,5.4589389440078255,8.16566252708351,6.0599375054278415,7.823863881447377,5.915300965344788,7.459385617503447,8.375911469012967,7.36581171040218,5.2619761420316,7.082746410633609,7.724525824463664,4.131086484227656,6.062933039160497,4.769559156757421,5.476121586064248,6.768461424959251,6.1066565122253404,4.610282091225108,7.011890244894336,6.698054235532775,5.812592676092219,7.479968863468287,5.055886540529995,7.796772096052946,5.38347373927888,7.20062915460867,6.982072422072765,5.029216791905735,4.880648280473246,4.7130316818020574,4.97419356446344,7.310236774580421,6.327343258976103,5.749635958576297,4.337648456784349
8,1,2.2438428070494445,2.303075967889418,3.795480172379983,3.9571060479709934,4.755106872980174,2.478507463758439,3.462213635316956,3.962325944088096,7.556538926178322,8.093566637359205,5.663274889641106,5.886035323619574,2.8313841647935214,1.7566645666188623,3.6284891111453437,4.476266648486008,4.573494650397674,2.683276349830744,7.101246950738294,5.7877139703776725,6.598291302445097,4.618035050432001,3.878581205051257,5.366595017965364,9.012711928570399,5.860179365298823,5.6468191896655915,6.417384771349539,5.331803862786555,3.4103598511168687,5.3418407359112425,3.7691303479016915,5.041015867439499,3.7142059260164375,4.949425000147057,2.8127052321402677,4.19031332701281,5.074692891228558,4.290683314311056,7.316772573746726,6.557450942723311,2.737387236917594,7.1952789733520115,6.261428283990443,5.015863734667252,7.287298440192828,7.972589705303709,6.81445516402003,7.126796320884877,7.480470345439923,3.5655503720913453,3.0920755293205797,3.806864426550717,5.364909159954289,8.601458072068896,5.630020259619089,3.1532326599482428,5.955601411351691,6.718103549418527,5.703279937545391,5.187156826950035,6.186328187875871,5.3769365994604374,8.579892248461334,5.067510051733465,9.325709924936417,6.855803773200812,9.561690447353039,9.667244309370833,7.829201305838393,4.980863431851387,4.837950147615218
9,1,2.990840447681709,1.2642098195660756,5.137006583194952,6.112536935912114,4.97518957890257,6.369596753697025,4.154506209534097,2.4691832493328296,5.018600061933462,2.0464827800283047,4.541772178290071,6.458884484054804,1.2454925655073426,-0.911981265476247,4.4700042973143805,2.3521997194125963,2.4088930567615217,3.807811297888643,3.0858400844541483,5.7594082924954275,6.708207665424025,2.0230812705977352,2.0390969234201215,4.604861328925971,0.8738240043027027,5.892088236289712,2.91139440123653,4.914993754054102,3.7301408913418284,6.231130257835949,6.448689095387892,4.46334430721741,5.5416413750126186,5.97667832627511,4.0627021414056355,5.7566688281332885,4.706914820787836,3.9871922366780086,6.306582609541125,6.881190053207052,4.053858345055451,4.062831563427325,4.388360907765204,3.3672998656835547,3.6320294789387506,4.902046796332402,2.5448731979286014,4.16934784241121,4.202407963057091,5.7711764087953705,3.689184152336577,4.525251388228799,6.063747542226921,6.657308837031772,4.6738626597308235,5.127141115994237,4.332345068874854,6.041901939229145,3.0256171368950153,5.027737268511222,5.83767460430625,1.0136006743396602,6.298497756804611,4.893086630943741,3.0015206789940416,4.249874479225865,7.2526915594811525,6.141570973501068,3.9247454641580877,4.989839056528431,5.2706559240383815,3.8481346345865086
10,1,4.722965504299719,2.745725568581338,2.775281056758554,4.288463676679177,5.302710174342966,4.546166083620676,7.533341564512048,6.725361621289554,8.128492330951104,8.523136525307885,6.802218790993986,4.163577080354551,5.748084500934324,1.9562206782460534,2.833022302872509,3.2064917084300832,3.608047755502219,1.427074660635979,2.436294425739877,2.862303153674489,6.903358809932754,3.001886120523041,5.693592737838827,3.714926987582945,3.3141670722575824,3.211352724857967,4.945095521729521,1.6262872733773783,8.654995317303639,5.5036763234749015,4.071891860001211,2.611769044269348,6.99113995810035,4.129253340342151,1.51317580823383,6.10351334968305,6.705506723693895,7.062314258009537,5.076803991375407,4.09519493577585,8.460326172403839,7.080066428253979,5.261847930627512,6.388215654852332,5.865606106262884,6.316463074414346,5.342540545377049,6.645181051460576,5.370620931839994,5.032537680891512,4.63054378465408,4.592105132017796,8.732160665286116,7.792431903608035,4.817611974185007,6.918061839653919,6.973813892591528,5.038178713592436,5.688877161789394,9.096683462001,6.219667102931184,6.956168057535864,5.775315935621705,8.735171682841088,5.176199926836573,5.946275444890312,6.807477942290469,6.43985086136922,5.7651935992756655,8.628452875202955,5.27677051170427,8.03025907253126
