iteration,chain,data_log_copies[1],data_log_copies[2],data_log_copies[3],data_log_copies[4],data_log_copies[5],data_log_copies[6],data_log_copies[7],data_log_copies[8],data_log_copies[9],data_log_copies[10],data_log_copies[11],data_log_copies[12],data_log_copies[13],data_log_copies[14],data_log_copies[15],data_log_copies[16],data_log_copies[17],data_log_copies[18],data_log_copies[19],data_log_copies[20],data_log_copies[21],data_log_copies[22],data_log_copies[23],data_log_copies[24],data_log_copies[25],data_log_copies[26],data_log_copies[27],data_log_copies[28],data_log_copies[29],data_log_copies[30],data_log_copies[31],data_log_copies[32],data_log_copies[33],data_log_copies[34],data_log_copies[35],data_log_copies[36],data_log_copies[37],data_log_copies[38],data_log_copies[39],data_log_copies[40],data_log_copies[41],data_log_copies[42],data_log_copies[43],data_log_copies[44],data_log_copies[45],data_log_copies[46],data_log_copies[47],data_log_copies[48],data_log_copies[49],data_log_copies[50],data_log_copies[51],data_log_copies[52],data_log_copies[53],data_log_copies[54],data_log_copies[55],data_log_copies[56],data_log_copies[57],data_log_copies[58],data_log_copies[59],data_log_copies[60],data_log_copies[61],data_log_copies[62],data_log_copies[63],data_log_copies[64],data_log_copies[65],data_log_copies[66],data_log_copies[67],data_log_copies[68],data_log_copies[69],data_log_copies[70],data_log_copies[71],data_log_copies[72]
1,1,3.062883058747269,1.5179264534116617,7.168400214168552,5.507963008510951,1.8782850809768723,7.509747217355072,4.735231665995043,1.9088348774357762,8.215373378718615,5.905086417362883,4.575013878071975,1.890657536857189,-1.62390869076135,-0.018864877588944395,1.8697995752675614,1.6180113527653255,4.954583321257468,1.1497627383043711,3.2900302986093215,4.69739339749579,7.304288723401994,6.362861529997941,4.191755199423354,8.25233419372718,5.029607301875665,3.2960552376073533,6.2078219236489645,2.861585837517827,5.366224306811836,5.936656771702361,5.85489529718474,5.553601320068811,4.368378984963226,3.3370543928611056,6.564116129202154,4.600460082775659,7.1483526656455165,8.94829324304435,4.213589083629049,4.873166865905588,5.0624078740638145,5.655392138456841,9.940914730451546,5.8541972313694215,6.1130092069756286,5.849388721358673,6.5666156966539395,5.569217085944853,5.694504790956242,7.267456425289494,6.632292456001075,7.609356674900306,2.2289953956754003,5.70752396169618,6.686678438040179,3.558837717030781,7.9768528416530255,7.375743921249181,4.100921349336979,6.602840611079223,5.051787087102062,7.4436827520349835,3.496855069370483,6.1783050575835965,7.2307789158855575,4.217503532253576,5.740068373863185,7.423512396777108,9.37917606429454,2.3711796986727802,7.937585147461045,4.166011876689179
2,1,2.608032926380597,2.2134805929369215,5.258024455422088,6.484232394248179,2.790918271562667,7.931155109546593,6.760851447681557,3.538724177051427,2.6710213604584596,5.6268324423163465,3.926624626453442,0.3703420220459752,4.7579855996667595,4.670490038711458,0.7622801911629713,4.920605375719235,5.086557552347713,1.3073994174627217,4.018184889769726,2.44737366220497,6.559857997955691,2.2679714750594133,3.0293060736472195,5.075882926320786,5.175844368351597,6.378563262044751,5.482560000277599,6.115553627508173,5.717048904212036,4.0594811571412395,3.1054868616970923,5.689037359235001,5.224622533551501,3.8240999565411062,6.2898937658952425,7.345403439694529,4.737064982314441,3.6845217205484424,2.6158034386900466,6.734144569146518,4.059091615413549,6.984148798412766,4.350520355559004,3.4019779082568427,2.5607244605856483,4.262710172124476,7.86141753913256,5.651816481879328,5.349744894411577,7.958810302687662,4.26001054741431,6.809448818277359,5.877835333589089,6.64457992074115,5.724056935705138,5.61228185819658,6.039408742143998,5.4319055021407285,4.974995734827093,4.825044232475078,4.973891873163262,5.725470966556009,5.5646385004897825,4.5228654136838795,6.62100818337433,4.47991911870789,5.681747614537839,5.0076796583123375,6.012382894899782,6.964430075552004,7.350326764435451,6.657329046179823
3,1,0.7718581921312959,2.2602644876647426,4.934941603827261,6.3869718124734804,4.758938213569906,6.202337014497092,5.133092312079512,5.68361665540966,8.880452656192018,3.500373920732815,6.668051508504399,0.4359989461114351,3.149617385785196,0.5562050155939031,1.533946391595618,0.6097407417486713,2.782950332491703,3.1843498945392867,2.6931970197495074,5.280806135417138,2.398595104615965,4.772703985082546,3.8093448341541816,5.328626821822374,2.0013956366112633,6.142949174211789,5.799636606495017,3.5108118776997985,5.681711395945252,5.737621757939402,4.408541014037799,4.013837293446513,3.2823557171005535,6.2062595036250086,5.063469802521144,5.879173072693221,8.510051414516646,5.3383176953848785,4.248715546030267,4.821305581528452,6.853642109859582,7.320824063839566,6.989258055345319,7.827541803356435,6.713192482620676,4.138849895884858,3.659736059885191,8.214359127338426,4.166148841888038,3.8368391443874543,5.659626773830437,5.010882309999125,3.415477143193035,5.816031350660432,4.508258148193508,5.526773293333941,7.670437996192401,3.885107488017316,5.120300019758693,9.51600379090126,6.040060700117459,5.375731643821618,7.954168291816604,4.79925186228269,7.235640686822024,4.474172516511439,6.926964805720909,5.847423385113867,4.48219296098192,5.548543298164518,6.439164240100005,6.442647811992131
4,1,0.9616109646565172,4.949470843717734,3.833999315603281,3.863937755771669,1.959862184075046,7.252491027143279,5.5487700275758565,4.198952191604293,2.0172107581412924,4.672539896508227,11.35566269502255,2.5004808680385366,4.196920538380044,2.778822725076507,2.3186606922658552,1.2616645128721264,3.968984897439314,1.4565839416114892,2.012744238505191,5.41107465894109,5.210524541367572,4.293848122049892,6.66592063477979,3.512452986960157,4.541764091000208,4.634059770666692,5.528040607621364,5.693557329111908,4.483423908387359,4.499123744508891,6.739357744093722,5.290256459759957,5.846284835156342,4.677616662258255,3.9744148943916766,7.9028899315529655,5.792774292603834,6.455507100040158,6.614194184339524,6.242574711358556,3.762953276456974,5.170995971191827,5.070906581114439,6.123173180088939,6.6030675030059225,5.807223141521425,5.85104794894267,3.2489857635609387,4.8147729461002635,7.040768810560254,6.724157720247769,4.988536229548572,4.736947757741838,5.277009397723296,6.075995679539281,6.458837613048314,8.135765309143018,7.115322149668063,5.7816088840563555,5.041115955579553,5.607165635831205,8.496754836788359,6.337717858357516,6.311701307272815,5.717076725571533,6.150872141093058,6.957922217564754,6.669047858034739,5.00674706946104,8.080839380804623,6.484390048918988,6.600949706277385
5,1,1.4269590445038436,2.904060728364717,3.718742671407188,4.837447525400626,3.412726879449011,5.641949714605634,3.574966279271119,4.761757392060997,8.115219241336511,4.732678991088523,2.912965559553656,6.468360095207226,5.047313527410573,3.130886269326818,4.178990116615044,4.740687108477309,5.032790623339228,5.001901020440286,3.790361359592363,2.992102356310972,6.665180897066897,4.379098253548373,4.930971644040162,3.1714037118126996,6.667460901736339,3.2612802871059725,5.168835026469112,5.996334769211722,4.082224146912782,5.2247933187309865,4.680620717982369,3.3034352150228887,4.452688220095955,4.787282985624912,5.184362425565814,5.707496708891497,4.681393917446382,3.5459095052849534,4.876594606405761,5.293478042976273,7.127247584019983,4.577427049051308,6.44601696947847,6.108146648360078,7.023466092290864,3.15366996574847,5.953204504578953,5.185375334988117,5.539005603311231,5.196510665973771,8.74068576308219,6.327138733470818,5.37337623395506,4.8312835719194585,4.311943911239263,7.016648371543559,4.669407476402728,7.2450611971101715,9.45661894083798,6.0659894174994475,5.914918533306943,6.956259472757473,4.485605600123699,5.852448727594757,1.1152970348166606,5.631310062990519,3.680000380811403,5.6676462067450695,4.1329120217815545,3.6720931055296626,5.261359093891289,4.249665648580249
6,1,3.239449334580545,1.169235241610735,2.8400103678991524,6.5403691895909795,6.151041695511089,4.3036564275612985,4.542172876566227,5.235046749241993,3.5968489193040942,3.718899692867166,6.928785605964411,0.8298030407225347,1.557283964855682,3.9628470730065217,0.15800125756260686,0.6741867549812666,5.890021022551595,1.368902614420611,2.742580279556748,3.9769251349028747,4.981611783497771,4.765938678654701,4.202164298550976,3.3152288478703857,4.231155336885256,3.9274214945886956,4.487710278484749,5.41330222364306,5.885459703676124,2.7643350381676717,4.0615312357755915,6.312052185101018,5.964444945237797,5.704370460896812,5.8662684308857385,4.972153304301956,5.845921700490269,6.842368109048376,7.801519427148311,2.8622873154274666,6.460925031005645,4.724714417361727,5.733924124081097,4.077582503147006,5.993135707512063,4.29161084014368,7.338624959268358,5.641315438804006,5.2884359704401245,6.9583682158121345,4.676073237110341,6.2041344432270416,5.851259997162799,9.432472713182355,7.32414930321922,4.028184423370778,4.1104886170908985,7.623380238729303,4.414335838190445,5.993300053008668,4.1951509774866125,5.69922346485667,3.818207621441563,5.074373085286228,3.352596467638755,6.4684418909481805,6.643347726056211,3.5020513231094514,4.06181555015414,3.6191153052416873,4.865432627297661,4.865654826853865
7,1,4.87902382976552,6.058594327172436,5.534253663932007,5.784872013240477,4.781964912796244,6.384262609638453,5.161795666428946,4.5968131027443935,6.000678275152956,6.665888376760497,4.002922132412472,2.5694939864888577,3.386931259660496,0.7835645666541633,2.5303567133147626,1.998041321537218,3.730532509428552,2.749265834683695,7.9970331197489255,3.5605700048541493,3.348655952014971,3.670691456883606,4.743548435501865,5.434331858231233,7.443207092823952,6.8864031508698575,6.113269535282853,5.745461772354067,4.619383331152117,5.703948416831737,4.064745818163351,5.376394977350811,4.825381284674928,6.2093229375732655,7.069085595648082,5.748122119848437,6.843763797103565,5.455947406118263,8.246844408774036,6.086419607899513,7.915906582884443,5.9577655076858385,7.583190749727331,8.523524914862971,7.487186101666801,5.408556897485824,7.276624762249024,7.935075484954968,4.306085544904774,6.288115090946514,4.961143628096179,5.746675804735762,7.072586363043933,6.393589945132373,4.951912267410504,7.415906266536712,7.093917834495809,6.239984902700556,7.950674014787246,5.463622041723985,8.28780727609647,5.811819401010572,7.676178510556206,7.432789364067793,5.429204996426559,5.276777165904135,5.086514691994041,5.354460697546609,7.75118659249897,6.739051857613295,6.146337630164608,4.697671357966506
8,1,2.1394904242067416,2.1947119110053195,3.4463709153713977,3.597050383235189,4.341005144362175,2.442323918965266,3.3594067927486835,3.825648081664917,6.413870714210433,6.914527242460951,4.64883144368568,5.4630960647005455,2.7016052115945355,1.696275777591629,3.441327584873664,4.230942297894697,4.321585355733911,2.559385543146064,6.589856689468361,5.278199072469377,6.033878573735849,4.187738794469739,3.618187195926392,5.005422554646018,8.404599535746286,5.500382386045443,5.301472418132307,6.019850037914544,5.057129576994516,3.2658188716401053,5.066486684548701,3.629611564581393,4.847598874493515,3.6106495605364195,4.762211166031964,2.778906414791148,4.063213484443253,4.8903706392924065,4.159003366899224,6.980145202343439,6.268535671377282,2.707192759595377,6.848392042147106,5.977788096939075,4.81658168246035,6.906011008046091,7.544889670147863,6.465191906672873,6.730118918873328,7.059839723925932,3.410064858630152,2.9074245854418193,3.5738030986331433,5.026326405800246,7.920813506153645,5.150621748595807,2.8415791143927605,5.366564467008792,6.077424754625415,5.131331926026626,4.5688514179792925,5.500352072924045,4.74577800865429,7.615088392502436,4.340588697438467,8.310394204172391,5.932065801103798,8.45469135638747,8.553096390245141,6.769218076145583,4.113789088805164,3.9805548678573732
9,1,2.8035400860575295,1.0453211393110977,5.246200897485123,6.23957835838736,5.081423487528532,6.860710240787664,4.6050951137951985,2.8889395494481684,5.529227576100261,2.50273607762547,5.04367623367228,6.085396614305575,1.1483567068672589,-1.0012102816774293,4.479237495356047,2.3722703921857677,2.43000092137831,3.854512056793068,3.3425576163838837,5.880438547592415,6.846595991448712,2.0757562639759075,2.167440420630732,4.780144908313354,0.9808490957920544,6.1470580943695365,3.1118331366376886,5.1520878885514385,4.0430323033682365,6.589776707282998,6.81131573478966,4.8559340046492245,6.117843311007986,6.560839165355411,4.611847217070806,6.404047949448624,5.335088928866394,4.659920725565727,7.10355913929177,7.688678896780114,4.855796392393345,4.864933773775222,5.204606985657285,4.164865861678809,4.434438643610816,5.711073200111627,3.310775641387635,4.964969683778511,4.982931991822527,6.580400703103996,4.460318867025241,5.3029096088786005,6.869552203657626,7.473972568724463,5.4516004261619555,5.913171509737645,5.103834847865988,6.841772507382444,3.7703054536357183,5.809053922329237,6.605983749622922,1.6936544731352194,7.075237557952666,5.578732662053553,3.652560936854849,4.923753088824199,7.931674084842748,6.800225797885019,4.54284396491512,5.576275802476912,5.862230151358595,4.41368415516366
10,1,4.561188503399045,2.8650910673275916,3.151182712197189,4.449206849577753,5.319238277304803,4.1171750039993675,6.679605886923329,5.986512102329643,7.412409035276679,7.750939020493586,6.274717493641202,3.993275707055079,5.66205543319947,2.513516031782361,3.2656457862989265,3.6877605837407925,4.032219629693951,2.1613577239033113,3.3824778348813425,3.3340840064735797,6.800544507187392,3.45381975928451,5.397825319202763,3.7005048042638027,3.356728688586371,3.1859189211396504,4.673141922991876,1.8262329266905777,7.744121274438959,5.040886341176173,3.8126864077056037,2.4943071614818115,6.183236637062297,3.7282798728275663,1.4841807553570603,5.404845977904434,5.9212422936711535,6.205658959823719,4.465723682818289,3.623688999848957,7.345014425975878,6.161012944479069,4.589588628319259,5.555798836104308,5.107498809680367,5.486354900136612,4.6509138013646405,5.768332675310436,4.6786255515876976,4.388614144902204,4.043779507280463,4.048102070322903,7.5994857179623,6.7933763963307285,4.327351367456334,6.129139591061113,6.176964294747792,4.576934056178087,5.135110102344962,8.05836257363244,5.632145610386368,6.263923958680408,5.250976455356561,7.836618414613326,4.783694608369847,5.444273574107656,6.210569799029967,5.895215380925713,5.316487209502189,7.799928718420651,4.924819956675657,7.2867917153403114
