iteration,chain,data_log_copies[1],data_log_copies[2],data_log_copies[3],data_log_copies[4],data_log_copies[5],data_log_copies[6],data_log_copies[7],data_log_copies[8],data_log_copies[9],data_log_copies[10],data_log_copies[11],data_log_copies[12],data_log_copies[13],data_log_copies[14],data_log_copies[15],data_log_copies[16],data_log_copies[17],data_log_copies[18],data_log_copies[19],data_log_copies[20],data_log_copies[21],data_log_copies[22],data_log_copies[23],data_log_copies[24],data_log_copies[25],data_log_copies[26],data_log_copies[27],data_log_copies[28],data_log_copies[29],data_log_copies[30],data_log_copies[31],data_log_copies[32],data_log_copies[33],data_log_copies[34],data_log_copies[35],data_log_copies[36],data_log_copies[37],data_log_copies[38],data_log_copies[39],data_log_copies[40],data_log_copies[41],data_log_copies[42],data_log_copies[43],data_log_copies[44],data_log_copies[45],data_log_copies[46],data_log_copies[47],data_log_copies[48],data_log_copies[49],data_log_copies[50],data_log_copies[51],data_log_copies[52],data_log_copies[53],data_log_copies[54],data_log_copies[55],data_log_copies[56],data_log_copies[57],data_log_copies[58],data_log_copies[59],data_log_copies[60],data_log_copies[61],data_log_copies[62],data_log_copies[63],data_log_copies[64],data_log_copies[65],data_log_copies[66],data_log_copies[67],data_log_copies[68],data_log_copies[69],data_log_copies[70],data_log_copies[71],data_log_copies[72]
1,1,4.170135083970258,2.8061198373999456,6.4660296353515125,5.000058580457333,1.7954792309805652,7.133096744808839,4.683525345307026,2.188148906164427,7.663978410065624,5.624266337662611,4.449968485948397,3.457160332132902,-0.2431059647906717,1.0548858899689364,2.72235480168768,2.346345987004462,5.292147196297178,1.9329374504123145,3.055260219958181,4.211512436438271,6.5130948617754,5.681925208916393,4.035250477173627,7.620264864636247,4.774975488328673,3.3029430516781235,5.873691084664789,2.9193575944272796,5.207107433571967,5.710732309870898,5.638546529740278,5.411733316881544,4.322419209827686,3.4118807112498466,6.260997246168101,4.499625295583469,6.749115227957946,8.320423153978746,4.1255611027704,4.707890825312216,4.8730710163811075,5.396606483212337,9.198591970044951,5.590500352505433,5.819000932717629,5.627396227258591,6.260623417055121,5.3800375758627,5.514107126858023,6.902838696365231,6.3420635035931845,7.199365766740572,2.4491386137098834,5.520270827583303,6.355800806430801,3.5942847757760044,7.49487328988117,6.943638983456264,4.052355239644891,6.261256128458552,4.8831048006558655,6.994867774390144,3.510282436428048,5.8721837819977845,6.801394598911769,4.1410263068870306,5.48273004743519,6.969013420102117,8.695634770141863,2.506252606395108,7.420734912576074,4.0908786388638685
2,1,3.947795134238239,3.5757129926266384,4.753346082484026,5.909720122797973,2.4267443248373928,7.614162680048716,6.510509106283188,3.471885547940076,3.2017694561023955,5.989243827215162,4.385864727186698,2.4471299141924,5.615903174395528,5.401700601996235,1.7160676284151057,5.526629913983074,5.683130930581029,2.11920003187391,3.8753499187988636,2.1118607307050614,5.990134534422737,1.94267569656699,2.6734521681705132,4.603474205219794,4.6977427325524745,5.889493529537676,5.044518644661233,5.641462584621658,5.3759042162692605,3.8127367859479744,2.9130735209104577,5.425948302569619,5.169405547091911,3.8486442800601033,6.174008404381239,7.234901106423508,4.775110409460293,3.8228378861989896,2.858167128559613,6.741964176045928,4.241744312337238,7.000216253150417,4.521946642379641,3.627424736701746,2.8340816034458247,4.431342829872266,7.825099831542523,5.741337998697081,5.45286316010762,7.913339407309174,4.42519038960468,6.851037900054271,5.972480833843075,6.695558468605988,5.87864157868067,5.773232215478604,6.176033750909726,5.63971791729125,5.208829666646586,5.067418068225563,5.238464997283203,5.94724082993203,5.795567950716528,4.852578359935885,6.831229577987201,4.812077903964736,5.970374172739246,5.334695132255398,6.2821794081453275,7.207244909384252,7.571164354967953,6.917633623341153
3,1,2.207129839880892,3.973922537587892,4.5960764835143575,6.319689435962033,4.387154023557332,6.359975061385342,5.0907425017258126,5.744235027674208,8.721492750062083,2.3351425636761443,6.095291689328102,2.1376432600349067,4.670899796541248,1.4373773002922263,2.5979920655950686,1.3286401236747483,3.9083193732411337,4.384795330925984,2.310083016361693,4.992348967610701,1.571059083422861,4.389213135953498,3.3332334233614525,5.1366766966297215,1.1871316165969041,6.161044609969225,5.753520038558003,3.0366013925526354,5.716361992835818,5.782729636935318,4.20506219489676,3.7902069676431727,2.7920374411838744,6.262818150948191,4.906284988609318,5.802813749534276,8.925762541700733,5.121858070094169,3.7921406274791054,4.471825936882751,6.8647036434017,7.419265705702367,7.010347426284855,8.005420887769828,6.682647496875869,3.606176361061306,3.0374507185033264,8.443954843440629,3.619621542590001,3.2287188901528814,5.392434458163353,4.577376272242185,2.683572001825032,5.533117624502696,3.893400253041679,5.102414973241554,7.647023360553676,3.096151421747582,4.562370122845414,9.780231232035604,5.61646211400027,4.827879232390376,7.888577816404988,4.099187507499916,6.991270130966827,3.713306437252112,6.590818801019761,5.309363660360622,3.688785226043222,4.8902899027587585,5.947489527188315,5.951624654404195
4,1,1.1306019036232373,5.383931268020566,3.3980089541927234,3.4299403787046683,1.3991116167283604,6.939286245150255,5.122149541263261,3.6824751263044653,2.2888137971837423,5.120906633658896,12.248920983923854,3.083111148597748,4.441558011731684,2.8862956301492297,2.3955008816148196,1.2268381427085469,4.11438325204721,1.4347332431110849,1.825882639969402,5.126444208244612,4.912543587365829,3.9348445582684635,6.31973730535133,2.95634517199841,4.054176910495805,4.13472069670083,5.08821331187339,5.264748384108734,3.9616000094655024,3.9783449744384587,6.367710033021844,4.821922086161225,5.49452812668792,4.248062401268759,3.4980489055420394,7.726341003744075,5.47575620849064,6.213726709385317,6.4265545608272285,6.030196598224012,3.414407692157252,4.916182960462502,4.8382376549688075,5.960553022189373,6.472393627770252,5.6684117105249126,5.715153909585759,2.9398739758089993,4.643379575013619,7.017558674195895,6.679870969923556,4.876662879225516,4.608326310907739,5.184339536442249,6.123326460231208,6.531653955955545,8.320213741925215,7.295126356098561,5.872628583271109,5.082841476317794,5.755789526618504,8.83773698019096,6.534974180676204,6.6145671083857245,5.98035871821081,6.443031639259629,7.375667222663365,7.067562667018917,5.294603493196145,8.645551226437341,6.94282720202148,7.06714616717611
5,1,2.051365170187232,3.7394708163633332,4.215960076670146,5.494471909040929,3.8662299315704627,6.238917353678193,3.8766653531115756,5.232989565738302,8.21434710949166,4.348611014779186,2.2689515358412184,8.100842969779821,6.068065830570338,3.8401562189054426,5.037981691395256,5.625771666587237,5.959602165932016,5.924299983535511,4.385672580191966,3.4276398039203455,7.625417581338663,5.012768052660517,5.506138509783854,3.4952163141908796,7.49068524239537,3.5763361450068274,5.756385061809904,6.702093135394799,4.4925234536781,5.798308621461263,5.176400969567611,3.5881114661846563,4.841525979424546,5.223917604213731,5.677719838595191,6.247992350854654,5.075310784838168,3.7451625974522536,5.213357196562524,5.689792428314831,7.749019100522984,4.834956724962243,6.930813549439026,6.544678455973781,7.590751274275345,3.1058473110264435,6.305295333664995,5.427781774072382,5.7856599580413,5.394239621971497,9.44470009997132,6.620025339166031,5.530017875133358,4.910487281179256,4.199882493076419,7.290953961320318,4.60840972532316,7.475251512860966,10.002730260480504,6.127749340088926,5.904563740550995,7.094660223879044,4.271073467658976,5.779851903727888,0.36599813404753956,5.52712358286476,3.2643230254194133,5.5359040397925705,3.7819330902472923,3.2118293597927496,5.028121980363345,3.871908135447181
6,1,4.163657729602562,1.8295413543412198,2.6185302452638792,6.7905954192881826,6.351638075524903,3.779940383775967,4.048861917680194,4.8300604698952645,4.400956258392652,4.538565556945057,8.15763437592553,1.7825357382298903,2.0222462729526787,4.651158599579452,0.36128686441406677,0.9093856932565298,6.79011281994733,1.6926610410467435,2.95150187873382,4.011072850460719,5.143832774400616,4.900666559163664,3.8432796554179434,2.843281362360456,3.87596635074171,3.464601612919631,4.096313680675376,5.13989623734939,5.603106540730361,2.08411388401213,3.546671257689301,6.050032428191114,5.663280216016689,5.370052518094339,5.552588567943476,4.557021007833515,5.542173765055481,6.6870293497933675,7.807032497353896,2.238167618917189,6.329587946235651,4.372052424682272,5.577912107578008,3.7104269457399393,5.870166905571241,4.0808912025709985,7.516326008687517,5.602650529877707,5.294879889517118,7.1776881520713385,4.604455701835923,6.409990354549727,6.012132941750327,10.049863760094865,7.791232646285259,4.0751118718853725,4.167907861907461,8.209399605516717,4.591279571615617,6.37152357742851,4.439403714279945,6.135209106713677,4.014409186961004,5.587194503259027,3.645932963478919,7.158973402159623,7.468826987428093,3.9270911840797065,4.558211826658372,4.196730684263606,5.601923354945098,5.602173879576572
7,1,5.46776598868724,6.80469815409072,5.264369752312994,5.548422068954849,4.4117212406084345,6.250630453474426,4.865079203157373,4.224724630079722,5.819808742792422,6.573761799049341,3.5555401367755897,3.071402187659744,3.5264905217753917,0.4834683329412326,2.4632928642249503,1.807760209404528,3.7713759495928674,2.65920250748926,8.270593982471228,3.0471738507979866,2.806989212266819,3.1719861546346513,4.352526923398324,5.135464932787865,7.412335983152033,6.787716988635904,5.911442784503802,5.494567294632202,4.235936885647777,5.465189356531221,3.607307454101158,5.105711581239971,4.47939599653865,6.047963636089549,7.022423708395422,5.522183082504797,6.763989827671031,5.196881099335921,8.377157816285624,5.928519592818621,8.016571199738792,5.797202545143091,7.659635019549263,8.725415313615045,7.550822784670107,5.229976892793033,7.3472560389303805,8.09354797523596,3.997752222160906,6.244196210636777,4.740198920812123,5.6121404623158995,7.1149353166693725,6.345356768125399,4.651767431570298,7.4444727764688885,7.079529186721904,6.068960376277253,8.007865515039166,5.189026126356632,8.36988258343589,5.563583308718254,7.676658929797224,7.392258150969124,5.121383800442619,4.948621197464597,4.735206416705343,5.038898001228783,7.75536127973674,6.623213832002231,5.951428027499304,4.309501122329624
8,1,2.020686516902477,2.0907493505128927,2.966151379023425,3.1573275152972258,4.101227827736094,1.6384231324486067,2.8019815318668586,3.393529998622105,6.839524984351026,7.474738142640849,4.600113119587364,6.4933995960297315,2.578761601657749,1.2451083344351486,3.4591608980887774,4.381625386386611,4.496629705312187,2.260820432229964,7.138536110958336,5.323345520678666,6.282121718667565,3.9398127430312564,3.0907251112520098,4.850794347905766,9.163535366775186,5.474077583318019,5.221708500316254,6.133157549629891,4.925411981490688,2.652667961548173,4.937283908663436,3.1277465055717926,4.717410467239092,3.1480182072225498,4.60907392729518,2.109446834871999,3.7389247381730972,4.797361289501308,3.876536738797909,7.455889676705422,6.557768084960022,2.039277361087759,7.303732230893839,6.199144453745243,4.725851782330508,7.394510046203785,8.205093969149411,6.835216243332106,7.185043973540512,7.603380661695163,2.9726909804227484,2.358442822910005,3.2039174668937362,5.0468214646890335,8.762383763685257,5.24767426506817,2.318052495382495,5.548292572936637,6.4502039291665145,5.24983884895952,4.544465551327205,5.726316659998696,4.7689429966545145,8.406940191640079,4.252384771402245,9.289116645328784,6.265591286495943,9.466198600563661,9.591051006996423,7.314988093765058,3.9458850490948163,3.7768427506227154
9,1,3.2813242229947446,1.8247414864759475,5.421390082692752,6.2443458716032385,5.2848815260336455,6.404141553612924,4.535494841388801,3.1137591850678,5.97923662602102,3.471963412376683,5.57698541357511,6.205800420096192,1.8266639058128114,0.030226138924087653,4.570460240707453,2.8350162516571027,2.882842657092875,4.062967767030716,3.795276319321126,5.951805070535574,6.7522106491948115,2.7998457866762836,2.835737155583206,5.000211756102079,1.8527148520974448,6.0716038473941,3.557095467727091,5.247328561413914,4.203238010458223,6.313068495411518,6.496600770233435,4.793006115320114,5.7400224174314385,6.107018868576447,4.492391730847786,5.953126403087883,5.067555662135863,4.500150881481038,6.523773869459929,7.008511756701285,4.669598170456595,4.677167962604757,4.996562901206841,4.135197498201595,4.358522961235715,5.49617725616558,3.507669514842848,4.878073632860969,4.950635451887122,6.274045912960428,4.517680695674013,5.271338996567364,6.569211802495692,7.069939127147661,5.475265444140434,5.857650398674533,5.187161770454773,6.681135378262255,4.136602517578126,5.825587742710832,6.54549846426327,2.4759176913632164,6.934248112038155,5.788568529184819,4.192846626809207,5.245955823922056,7.801969477479669,6.864629992487716,4.994519666512873,5.9169205158000615,6.153817159863813,4.953780557474009
10,1,4.680985558099388,2.9284729856824927,2.5182959981635467,3.859494664986011,4.758464843858,3.897575336153625,6.545237105323579,5.829089821840938,7.045043541085885,7.39483361954205,5.869510409648182,4.22513379502043,5.616784199022126,2.2807610361404125,3.0579079280855903,3.423299770385376,3.7792161203999557,1.8461261095169939,2.8914725822084275,2.682004453624723,6.263765430375351,2.8057228248139343,4.946766093834548,3.1929897608300957,2.8377790565342353,2.717596874994779,4.254287487988442,1.3126853710127735,7.519412174464723,4.726262968536673,3.4572109794986514,2.1578979722789295,6.126078099462862,3.589465224186977,1.2707234859611312,5.381223961668531,5.914796512681346,6.254433508247554,4.514133140627707,3.6440909267011126,7.5195220230689435,6.296138603016434,4.67487931602658,5.673227347648452,5.210016086423666,5.580373779003874,4.717144463297282,5.8717306230298165,4.721004899965861,4.421347211939484,4.065042777427346,4.02010378893823,7.689612603466984,6.856690690576204,4.21243811531648,6.074156933790689,6.123572369897442,4.403126043323686,4.979867990882525,8.00035289895843,5.43626568392975,6.089058073576075,5.0424181830724235,7.635008710064236,4.480539373995299,5.163090339469957,5.904452394312166,5.578608742443314,4.980631070369975,7.503467232288113,4.532727376861667,6.973262404342876
