iteration,chain,data_log_copies[1],data_log_copies[2],data_log_copies[3],data_log_copies[4],data_log_copies[5],data_log_copies[6],data_log_copies[7],data_log_copies[8],data_log_copies[9],data_log_copies[10],data_log_copies[11],data_log_copies[12],data_log_copies[13],data_log_copies[14],data_log_copies[15],data_log_copies[16],data_log_copies[17],data_log_copies[18],data_log_copies[19],data_log_copies[20],data_log_copies[21],data_log_copies[22],data_log_copies[23],data_log_copies[24],data_log_copies[25],data_log_copies[26],data_log_copies[27],data_log_copies[28],data_log_copies[29],data_log_copies[30],data_log_copies[31],data_log_copies[32],data_log_copies[33],data_log_copies[34],data_log_copies[35],data_log_copies[36],data_log_copies[37],data_log_copies[38],data_log_copies[39],data_log_copies[40],data_log_copies[41],data_log_copies[42]
1,1,2.2147255540308945,3.6517745106924373,3.3513538274166415,0.5706699291980414,7.16768601712916,3.3644496312910164,8.71228733066455,4.306344714374575,5.603097496896718,1.2397033188221478,1.891079787564978,1.4675710693579518,3.834534705573308,3.3358514902276437,4.743224777461261,2.164495227419822,7.043196778857434,1.9945119929968385,3.98043847335447,4.934053568774506,3.384593629343229,2.4235039192568735,7.102285091210794,7.370139557508794,4.317930154604898,5.181647969170506,4.262803785155009,4.212515902539605,4.705691371088394,10.0071004131477,2.8860094945876837,6.111847190412424,3.7411757272261963,6.785854536507408,5.298643727056823,8.834542943922129,7.081622606128656,3.3609466270749984,8.795015042183675,5.958986246601376,2.9751646383776964,9.073481461715257
2,1,3.2597735987886933,2.213064402066373,3.9449598564187625,1.178898936258557,2.382362487505927,4.660178169050955,4.353241989282804,6.9789789034578105,2.1510516717003623,2.7373053202453987,3.1730165783780735,5.224529734174198,4.517583924393037,2.6177878385733804,5.813286769497245,3.7124590630340917,2.8919899207687605,5.18342356739849,2.5500814132744387,4.856681096471545,5.305586618141972,5.241243896382754,5.0539660408975,3.947842478936695,3.1362349135818834,5.823809425741075,4.212809973770133,6.217890538904012,7.706629254169327,4.328724770428987,4.847783776812673,4.990049784579675,5.607388562655726,8.975305508087832,5.873811967022522,6.220932986754004,6.0080327312929445,6.660976386880548,5.876067092246257,6.051964190498109,7.2898086636527575,6.789962265474144
3,1,4.8516494112538995,0.524137558525129,4.054297891496079,4.8155920298285935,2.2998190006304813,6.866437949570558,6.363533156285452,3.7295402401860778,4.318846456904195,2.4941219950289724,4.34043342657264,1.1659358991744087,3.2429096743247823,4.089431470932658,1.665805200973,3.095537567413975,5.173933358112565,6.746905369083529,1.0932020671747469,6.054466037980614,3.020928476902273,4.730647679045456,4.53022768488209,5.0786144100179,6.19298519508242,3.0842414078435882,6.942368324304666,5.878803027471772,3.105906680718745,2.51560157728778,5.2018258395004064,3.6566866681215044,3.8123633366526666,7.364743205898015,7.34208177917635,4.029467190413525,7.729504750955625,8.048294836215256,4.613817465528422,6.5145563843945755,4.130578660067483,7.867980982045141
4,1,1.1810792271269974,1.3190440317548005,3.975321894242027,4.076976576063266,5.168181387702578,5.154140700748168,5.797856562221659,5.218557015419975,2.3560064178762805,0.9009491231993131,3.3644832293076616,2.789105930062539,1.3293342357937468,3.836895951934406,4.878507782083682,2.313066189361439,1.8380238125571609,0.6597269225701435,4.847828341903756,2.515580817385332,5.490185336946629,2.7725709787920523,1.940141563004444,1.084638182734313,2.7698271280159004,6.630560628619303,4.383531295471855,4.054625473731061,6.838716363835664,3.3499219217604157,5.950570296790639,5.003176277232862,5.8946857192608855,4.992704773959426,5.0278465517947755,5.710348610754386,5.12239591138286,4.832020836886426,4.679529316650929,5.070185075947682,5.834495114400167,5.6709383185763516
5,1,1.5817139566047718,3.997359238468937,2.4549903826159185,3.897491857023791,3.1214202275644745,5.217711684809414,6.368440405101264,6.812733104937811,4.569231182638386,0.9679470479069741,2.7778504450925556,3.2440958290758544,5.023696231493375,3.038851694792276,4.122095307386031,3.0343501825868078,4.35300736256099,7.061252790644724,0.5020393368869865,4.875839574584295,2.0278680781706377,5.058035040753249,1.9400788735234735,3.13210871232446,1.8832453019496693,4.734930171821447,5.2243031972313165,3.3134616123369103,5.6342972940367195,2.3571387330889118,5.251573494202679,3.6957760762023693,5.635958261540993,1.579508416307217,6.6420864182410915,6.384129483866773,3.593670330274922,6.228507238105053,6.296671296035925,4.776374657900076,4.210143389152758,2.9994833570859734
6,1,3.494370899915158,2.47207595254503,4.2044824622274675,6.557963276233459,3.655863109265148,3.5869201016215153,4.099136740989947,5.87076471076389,4.387731691991117,3.6847737609799576,4.371666633346711,3.37481333733511,1.0067714718434528,0.5781749826692265,4.65256254893387,1.4754220697612948,1.9242061201195277,3.5548006047463825,2.9225609675146345,1.9474487132553864,4.0948905696280296,2.837839697596517,3.884936067699241,5.80257462575684,2.362370868713418,3.6759027991194744,7.608127381677594,4.471300506180734,4.022699629595843,6.774246480075177,3.9307169243802362,6.11021502691803,3.824216304551377,6.006342017152021,5.224361843549045,4.278290440102671,5.212319793292161,6.184290867543855,6.187407134640663,4.59564421055127,8.038703655146907,5.24998837470054
7,1,2.64184465587843,0.6740895661297044,5.988433856623233,4.22773395676404,2.8327730862771965,1.119043313070968,3.863176741726783,10.769808546510854,3.9177662573628633,4.898195172419133,3.3337514959038463,2.858199897200519,1.6683846020028859,4.466248061574315,1.869822876667074,1.7803692609371635,4.867970929113011,4.660713653996899,3.7133800940385955,6.121988555893891,2.8630569742939826,3.926792150574267,4.031564361631558,4.955443312763684,5.126495541988667,3.8988650163448906,3.9150899146081657,6.230245846671959,4.747448097555629,5.322472491259072,4.114719616514477,3.388000111045063,7.448657417668973,5.267971498359197,5.977061991731531,6.197664160657746,5.81361632123483,3.294922316981501,4.750055306623928,4.698341109820941,5.785799499962277,6.281743311488614
8,1,3.571712111942904,3.617041123943727,1.6538663091550925,3.2665377625091327,5.568936773279769,6.021880227681248,4.238250670639881,3.978026894909891,3.154915888071826,3.766886347115318,4.120566018846105,5.855051122913881,4.800875201789145,3.4213847218546696,2.6554757580384942,3.4085447124576818,7.047367681880156,4.814225795714832,4.811270918487584,4.618179991409642,5.066864623542097,5.917733888358742,5.72599505826549,4.006638902972811,7.212694537140602,5.71369893554337,5.834259285219869,3.915735076416797,5.520216952522291,5.134044781828927,6.27109892930781,4.823009637753186,6.3526377296401195,4.251751084223773,5.592107651448519,7.885520301021018,4.4474987291746055,2.7377810832494616,10.089824471710102,8.735599415791972,6.7711077537046815,7.836402878056258
9,1,5.837347152631722,6.1266430455635135,6.661468079397421,4.889052926392288,3.4054426508760405,7.920552823648374,5.65644340344782,5.733689705741957,2.8747454931103777,5.8466638116326175,2.306213333079092,4.19543315948617,4.997643034560249,2.928202763682325,4.05978986202223,3.746367439230943,2.7340746639994578,3.6267664441323335,3.958145173038626,4.737377327219244,5.162032582706819,4.145792420614819,3.0639460777508796,4.253257521004707,4.6661339839536415,6.6065333580169,4.081221025406728,5.8559643754017365,5.6581170312756806,6.849302147165045,2.908806347664148,5.6814324990037,5.027769326550278,5.307247190873243,5.070921896264581,8.732368316825296,6.2711332337360455,5.425136270693622,4.888254060325512,4.357840707322897,7.036548261835587,4.711868426994228
10,1,4.4477680280024785,7.51268479799474,3.9953204836634257,3.712629874072109,5.155786091744099,2.6648176244846185,4.467061429264052,-2.097983370660358,2.287203073579573,-0.8946981544702785,1.804240189984711,-0.3226916318569766,-1.0279926326105693,1.1745128156520457,-0.22755602718920465,3.58239831336487,1.5580021985440187,1.5487432027276584,6.673290448260899,6.559691488264817,2.586138430322474,2.9164547241363095,4.01074412995235,1.8906334601810275,2.0596589481448886,6.71699460643683,2.0229697740292103,2.742762044747837,6.163751880013003,1.2542945663375682,1.918937761169642,9.1422343161818,3.0213043754349957,4.223900753607706,4.912122381714857,6.475539921980218,6.176858883568423,4.60944429180708,3.381146486170778,4.758082008755788,4.133489824479516,4.909421695568966
