iteration,chain,data_log_copies[1],data_log_copies[2],data_log_copies[3],data_log_copies[4],data_log_copies[5],data_log_copies[6],data_log_copies[7],data_log_copies[8],data_log_copies[9],data_log_copies[10],data_log_copies[11],data_log_copies[12],data_log_copies[13],data_log_copies[14],data_log_copies[15],data_log_copies[16],data_log_copies[17],data_log_copies[18],data_log_copies[19],data_log_copies[20],data_log_copies[21],data_log_copies[22],data_log_copies[23],data_log_copies[24],data_log_copies[25],data_log_copies[26],data_log_copies[27],data_log_copies[28],data_log_copies[29],data_log_copies[30],data_log_copies[31],data_log_copies[32],data_log_copies[33],data_log_copies[34],data_log_copies[35],data_log_copies[36],data_log_copies[37],data_log_copies[38],data_log_copies[39],data_log_copies[40],data_log_copies[41],data_log_copies[42],data_log_copies[43],data_log_copies[44],data_log_copies[45],data_log_copies[46],data_log_copies[47],data_log_copies[48],data_log_copies[49],data_log_copies[50],data_log_copies[51],data_log_copies[52],data_log_copies[53],data_log_copies[54],data_log_copies[55],data_log_copies[56],data_log_copies[57],data_log_copies[58],data_log_copies[59],data_log_copies[60],data_log_copies[61],data_log_copies[62],data_log_copies[63],data_log_copies[64],data_log_copies[65],data_log_copies[66],data_log_copies[67],data_log_copies[68],data_log_copies[69],data_log_copies[70],data_log_copies[71],data_log_copies[72],data_log_copies[73],data_log_copies[74],data_log_copies[75],data_log_copies[76],data_log_copies[77],data_log_copies[78],data_log_copies[79],data_log_copies[80],data_log_copies[81]
1,1,3.446377766987706,0.9831626016272716,4.476331923930264,2.618056556508433,0.699973582784355,4.65608796535929,3.4274969749320783,2.524867343537582,2.9968399107344705,0.6551519829984769,1.6929587253684903,2.9746666386967404,2.789651413505921,5.053955530067017,2.500092994679621,3.1378168550229946,3.5436567873304226,5.312779070210741,4.673896561576977,3.0662698249667892,5.821908192503269,3.6348629746327608,2.781581643997412,4.757599351971215,2.486736857062656,4.18191515927622,4.569028816847172,4.513542873467381,4.362314033231009,3.439830176908809,2.7750305094206644,5.022115900160376,3.6733698942009743,5.40245103449327,6.596906968231913,3.4901566552433385,3.937767167381021,4.060450253144298,4.5146378421840225,7.418960877218108,4.6455840869743845,4.969382299872932,4.785787773606827,5.299687178181942,4.622820681248108,4.703622101215499,5.799398196429758,5.368355676162764,6.020450792501518,2.38295327456385,4.7435936641598,5.3859261954882935,3.2695224969730634,6.267728418553169,5.8434087073892265,3.6219733719557916,5.319855550779773,4.248884673391829,5.869019050616783,3.1905759498515307,4.981148164192822,5.686179495512494,3.641274748988014,4.655688882799248,5.777232167111146,7.104407883620532,2.3341655154740457,6.094117641671834,3.534607772391265,4.977162243359612,4.649286439757074,5.111980969462721,6.052217562873049,3.1728933237697463,6.428140282409306,5.5307701925197845,3.026348527405908,2.3389954673612148,4.6054640281757715,3.2733910561763464,3.332992197009596
2,1,5.101544780412016,4.9479002580072,1.5201283961057706,5.278492191875895,5.42404379316087,2.1402388020282417,3.976965881131918,1.67620950929696,5.283144305144517,1.587238378897284,1.7062275590476632,3.5012178032930388,3.8000109224002925,4.741131857289397,4.0419198989758645,4.597099336319771,4.226973572788341,2.7731713706960877,1.9364520209433727,4.196132686786477,3.6998925529420843,2.4715368431162066,4.911556904763453,5.8099058571557745,3.522211613682343,2.59820511948928,1.5819707161460794,5.194042328305048,2.934808858576715,5.555777859708284,3.2527724229934147,2.469469602590839,1.7570535948202468,3.2104623213320007,6.366778981141207,4.420575889854059,4.136907644309812,6.425239474280254,3.1686358399863517,5.411592069577539,4.59450224749813,5.237174082318501,4.459251238284292,4.345506673349448,4.720126658296003,4.213040739868067,3.7817892346818764,3.650271337623585,3.818279590920066,4.455993307100786,4.314932048067359,3.4665951749347235,5.288441299106092,3.410557271386309,4.50944209426064,3.8937626426558,4.774957260722688,5.65157218861618,5.97339456759073,5.365587368985828,3.0076385791495355,4.367783277053132,4.7229648732485705,6.071538598587256,4.520752069223565,5.3459574409154484,4.352895930864416,4.838586676681281,6.901704011630031,1.904953407069149,4.829561470886607,2.6600020569717477,4.9683563602656715,2.469385990403145,3.377463743883042,2.426090679902453,4.432211226508565,4.805011254714946,3.349349091582993,4.996347636879694,2.319492813973728
3,1,3.223108450149656,2.2230555690739475,3.4136708183547295,0.6598571617313245,3.849501526157412,3.581121125050952,1.983004862762325,3.60757029609296,3.651385552328053,2.6426791034973256,2.278710629765229,1.5005090213400396,3.8515058192204368,2.9559361646735645,3.5293340703034484,5.591073693495511,3.0684433425973916,2.147077269078861,2.595798726572539,4.160376634471899,4.526492973053044,4.2317264630367255,5.04291908118353,4.169637290796479,2.103854158759794,1.7641498133847089,5.333469875658864,2.127032410757524,1.9479209799120696,3.4084776280128595,2.898692446515914,1.7269924804523162,3.6672030265961006,2.5659781617865987,3.3641576131791804,5.250076012686809,2.2363253351626664,3.204308287653382,6.7357996844614725,3.9878188121223244,3.467204264338399,5.6764486930845495,3.1854075425451094,5.13306105032591,2.9689821362979103,4.880608106512219,4.085521623012225,3.0156319152770976,3.83387751780544,4.559518547769959,4.562248517486179,3.045728453559353,6.065785559784493,3.622763820545957,3.645408019147963,2.1843652416263235,5.6340877415132535,4.345463602793113,3.3005283624655473,1.467691200982944,3.476072400026313,8.49626305221529,4.253175501869119,5.3474655630712755,4.175942959222059,3.827895418954085,2.9731522452559336,4.973648841511005,3.0733726116322235,2.837189317049595,4.672683089281779,4.520995270329019,3.827659118677292,5.227535458747937,2.842382882307799,3.6209112535936274,3.5597185917730196,4.235888743074506,4.361078749377586,3.285801061977225,3.2976757690479794
4,1,4.293664758869522,3.2285685415441105,3.4537502424714908,2.518239553241931,2.033951541291659,4.71604801125621,3.7449705073035346,4.158972940133047,4.218612453938864,4.03643726954709,2.3010659274276257,3.2707708237094346,3.343246327299884,4.067931791053898,4.44773433956542,3.8854388441312104,3.979476039319979,2.187461883052115,3.261237224116568,4.834507859980959,4.616460974299731,3.428855506390283,3.542916151104208,3.914851191527553,4.488669289578262,4.809823435738296,5.9647067384209755,5.280007368916366,4.4800648123455264,4.012795512345904,4.453584527836895,6.494213360701909,5.04078560029329,5.0388181355031785,4.629306143799094,5.032016254323587,5.59855597518834,5.399611098094769,4.295284289953346,6.429992804133487,5.330534144545869,5.432751368656506,4.155328132594753,5.142175839217817,4.680830959032468,5.437922989451045,4.444924641577778,5.377657459526385,3.978810676737551,4.756079803502985,6.146723445528817,3.857563568469918,2.5788334491628953,7.474091488576994,6.471260855923786,5.067794776724776,5.77710703813168,6.132052972166832,6.256292715402101,6.235387941373365,5.024251361880892,3.9259918591901513,6.411775737199603,4.8646518965299546,4.777684099821956,3.5868831001533508,5.952866430725615,3.4676732729600124,4.75862547148108,5.318642224932592,3.8097555257697273,4.58299791503587,4.214724962855271,3.0675107026061545,3.6775098144384186,3.9039493704101953,4.082118300674391,4.372296091539415,3.677873212242684,2.7621160613463296,3.5748029710082476
5,1,3.1163319371165903,4.327037059463641,2.562560926766209,3.6795940025113074,3.445787697563832,4.09185433326259,1.618955991133968,3.5562342460873833,3.0248963636161514,3.2616004243660615,3.0245938844100744,5.47716349987332,3.837030757789175,3.1770269874932096,2.8257547098621334,2.39196403275516,4.2941961912418565,2.6699051949273915,4.40485206679633,5.960687512080225,3.6143714530860547,3.473216164577206,4.6586171581118485,2.9489243657630992,3.8488348530435372,0.6503259574710492,3.775407544148803,2.3968777727258184,3.9428918776825097,2.94527605674491,2.6644146486078952,3.8597202195990885,3.2245922578265565,4.895763205787673,3.4641928573631526,3.6450305200367326,6.203859573347773,5.934636357138453,4.02342060592135,4.188356723961748,4.66748479805276,3.7471084411155093,3.8315075711516298,6.063596805452637,3.7197395742411272,4.07915188647397,5.717522953668106,3.0864402708607424,3.4183151147319126,7.016084008510642,3.8896928411547114,4.490182680438992,4.733462845835877,5.4282120606493,5.279072306024658,4.349365671923302,3.73604239464843,4.369413217242567,3.985085966461806,4.372530343497124,5.012584909799671,5.120337285062826,2.9620534920718304,3.859075504863051,5.198298971317194,4.822210520306032,4.642366840645708,4.663417043395012,3.9994917101823573,4.603709859223756,5.17062870891522,5.779904085054691,2.364383797014173,4.7065981802523815,3.5059940294290204,4.188494789671034,2.970860970466145,4.295482021743366,3.108891196831269,5.149313652837795,3.9756099330888244
6,1,2.723788590004928,4.070776704403949,2.2298491946899013,3.5641893345344453,3.2795564184140744,6.17775352262721,4.491259770419505,1.8326935136529405,1.8990810997441951,4.778418232227615,2.1899631149113783,3.4635752846959864,2.138488593424601,3.351692164585488,1.87404691558737,2.9591621920728564,1.6316234131878216,4.144903076559684,4.338800435602178,1.8502936213530727,2.301806407446369,2.0077467508941904,3.451646154315442,3.4518253832404846,5.225485422823428,6.239428298184051,4.509233966870995,4.709806021269538,4.100217590443755,5.0979075517905486,4.164578675298008,3.75417280915222,4.113617727897081,4.6459911836086825,2.514796034104907,3.78769971724385,4.329096497622499,2.1982680407187734,3.5652060407886417,3.0838844551640316,4.470412288188076,3.6209832739733336,7.323888621786922,3.2218337315986414,3.0522370637921683,3.3099648916986264,3.9595488666988334,4.512388874717367,6.12010927485727,5.631928182817296,5.0131825960287015,4.718822830122025,3.7735350912220897,4.64152200424714,3.329653844164114,4.389535317884335,3.8129300065647507,4.920510601742475,5.6486814700486825,4.536284590651953,5.413136196681978,4.283058812953896,6.451318577767699,4.7223117357682005,6.176726790871778,4.609609381717727,5.870099062792322,6.636893520574921,5.807502514731766,4.084584479503063,5.571048076443754,6.098011942169259,3.1526302288521935,4.703489360434618,3.6415025060541373,4.220174853280933,5.250255083140044,4.706848318050597,3.4699638802915382,5.4032164120331,5.145526256921912
7,1,3.4471979152959378,4.878202006197668,2.7977646417501223,5.115286415822872,3.0441042511400767,4.605339316161935,4.520896952286874,2.8448838144794784,2.717376807213385,2.5666851941392217,2.7908240089463114,4.795702941193314,3.99680394379503,3.5009941100724506,2.3235952880895416,2.92766533157198,3.0293032274446623,2.967368258354036,3.0918092112144295,3.7420823917467803,1.494955541814488,2.252342518842566,2.7662013361122044,4.455708443178864,4.869183326748202,3.0220497724989457,5.8860120961057705,3.612560949262321,2.765432593234734,4.202382447848153,4.832281108073113,4.940380718299888,3.5141951737097075,6.425997528113934,4.838295863645086,5.596399559040394,4.0717366669931305,3.2420090097122776,4.449844689853001,7.257107208536741,4.7577640780142,4.845362962002642,5.438646153048242,4.551944163059413,3.072562703836111,4.559671874051281,3.3525883261870906,4.186774795281451,3.165221205724211,4.1544274418486005,2.4550721417514367,3.5157368612294695,4.137400324006642,3.451743445104446,5.7816267605562075,5.099902892954083,2.1587131496682663,5.5550079671337995,4.796252131145765,3.8372519784776027,5.546692615469809,6.033595044165282,5.141910062841093,5.35603104000726,5.566899548569291,2.552676918224698,2.143064416613817,2.6538770527447344,3.8534657356514095,6.260560317583781,3.941009877041989,2.0340515523998817,4.129284266506845,4.676083817158961,3.894738523375179,3.425498085766186,4.168751625275344,3.5455750445991363,5.895998448808081,3.1607043269516475,6.439229177961671
8,1,3.2751946141474573,5.211038729658252,5.2865540217835605,4.061381415198848,2.0236249322626856,1.9649571494637634,3.2588765919788205,1.9202234832039151,4.182248137455183,4.96151179704664,4.0797287738418735,4.619315541971499,2.9387123213486213,1.6320849609702648,3.425898593392832,1.1216222911659548,3.0746398584200643,5.887423815712345,2.101740494925843,0.48338003560529197,4.656022167451477,3.0389876903814947,3.33617198944798,4.420750371131437,3.7103004256106304,5.182067853870118,5.917670020015342,2.285301341207476,2.0731160948392473,4.099136580624129,1.2407913272795525,5.1013989540019775,2.8214234443678015,4.374809825168761,3.341823691071389,5.33321397989521,5.501886890874557,3.8908919045101253,4.6308888032917555,4.96817204022533,3.4842703137785627,5.004509983004763,4.190637900290964,3.655594062240675,5.409813395896128,5.855305343197021,3.701160787377879,3.7081177047831577,3.936297315961112,3.1816955157546314,3.386939830316341,4.33839031190889,2.536694389926593,3.796146178602393,3.8032410329088604,5.048148473055227,3.433984238290365,4.078296103558037,5.2876269866725885,5.747813815054135,4.21997658334508,4.587306790686262,3.971103080411806,5.307444579593598,2.992335045684856,4.544574589387291,5.181787806649174,1.453465683178552,5.550835319623657,4.472900111009208,2.9989687427343625,3.9668148288165233,6.303128095502363,5.411751011713458,3.693050838456277,4.5330887894679766,4.723938952396163,3.62106117679371,5.7430191763156,4.307510462617888,3.332403804141932
9,1,2.4490510757379496,3.2041129003731985,1.8647326502088162,4.112204346837935,3.510698882827455,4.019827653993138,4.594208221114586,3.313060800333502,3.629377777581713,5.1100450055464455,2.3268485375487824,2.9795887107300962,3.5507892320601897,3.8497300144971947,2.321117083939084,2.8173503369438104,2.4524374792537587,5.460825345808081,2.5563508473348246,4.17100406850932,2.6979746075520588,2.3996265101189,2.4745975632484,3.765292677965968,1.2945861806920056,6.394250035505221,4.048231907792839,2.9823314664651983,1.9351902468218607,5.069295073264761,2.999422933212701,1.141238506386408,4.54920559679784,4.997363136849445,5.201306669218436,3.77339774191031,3.0426330547196665,6.236183942627878,5.265101009490699,3.860796040786776,4.699327177963419,4.55227688889933,4.816355629682671,4.127523492294659,5.097281948086986,4.105932406226622,3.885816523805864,3.5865497819591647,3.536572555633704,6.629209817642752,5.9296231638172205,3.7022727526946264,5.246895095396896,5.288400042089043,3.844199776262757,4.275812598786711,6.812774223961805,4.670582269344283,5.175768958752989,4.296676588357177,6.502021609544181,3.7961545678430095,4.369441857577716,5.013162701488286,4.643468112729725,4.141215509942189,6.279188470962371,3.718898012489862,5.76874891327108,5.028476022377259,6.479234237891245,6.172144712876506,2.472320391079025,4.803852865571042,2.916928530112217,3.7919392002268704,3.321574759607444,6.341271825392894,4.024051622976696,3.4693473326611577,3.348407824394092
10,1,2.5648725424878065,1.4816172659457092,2.996285354345596,1.914918274581358,2.9961867675271208,3.1829723945349673,2.6125099299908197,4.8261022553116,3.4432468262041978,2.8870498154757875,0.764223704556453,2.424440239082977,3.026458299373536,1.7311543172101396,1.8642799377352457,3.9360262519108513,3.5164415056861285,3.525468401788591,4.1574119319739165,3.0064741028458912,4.20322484468017,1.8663791203156088,4.673412957593017,2.803328995986246,3.526837762883622,2.054765637572061,3.385923799143009,4.74855988450318,4.661574954276926,3.5112404639026744,1.9174491159898128,3.821393393771656,5.0541820104049435,6.039087594143531,5.014489088109872,5.154352568033074,4.788449114590807,4.2952045509943115,5.740453245649199,3.864514079590343,3.731465995861825,3.806264714058587,3.126430740770714,4.397644758914354,5.257707485257498,4.843207845967958,5.967074832666885,3.2484176996634098,4.646709715572473,3.6052397537930077,4.678629741167436,3.1332340388353925,5.687526573822787,4.670187712875491,3.0787260159007137,3.5403285136785034,3.5629885404437394,5.010821423807617,1.5055943150049456,5.620780299469949,4.183368964105547,4.958925517363454,4.5592727739131815,3.8940719215629565,3.9955937336887004,2.7652209338404825,5.372181200463835,2.165211831434505,5.659988090762919,4.955687991910337,6.584600500752463,3.9211889067055985,4.647485874739095,5.471392696344335,2.5463919581608887,4.0109333227829005,3.98380559498141,3.905422065033095,4.009205122990368,2.7401578896911216,4.337683856461832
