iteration,chain,data_log_copies[1],data_log_copies[2],data_log_copies[3],data_log_copies[4],data_log_copies[5],data_log_copies[6],data_log_copies[7],data_log_copies[8],data_log_copies[9],data_log_copies[10],data_log_copies[11],data_log_copies[12],data_log_copies[13],data_log_copies[14],data_log_copies[15],data_log_copies[16],data_log_copies[17],data_log_copies[18],data_log_copies[19],data_log_copies[20],data_log_copies[21],data_log_copies[22],data_log_copies[23],data_log_copies[24],data_log_copies[25],data_log_copies[26],data_log_copies[27],data_log_copies[28],data_log_copies[29],data_log_copies[30],data_log_copies[31],data_log_copies[32],data_log_copies[33],data_log_copies[34],data_log_copies[35],data_log_copies[36],data_log_copies[37],data_log_copies[38],data_log_copies[39],data_log_copies[40],data_log_copies[41],data_log_copies[42],data_log_copies[43],data_log_copies[44],data_log_copies[45],data_log_copies[46],data_log_copies[47],data_log_copies[48],data_log_copies[49],data_log_copies[50],data_log_copies[51],data_log_copies[52],data_log_copies[53],data_log_copies[54],data_log_copies[55],data_log_copies[56],data_log_copies[57],data_log_copies[58],data_log_copies[59],data_log_copies[60],data_log_copies[61],data_log_copies[62],data_log_copies[63],data_log_copies[64],data_log_copies[65],data_log_copies[66],data_log_copies[67],data_log_copies[68],data_log_copies[69],data_log_copies[70],data_log_copies[71],data_log_copies[72],data_log_copies[73],data_log_copies[74],data_log_copies[75],data_log_copies[76],data_log_copies[77],data_log_copies[78],data_log_copies[79],data_log_copies[80],data_log_copies[81]
1,1,4.404285927683457,1.9009438222959578,5.451018524961825,3.3877106604053666,1.438381207877518,5.380433338954156,3.6619417069911893,2.744607812000492,3.224269035537542,0.7926549903966524,1.847368095432987,3.149955636856094,2.8785635778487553,5.179754279376532,2.589403206239756,3.2375158898811067,3.690421460614435,5.488363582193374,4.8390733753329975,3.2368342859115278,6.0373633057407545,3.814690086903011,2.9223686230640964,4.9305765940629644,2.6227206751026455,4.347890320289093,4.741310242428181,4.684920406788527,4.59376889810876,3.6869385084866506,3.022205061969993,5.301148855692457,3.9186336014304053,5.6758822912710105,6.88979647709097,3.6510192673336395,4.105921566412478,4.23060321766609,4.651805349326015,7.6034411802071435,4.784884770375343,4.993918332310173,4.807332964379734,5.303432926471553,4.615539954177081,4.697657667490962,5.778258194686475,5.340193787901771,6.0029118420955845,2.2870164986521626,4.686112836664996,5.338909268721496,3.174557388612654,6.221605502663767,5.790373422721968,3.5189701174999213,5.244511600034272,4.15609410053551,5.795016166321858,3.0729399606692427,4.892681443237449,5.599233384935063,3.5210161729472413,4.5519555927677855,5.673960253909941,7.022756290532108,2.174804418111288,5.9835633818063,3.3823578862290034,4.848412251788918,4.504527381704793,4.974759424131799,5.930312916335865,2.9904472106429196,6.29872368181534,5.386735008748247,2.832246364599925,2.133695998121875,4.43708640372368,3.068326679893083,3.128898751499004
2,1,5.971195176609967,5.809927103030585,2.212075671776922,5.821199046121325,5.973972643111507,2.4261041264632506,3.7999177225819456,1.3850021626004838,5.170906254385677,1.1764084993235997,1.3013016979830536,3.1853559698336285,3.201677428181052,4.189495007351938,3.3659893603630207,3.9487157534031825,3.4517052033618616,1.9257680802722636,1.0475322958185287,3.3608069597013683,2.83994432714356,1.5506399257024082,4.128852237578329,5.071775569219497,2.6705702557521267,1.7168900714631967,0.6502320353215003,4.441527822546963,2.111511486526029,4.877831941932828,2.468692399623701,1.6518283470913264,0.9098421232304981,2.4353662472240365,5.748293381670213,3.7890198849612595,3.4912765565396153,5.893151092342437,2.5162977675742857,4.870545251360309,4.012912974689342,4.793342687191096,3.976820780082365,3.9042169626103846,4.2974248840583815,3.765178319559045,3.398720402938672,3.260676836088175,3.4370213417723616,4.169128234628497,4.021067782196189,3.1306380347822467,5.112576368779963,3.141515280393474,4.294924693868329,3.7589742890263045,4.683892120654198,5.604003026527147,6.011039781845252,5.373074337373145,2.8981285795684197,4.367297875827144,4.740102912367078,6.155590320321184,4.563974544366462,5.430125048902354,4.387789701275659,4.911437970891836,7.076923293556245,1.8322433561158968,4.897621052270757,2.6204121956073827,5.0433026820645654,2.3962431998843523,3.349378057358484,2.3507996578030306,4.437236773355141,4.828534435244958,3.300645063359827,5.01723183050301,2.2075565242508306
3,1,3.9984281217868474,3.037167574720092,4.1815985218502,1.4204783880225067,4.486395545721788,4.17358227660491,2.3348123971734696,3.89636047802033,3.9384761280778666,2.9414954589330824,2.591645425204436,1.843630477196506,4.07098786563005,3.2101576111937953,3.755748906371597,5.737513066649809,3.308433426046167,2.4228074030237696,2.854122828311075,4.35703399387343,4.708948576166349,4.425616142414985,5.240404720101278,4.40099777727248,2.4153469570009793,2.097181507070735,5.52804663495016,2.445987785891094,2.28481663638011,3.6951597869383472,3.2273519666971735,2.1469640090562896,4.04023064800233,2.981722607055886,3.7489404518540264,5.552223667047336,2.655377230403408,3.5858118504823393,6.967239850775499,4.32585393343046,3.825434171152109,5.958458346875314,3.564045386874988,5.42909593713203,3.348962256044519,5.186435714386679,4.399988302649947,3.3715999191753534,4.158105543433253,4.837201008042589,4.839825081461653,3.382131259590997,6.2630817068646705,3.9148254716240185,3.9365912953598983,2.4973044740855417,5.813211262837408,4.574573218800041,3.5495889438209716,1.7878480540432973,3.718323578531947,8.538317486419238,4.45982050182916,5.511662742160913,4.394986565511701,4.060439887736665,3.2388524434138493,5.172898351980772,3.3463343743375322,3.119312696529538,4.891415665969906,4.745611860402095,4.079170414104774,5.432698606221131,3.14006677259217,3.888395808236986,3.833540720100785,4.483482040054916,4.603815890617643,3.571976384229591,3.583390468055651
4,1,4.8188851924292795,3.391582007132518,3.693341185107325,2.4703432668145733,1.8213635682541813,5.300201940099345,3.1715886536960136,3.7263807762161867,3.806301882534964,3.473073285251765,1.1475547039355785,2.447026868747548,2.3786516527377515,3.349780696226176,3.8567137180895297,3.103198553303187,3.2694360339407544,0.8680121327641706,2.306945948943677,4.446106710182239,4.153908682046936,2.56243456013188,2.713942086544084,3.212360970476267,3.9813172260766736,4.409902523342168,5.957526662600019,5.039981773070068,3.9419130708588486,3.3052453335641516,3.890440502252105,6.622157608954279,4.671168402218607,4.66853186223639,4.119757243879179,4.602183017711234,5.36138574046426,5.094785735549049,3.5902677619161762,6.450925993921278,4.977574740386526,5.166291717055864,3.454455524095291,4.7957851858595815,4.177550883363958,5.1921069854340125,3.8877372888589012,5.13766429116477,3.2631120804449845,4.333759344342305,6.1973187745507925,3.129684948581184,1.5019321837295951,8.06191923358561,6.718056272647328,5.021973330276828,5.972501210864363,6.448153507826492,6.747317667266827,6.719303812674377,5.096296360746786,3.7324560497976003,7.063579744848941,4.99032593930877,5.019366683709968,3.4236103264584514,6.594192935947798,3.3591884450877445,5.08915439092682,5.83961588259193,3.912212324751467,4.94841103361314,4.454899603231808,3.0573829679294477,3.874824304387017,4.17826909581374,4.505440079075291,4.894298548823746,3.9637234782896686,2.805297081728643,3.894354197828649
5,1,4.132211163407268,5.408824553738667,3.5482940113759285,4.672345863459448,4.425811629705464,5.040974267589218,2.0881134452292907,4.130853097868212,3.5705902865255617,3.798255103759457,3.548346420861198,6.134428823610634,4.376372311871053,3.6804393094603185,3.3076558059171477,2.8502504668514863,4.858489149916186,3.1457751311054376,4.975168901115911,6.611739414454533,4.137694790727454,3.9888553019862534,4.9034807598631485,3.1007158489207436,4.0496155908618245,0.6350853678566599,3.9302898943700226,2.4767158302267624,4.080531831784912,3.0251692561078567,2.7064025996172774,3.9134831906911516,3.200404711242253,4.962550728733393,3.4530486689277398,3.487814137907534,6.185940521228068,5.902061353248151,3.824369337254788,3.998284234411137,4.5034950440280355,3.4995896226762064,3.588583265758809,5.963895573611986,3.4924436311364584,3.8714216018886893,5.647681994706983,2.873368644624274,3.223310064529022,7.0529003266005095,3.756314928561437,4.389494185375152,4.67782033086291,5.410390247502614,5.253131634921986,4.315554866480851,3.66884354601235,4.336693758458309,3.9598932045963395,4.368429247438084,5.043327052694386,5.1941518702478575,2.918375597883382,3.864229622793535,5.3428195154097855,4.946257591578909,4.756623596163278,4.824660082971033,4.12459203591725,4.761702563914499,5.394541243982361,6.036984303999322,2.4355301974797365,4.944584917628374,3.678622374695308,4.398277056379687,3.1352329665854075,4.531963632015449,3.280777271301482,5.4468729972302565,4.209275288872831
6,1,2.891597980755726,4.282185345470659,2.3816707774511396,3.569196792900402,3.275350891434859,6.213597444048947,4.410925831409107,1.6663072223826128,1.734843638855458,4.700056833465661,2.027818718077666,3.342655108924244,1.920895318539465,3.1733678079764434,1.623427632849468,2.7436658714868654,1.3367773860371093,3.931406771790249,4.1315801917735335,1.5364465221287584,2.0025738536447513,1.698996087439801,2.970755335343327,2.970940365542102,4.8020101530021515,5.813199370293137,4.027002187180794,4.234066348757283,3.4593913078761362,4.42949154355527,3.4389363860761355,3.005002726186768,3.384677053355431,3.934282348983804,1.7341047713487088,3.2157519147606237,3.7746726016204284,1.574873585674864,3.076022388924378,2.579121408003127,4.010528311165786,3.4637290024827667,7.2864898229836434,3.111133300100422,2.936047135027124,3.2021170856012966,3.930898765829474,4.501633074203438,6.161392095482156,5.683713730623582,5.044940614689121,4.741053025203671,3.7691570059729456,4.66523888010966,3.31090823080233,4.39064654474038,3.7953776988038452,4.938808412552026,5.677967093791721,4.529564202554942,5.434797701678559,4.265264965668566,6.503706864404327,4.71873560720589,6.224950041768576,4.607108247250059,5.908397401266043,6.713167154736185,5.856930458357999,4.078245090152308,5.666972717039046,6.210993325317515,3.1702756300254973,4.893329186555905,3.796967989743308,4.394370777311735,5.552040630351354,4.991044899686612,3.7141250424333183,5.815729772181786,5.549698713794216
7,1,4.068713644967738,5.417960078825671,3.456384488166921,5.3763122602078806,3.423463091336899,4.8055981859217125,4.197523243779649,2.6172658820688874,2.4970437415876074,2.307204185087754,2.5185372612755685,4.408871304937596,3.5819351953601926,3.1144524996256595,2.0001869141123443,2.569744581453113,2.6771699686275188,2.6187735344678016,2.7361047936446834,3.3639359631887604,1.2451943691049696,1.9593095028790706,2.701999345406843,4.294979724485205,4.684831518545565,3.007313380349494,5.7076487437480825,3.564086840653984,3.051927166233317,4.531626352992996,5.227940302306722,5.464397746382381,4.195110479406525,6.940552625769216,5.443561231799814,6.182595380064715,4.745041159912899,3.9627183910422348,5.085536325136447,7.732411317541472,5.375863333307624,5.244847024804264,5.804234125704664,4.917813711615665,3.5229538570118955,4.925099914753695,3.726482494895269,4.5130093299715215,3.549820233260875,4.452137303376745,2.8498713887706826,3.849937076474533,4.438620039378839,3.792136843005867,5.988906771663091,5.378766638055225,2.6056160945600713,5.807870162127401,5.119667552496045,4.2154580227794805,5.827233068020744,6.305884780678646,5.465144499902636,5.667032088269751,5.887256383795752,3.0452455462980086,2.659035464456907,3.147010449567359,4.278062948158235,6.547632826595457,4.336278929453477,2.538270988457483,4.513796625026355,4.961545362025287,4.2248407236862455,3.782409432894535,4.429949089616633,3.8423765002110204,6.058512999294533,3.4292455226418443,6.520458183503246
8,1,3.8195015492915703,5.886946845330766,5.96759576444185,4.194205258870678,2.017919461184891,1.8420532601231479,2.8238598935432964,1.3942034193521065,3.8100034279816724,4.64321787481493,3.7014901040481782,4.277758676830564,2.5432430976620966,1.1477895235619142,3.120196724582689,0.6592727464365851,2.8516503559260853,5.8556509955871014,1.8126120385019981,0.15719301333433933,4.613496740695208,2.886534173634682,3.394190083071459,4.552499502425511,3.7937522530114074,5.362466427632637,6.148075778079691,2.268773990135931,2.0749492838436145,4.259614790667159,1.2398794624748062,5.422656855228951,3.029033342037568,4.688020933128235,3.5848110689136194,5.803062239229543,5.983201752312948,4.262689248328067,5.078951351756331,5.439163538287268,3.854384258000377,5.3307206621534435,4.461520505228471,3.854870111202687,5.728343538390299,6.204120603026284,3.8670300123655084,3.8744598699915613,4.118151425526464,3.2881575555999962,3.507354643464393,4.5234859563225625,2.5570723929918424,3.9021433391609146,3.9097205108166593,5.1562041462922785,3.432306944311857,4.120419961448262,5.3483784076904035,5.83984933038171,4.2081477525008015,4.523862919962373,3.8657688864597457,5.292956604855327,2.6915910484215955,4.349353838948172,5.029885632828936,0.9622169875318782,5.338131098140454,4.186916463331422,2.548740341592007,3.5823818532860057,6.077520710067924,5.05149345580096,3.2159538273610297,4.11309864206905,4.2759806998218775,3.098127870141,5.36433931214376,3.8039635745483666,2.762567907381915
9,1,3.588188655069024,4.342705761341193,3.004291769824259,5.02049950291621,4.41942797830122,4.833804986998341,4.81239130920224,3.5321681366126856,3.848256915771099,5.217238505870915,2.4360498975937617,3.0883191695229506,3.3980931077321874,3.6968182276520922,2.08873607229986,2.584611331619217,2.113111560595363,5.119329109354885,2.216949963265761,3.769782463375172,2.2978156785731123,1.999682816080934,2.136411728519386,3.4261757071270535,0.9572516323712708,6.085430305177825,3.741104647025669,2.6759731699399794,1.6278377460347668,4.749848403223968,2.6674257696454964,0.7854835560346496,4.1755579008888395,4.623392130141706,4.827188533118788,3.3999577664200324,2.6697202690981072,5.86096725849719,4.892788861920573,3.489496989997417,4.327423192195848,4.138458177719813,4.402346406236859,3.7100632289790556,4.679122079492202,3.6884877191998418,3.465423144511373,3.1663723003361284,3.1164311286912607,6.2058530114660595,5.5067710549838065,3.281027503896204,4.829564066903571,4.871039071005741,3.4278806833132647,3.867533133463931,6.402664538200677,4.262018008417059,4.772820529481283,3.89436235583781,6.098116392166655,3.4072960865212862,3.9801697940778835,4.623426243480699,4.2790379789426,3.7771477123329995,5.913578292194924,3.3682923657374246,5.416664458570999,4.676925616975136,6.1162462501001835,5.809378266286346,2.1122230798927495,4.4019679839432175,2.5164049175907532,3.3907843355822664,2.8837751651200287,5.901293754403282,3.585745246084673,2.977333067940779,2.856480808119901
10,1,3.0249636601008816,2.0459622532458694,3.4148567526065237,2.29566233078649,3.272868164632952,3.3784857716025316,2.6217412837903233,4.622294659916236,3.3725270013687387,2.8522853257300005,0.9337627077441022,2.4341978851048616,2.9315905731841068,1.7609482986402596,1.8675196965341,3.739878502575681,3.345279245146835,3.353437381253086,3.924561859944064,2.877922992351236,3.9594969161363256,1.8475522053208615,4.395992054351046,2.7058873588131283,3.359764719028267,2.0145140955057927,3.217559897493026,4.449054147728669,4.342622463265129,3.295171289599933,1.8597392264118944,3.5987389331854054,4.723865078626085,5.613982092574425,4.687992253807629,4.779457970216248,4.4487695319041105,4.002995454323802,5.28941959015952,3.5940232025152756,3.4737798360897987,3.543487494632786,2.929081610175693,4.082658441871163,4.85994763427767,4.4853399690367395,5.507720588750636,3.0507104863277625,4.314429094871189,3.378046524827893,4.348132090529553,2.951467241999767,5.267278180520815,4.347849309336386,2.909551916253138,3.34020872614851,3.3606879230312177,4.6691795227479735,1.5102772504102635,5.229412486124669,3.9303394513334986,4.636956611498581,4.275766957901655,3.674585884156186,3.7716060150780066,2.6596458630327784,5.015708947983924,2.122403459779138,5.28083799374012,4.644320634853288,6.133564223611565,3.726482759001224,4.382879980318328,5.1645345391733395,2.52103960335868,3.8446316387828334,3.8481942779387106,3.77735447890388,3.871149322970754,2.755497286262093,4.1992753160801275
