iteration,chain,data_log_copies[1],data_log_copies[2],data_log_copies[3],data_log_copies[4],data_log_copies[5],data_log_copies[6],data_log_copies[7],data_log_copies[8],data_log_copies[9],data_log_copies[10],data_log_copies[11],data_log_copies[12],data_log_copies[13],data_log_copies[14],data_log_copies[15],data_log_copies[16],data_log_copies[17],data_log_copies[18],data_log_copies[19],data_log_copies[20],data_log_copies[21],data_log_copies[22],data_log_copies[23],data_log_copies[24],data_log_copies[25],data_log_copies[26],data_log_copies[27],data_log_copies[28],data_log_copies[29],data_log_copies[30],data_log_copies[31],data_log_copies[32],data_log_copies[33],data_log_copies[34],data_log_copies[35],data_log_copies[36],data_log_copies[37],data_log_copies[38],data_log_copies[39],data_log_copies[40],data_log_copies[41],data_log_copies[42],data_log_copies[43],data_log_copies[44],data_log_copies[45],data_log_copies[46],data_log_copies[47],data_log_copies[48],data_log_copies[49],data_log_copies[50],data_log_copies[51],data_log_copies[52],data_log_copies[53],data_log_copies[54],data_log_copies[55],data_log_copies[56],data_log_copies[57],data_log_copies[58],data_log_copies[59],data_log_copies[60]
1,1,1.8545358888336385,5.519327649922024,0.9754537967697543,2.991044738551857,3.315377916955994,1.9208463104262048,1.0822935346225782,5.1512960721529435,5.392368144877736,2.666599446478655,3.2384098172289075,2.4579192075033895,2.412659539958592,2.7144837858474142,7.057556347213896,0.6484933529494739,3.582039168350639,1.2740503472191609,4.014295979405413,2.586860073433036,5.623287778505406,4.045639494368989,0.5969362643819824,5.504387269415979,2.8682082654774343,0.18273480790501262,5.736387916994979,3.54129119907838,2.3533751964985243,3.182424590422685,-0.15720854361155734,2.1230565289142955,3.9175527153439713,3.5469700472195695,6.927363542276831,3.4457878983766936,4.435749569363572,4.945705188741102,7.5394445256253455,6.71672763188378,4.422988578680131,8.281108272177788,5.290163085056328,3.580559464146098,6.347146300665352,3.2741294662482208,5.558035984984861,6.100026851236157,6.129527704169198,5.776210488970288,4.440720416811526,3.5220045200677625,6.588165886359499,4.643108527173948,7.079340968364145,8.751677228180423,4.229586963503298,4.874607459719467,5.046373840540152,5.6097920800568035
2,1,6.709248006734422,2.965886096961569,3.2029533499573866,3.1239007969958097,3.780868189673408,2.8672684683745104,2.9988826921170517,4.439678938787032,3.8578798274884347,4.755879400211069,-0.17243763613676588,3.0538274387238773,3.920814982443732,1.0557674675389728,5.124480971784254,4.551755963799552,1.618985526780882,3.910699908270779,2.4651582844304314,4.782875994832373,1.2244439839626695,3.641266626829666,4.605314313777469,1.9023674094904446,3.271571638285656,4.81357698463664,6.86728154907555,0.4286527828288391,5.938540944801,2.729349347623757,4.6764354696363695,4.667946094962335,5.2924674670504634,6.561550651970858,2.8258744324692744,7.287149349766686,6.184217278799892,2.8494260012740877,2.1131682537936167,5.2970159931616685,3.5373591832020796,3.6178057496978595,7.751457355953389,7.570152676478037,3.525289449273374,7.8440503385186116,8.01580515284624,4.1045060246338005,6.177726454844789,3.462771895987495,7.719052216392402,3.3990579107907624,3.539468351921614,5.65760524219638,5.8227692829144635,6.9333173634899845,6.005984700621137,6.763247756878271,6.1736792424099445,4.458153442040556
3,1,0.3445175893202901,2.5744428471681546,2.066394739862515,0.8176625189396596,3.03179572424467,3.9515207803926664,1.6161257501950321,0.6252149303483037,-0.41520064667813017,3.3147422041798142,0.8607062089171233,3.6143053335458486,1.2146993135334645,0.36296575769203043,-0.30791073490145626,1.180081674993667,4.665849174416458,2.6817615135658173,2.3913434167162433,5.045574241846958,1.8576611797834086,4.153988279297132,3.3174559045571304,4.158321939819199,3.3618885165900108,3.2615212800034032,4.212407676681132,3.693255710670582,3.681506097974918,3.7676344439596914,3.9396404331523533,4.943005221345488,4.798587426857798,3.930064481295785,5.812727337897269,3.893751227236897,5.057401820503679,4.452129701298428,5.442617736472791,6.404728524825828,6.75124033349076,6.128970436725834,3.776019841380986,5.191270914969417,5.554904013926851,7.023993281794677,5.475977591723616,6.320818624589313,5.420473489429296,5.943939541859097,8.05614850216629,3.0786275220963013,6.090613644655002,3.869429829094833,6.249096140270906,3.7091946480385247,4.638880000909408,3.6582933730747405,5.7246896357494,6.106360395158657
4,1,2.044728601268896,3.8231294217738894,0.9729474179612727,3.185084417603863,1.9231501570599043,3.4255488827926492,0.11967345454596501,4.144582115466587,3.80508466308294,1.5417981935049208,3.591784566835682,3.672113867895374,2.3578027444557965,1.8985227449157969,0.9228831204765675,3.8142945626550566,2.694910040300221,3.397594871542573,5.99923716072677,2.873789620580479,1.7554823115889366,2.321709349546566,4.2801456450266855,4.799026711055433,4.427070422653515,5.256038609624101,4.484410144161292,1.8776654824522037,1.9287057678271107,6.66979062449303,2.6236912953272613,2.9731992444768904,4.775730857426311,4.076825063365138,2.6230087787204868,5.072392868251167,3.733677255403803,4.740873989531533,6.9163476846715675,3.1463168649058275,4.367783123826643,8.71463893997388,5.282072350371092,4.625125756027549,7.174909118019408,4.086149677658712,6.49546374515151,3.7646828276512547,6.23576763881257,5.168222793378677,3.8181637087610216,4.894089708280666,5.774813483811271,5.778258343958505,3.886484243949211,7.6925951762868365,4.60982536447185,4.67598109909294,2.8586848376361362,7.21177765338205
5,1,2.2766292476478895,0.971587538462739,-1.3712670004556817,1.4566032870495702,7.918033686944744,2.494236562318883,3.935754104783677,2.5201463566027296,2.0752488083575766,1.0366028460302439,3.6541160599109004,1.3841756763539674,1.0822704578445326,3.4926298148102513,3.387018060540176,2.5007496107126452,4.63715391142468,1.5882930212376363,2.583459840568346,2.757207356188905,3.6879564956206887,3.847982700162034,2.5334775760429853,2.6118098415164415,4.777730849434183,3.282479141869174,3.888472079991831,2.758570941345641,2.610063460868754,6.595503952696072,4.5553850220920875,5.600954580994328,5.684680429801139,5.325388309589605,2.948962391381098,4.356240931160521,4.316806536946673,5.334167372052023,5.945800706156955,5.257484577414181,5.299855629312873,2.7841089920102076,4.380200838668105,6.53235601855798,6.226247544186714,4.682138508804607,4.438895724105725,4.961042451556129,5.906241469436505,6.276383778968784,7.897684467380678,7.068806782252942,5.779335422983187,5.06340610921522,5.671327131726675,8.465062944934228,6.377645492417556,6.42950023181533,5.854600523316223,6.27400608710581
6,1,3.4029927753049822,3.1336975861601246,1.584063323005351,4.659451220839777,3.171205169892998,3.279864709722209,1.594971784725875,2.9481013395739324,2.3236170171548554,3.403860639701933,2.0987158182565024,3.5249276114296952,1.6314246750428618,2.7186092254994807,4.696724618751969,1.5980786466546266,0.2075289768968327,6.833834006188306,5.476385305593796,3.9659355221231625,5.028076176455387,5.508537065112687,5.77612453275509,5.851360610344377,4.211945416449842,2.839663519979084,6.703269331084023,4.609056032454102,5.423868464086191,4.132423969191244,7.3350594822452635,4.3854275650321295,6.1328825463141525,6.890930804445889,4.98752413443966,6.043485114602425,5.569775035482892,4.204519282871715,5.081736125008717,5.4251583576927604,5.7889111931794455,6.181700815200624,5.27468205728689,4.152794898614586,5.252861802825554,5.680437597500741,7.2831706479589835,4.947354797823122,6.631086637404632,6.321573540096186,7.160070852259898,3.529268117569681,6.0938396468688465,5.390453851699947,5.642853833370924,5.32910426070386,8.57581917806739,6.281525940736996,5.407812072219,4.911216874690459
7,1,1.0897702402823004,3.568393575285474,1.4173541027823489,3.878186805828755,5.904884624670671,2.7976714040616937,2.6483023184864014,3.6025995402707824,1.3384629474183911,2.5663737196423937,-1.7748084314931036,2.456941066909332,0.631361808586909,2.4528640829339428,1.1049898336009143,0.648393822409044,2.2803284309304956,1.3532005253790031,3.566322855381057,1.8571211292779097,1.9244223759493997,5.313065365135952,4.9565345672096575,2.393648289465309,2.612072267158555,3.2465788931834867,2.22429875167694,2.3360680470584625,6.034557268318119,3.271983241464217,3.7479509543128744,6.32619265227501,2.84186458607279,3.2813645837440766,8.098414437014307,3.9891132847386745,4.844256063432432,5.218102152388261,6.251474337935195,6.130569640548397,5.020168373329984,4.207947791047193,5.106072392253303,4.69305640763274,5.2061468269562265,6.128717501021275,6.379935352097736,3.5217322086207337,4.773607912192819,6.72377816697499,6.225726336906884,6.006390275389876,6.15465006515688,5.2754174635013555,6.083031704861658,6.94366393268314,7.750523902155299,3.240698376736643,6.494243479366097,4.90429012425179
8,1,2.373829901865444,0.8912333581578276,2.6058509975298745,1.3438321888598292,4.071224017059449,2.5519569788844714,2.2805642512609046,3.775325805231997,1.7324364614043144,3.1444801471304364,2.828621131402422,6.095957418990823,4.244400967232612,1.2941725377319364,1.447504474270056,4.621683835051514,2.0226516202589453,3.4359874067540774,1.870788968318971,3.5724461605777296,2.0326020804033824,3.2367616268600274,1.6955940137916912,4.609723082096513,4.824892254426265,2.013108060327726,2.9713363456474537,2.645016414172593,3.8708838714248817,3.851030872718858,5.819273063308862,6.936723615614421,5.016715606858262,5.239291732446203,4.462474708285627,5.563226728621635,4.531560079628261,4.029794624717894,4.474277017657984,5.110324357429768,2.7453231080243614,4.210610832993857,4.884860555564159,2.5202662273444862,4.071606060536891,3.6691632016389475,5.207802240959559,4.336331595510332,8.599222303793407,4.0529229611982345,3.8647204254751717,4.283625751056485,5.00370963293979,5.6171998194154655,7.435486198605031,6.886586579843824,6.1999605399150886,5.912400837431538,4.8345221815828205,5.797732957587896
9,1,1.6586812726762208,2.797204332476167,2.1425167219089345,3.446173056108627,4.2274259158138605,2.9643913223447003,3.9659996963303423,2.650436114483633,5.1123156300683235,3.1507429355172683,4.765821645963545,2.9933825073598515,4.424564220824846,5.279031146889949,4.395786585237928,2.4395557466671587,4.356452562062959,4.954776419534136,1.6105392468189432,3.57364926471686,2.4351834742540324,3.09221803302393,4.297052187732565,3.7948647953117414,2.3904848820378333,4.6294776319955435,4.8444506452796805,4.0073168892036115,5.6643834527274155,3.551844833959537,6.076399104826681,4.502019750251387,6.1961336689827595,5.93065036263487,4.274726325252709,4.243805956838482,4.132585072913633,4.376063410939245,6.668332831691829,5.7901906247858115,5.25160049083053,3.935220141807741,4.63873860559446,4.6882791304153075,4.6210001838712556,4.8094364211804805,5.476856142124115,3.0358389036545534,3.915151508551555,4.333427789853232,6.168711798404338,6.674386472435394,4.641776242922198,7.752851793669253,5.300931877431161,4.380311986196976,5.9458399606184775,6.639722189073739,6.721040257765015,5.140128395083147
10,1,6.224397870671945,4.07825912782744,4.921857603445074,2.7142205521211182,1.5926555181159623,3.1412877517248656,6.9478192215606605,3.5693903617086082,3.347338360251044,4.189141971591038,2.9134340992607375,1.0483331822719493,3.0584983640952124,1.3269607398427443,2.4953438480683388,1.1144825782817926,2.489453744274858,0.19238980020148366,1.6261186288486675,2.6852764763596513,1.8459381506338426,4.9953036526665064,4.135235816369717,0.20484615138389017,4.795708561497463,3.8238148422509877,2.70096199499266,5.01165855829764,6.401750548530913,5.44839064556577,5.73782368896172,6.466826237134534,2.3924210064104554,1.8387368484016777,2.619254059516035,4.265407945143541,7.55385663649344,4.461368961589226,1.9437572506471121,4.820612416127383,5.6141772197319115,4.558011918620647,3.982836468876818,5.0227118806502595,4.180347453281597,7.456922402434672,3.8014534549022545,8.233123056058094,5.668712875702106,8.484831441079171,8.594685336039015,6.670912712886235,3.706539798076503,3.557804539936921,5.125149734975304,3.1777791579668198,6.468400325827126,7.611198405897788,6.328447629435586,7.11339735921313
11,1,1.505953870225785,-0.1800136161578365,2.1184225344543686,-0.886035443128232,1.6102082406845581,5.239599788740799,0.36113627224520006,-1.7462681942698803,3.6377756271988666,1.587888869342644,1.644603888197814,3.1843717017955226,2.2676638896276735,4.098764000409033,5.126160150154703,0.43924199986052304,0.26138005622441307,2.828125699377973,-0.9043385038316831,4.399666731335155,1.5735078463863468,3.5778734453610848,2.2449907208871562,4.851540075605221,5.069182115231968,2.990482977207667,4.265012886859632,4.700216211400125,3.3799336741340604,5.296135022055348,4.245979552225409,3.8265558977690852,6.090060283344039,6.6648874769040605,3.869996748088061,3.9272351931639085,4.278163772598859,3.2567122412217198,3.6126788825372502,4.900138518733767,2.542063455069953,4.167159355220267,4.225539702157774,5.794908099573688,3.712119616781762,4.608961048241493,6.148045576738818,6.741833870050405,4.828331702137631,5.281783507865721,4.486683503063391,6.227061690134014,3.2096233554654594,5.212509167533139,6.013899966379105,1.1879811425690807,6.474899353696687,5.032707187361313,3.1404178347279053,4.389249048920193
12,1,5.05579107161285,3.992454835275854,1.870965121680665,2.86240782805608,3.131148012304027,1.7698030303813221,4.382751191000244,2.656834561562673,1.4532047616689097,2.7738253709422818,3.659152874723833,2.101481076382707,4.708962214298035,4.003683105238837,4.58982662466093,4.934308326374026,3.493479465754128,3.864368458858986,5.490518937518878,2.2591022114987607,3.036150578092552,3.3865791558092924,3.737094157440196,1.864146722592288,2.4459917223554557,1.8622029795761668,5.660813396944848,2.255249675361278,4.650192461864127,3.1876061296628193,2.837786064946833,3.2580878530983224,4.771457814038872,1.8744971355340545,7.9407116141376966,5.264867754931155,4.083594400217276,2.69419703694239,6.3923005915090965,3.9564741009210183,1.6729213388110957,5.6000384943260055,6.182885608274577,6.422014130646706,4.586380232983306,3.811128330409093,7.555640824014429,6.350823339632608,4.797714403218722,5.780911612107311,5.324729995339755,5.719220196774508,4.869091156649364,6.0061554405607085,4.858879550090435,4.563769435022736,4.212872238423018,4.161335877568364,7.775156619595167,6.954875040388797
13,1,1.4064968155755546,3.191359591264446,3.2387350443007223,1.8907033122893488,2.44363602326648,5.339428354233593,2.9180432748986456,3.5438868904708563,2.5404547064195118,5.07070004657615,2.046454473543878,2.720370898974473,3.4551403430929883,3.142748268014814,2.590273017110141,5.030643278489244,2.262848641174819,4.602632758996703,3.7576548377696795,5.644456453761579,5.375793800307294,1.15266216494119,3.9041701633505985,1.862059369047794,2.860832532539192,2.379391007128649,6.457257871985169,3.8122874377730356,4.039425664546992,3.97862205975687,4.20539059525706,3.0037092903113534,4.721910291274796,3.4851132582667823,4.725886928467741,4.939157028163192,4.141255219500465,6.652298119406747,5.084334852730617,4.420728942024172,2.012648929916615,3.895956390664028,4.514271181534135,3.0449112499756494,3.1548363754711852,5.510809489742507,4.961120207919852,4.971360089539877,5.6914450936342575,4.333675095441136,5.691238734809583,3.0309760236366343,5.786342205222201,3.6649664666517303,4.485066989939604,2.7171551527711792,4.227187154612639,5.7755528826395945,5.490596593578256,4.122458675835318
14,1,0.4785697857808895,2.6874810438393526,4.119971949565973,5.200987405681897,3.9877067281983196,4.064123275964677,3.618374208673055,3.034297524233904,4.711558028646408,2.480313013408512,2.322763819052449,2.3835814110777576,1.5785544479992404,3.0850691522669753,4.103659354350599,3.612828653141876,4.956486966895372,1.737182869971717,3.392973576664678,2.1634868444864264,3.438034274206242,1.6080503988988604,4.624096131069285,3.436592954669063,1.552059925854273,2.0804075956828747,2.217746762062365,3.9322014008953246,0.07154336701487463,5.16275436689639,3.4606404280964416,4.880948053599212,4.407698338246234,3.6199992189820285,3.8919577646067323,2.541558385594171,5.738786857319423,1.9425658002559705,6.249191041165224,5.5279010864489715,7.464990605607463,4.311105640703332,5.2831626521863315,6.277455904816575,2.8138095532313327,4.715427068432884,4.699358118454652,4.60654008118521,4.949456866860544,3.4733563316637515,5.365070379505141,5.543984414823351,6.574775630049022,5.530916590866621,5.1740281956804495,6.42764961095533,6.6487867269536505,6.183394402039873,6.728165262007584,5.07863766117063
15,1,-1.0957899081893436,0.1702127641280451,1.1370094932666064,2.2245863759221676,3.2793500250475716,5.080726317696613,2.561734613688384,4.411204015863318,1.9888133287866578,1.864273744392754,1.8616368568640218,0.8433968092230479,1.0305425879701606,2.360752921340366,2.7650138631759495,-0.09881859694947304,3.846327904428971,5.651666773588886,5.159139720371966,2.308038883198127,2.618222742201414,5.297786180421266,3.6326419212780783,1.5046485492595707,3.0361897139138385,2.7532166735224264,4.122361639650432,6.089492367884603,5.138997806394301,3.974295883205551,4.205082416395408,5.604820064940067,4.348387811428103,5.927010800219053,5.033134240008061,6.026911111905609,5.589401787078395,4.045426012517218,7.768386668756502,6.22282358637876,6.773933698899307,2.959037549442637,3.20477275491335,5.268830620284216,6.691193834975637,4.813697198689017,5.817714774757376,4.867031959244908,2.7343700865127376,10.212018441684059,2.27405411213522,2.7872318664981086,3.280909732848784,6.9687411428387875,1.9418344416930324,7.502977438329328,2.989938333176646,4.28440512423608,3.7748305511882596,5.640511582377203
16,1,3.9600002617883785,3.165317842053305,2.2061210976080474,1.1711233913513035,4.184758117115175,0.646905540989756,2.6022305528070535,2.600672446595083,1.5904121835731189,1.4066524632745006,3.1898869928486477,1.0846446129702922,3.115041099023937,5.051701675361427,2.407088932616865,3.4395216003930105,1.449272155193358,3.6135068526553384,1.3219892515892455,2.7573978148237472,5.031623503487959,1.5131766495807653,3.94444132099002,2.4104275308112206,2.8860008484726873,1.8490316294266225,3.352501923476997,4.744725837638518,4.1657433593583235,3.212186845874476,4.787544266419729,5.004606258545235,3.7839140329694914,4.91250839339024,3.4461444061236093,3.7409770493138,3.8368781183132064,4.508553650359193,5.703157211545128,5.7821343060233374,4.798626877932947,4.2020383260289975,4.918783275971175,5.403069208444708,4.095542203655214,4.022260184199998,6.3267124673783055,5.7762295009948765,4.257416973800327,4.731920615020926,2.7912892389795934,6.290347303356538,6.462820572844539,7.146392755826983,3.721889382888212,4.781061787445952,5.548685412883932,4.64623046315558,5.304867370909508,5.800645721091358
