iteration,chain,data_log_copies[1],data_log_copies[2],data_log_copies[3],data_log_copies[4],data_log_copies[5],data_log_copies[6],data_log_copies[7],data_log_copies[8],data_log_copies[9],data_log_copies[10],data_log_copies[11],data_log_copies[12],data_log_copies[13],data_log_copies[14],data_log_copies[15],data_log_copies[16],data_log_copies[17],data_log_copies[18],data_log_copies[19],data_log_copies[20],data_log_copies[21],data_log_copies[22],data_log_copies[23],data_log_copies[24],data_log_copies[25],data_log_copies[26],data_log_copies[27],data_log_copies[28],data_log_copies[29],data_log_copies[30],data_log_copies[31],data_log_copies[32],data_log_copies[33],data_log_copies[34],data_log_copies[35],data_log_copies[36],data_log_copies[37],data_log_copies[38],data_log_copies[39],data_log_copies[40],data_log_copies[41],data_log_copies[42],data_log_copies[43],data_log_copies[44],data_log_copies[45],data_log_copies[46],data_log_copies[47],data_log_copies[48],data_log_copies[49],data_log_copies[50],data_log_copies[51],data_log_copies[52],data_log_copies[53],data_log_copies[54],data_log_copies[55],data_log_copies[56],data_log_copies[57],data_log_copies[58],data_log_copies[59],data_log_copies[60]
1,1,1.948595593882954,5.661157603106075,1.0580547417021724,2.925825603271717,3.25438643700274,1.8416772298837496,0.9151142005277211,5.037155839199529,5.281370265837767,2.43793488854457,3.017198758723298,2.0118576807506034,1.9660080572983336,2.271766556497883,6.600535645372259,0.10793106143338482,2.9348792211672308,0.5968059625382995,3.3727704628986026,1.7807803797555195,4.800606946647219,3.2023941516420718,-0.2912626309011146,4.642079323127388,1.971537950640972,-0.7489404244794473,4.778831041423851,2.5551214249496885,1.6659379492462136,2.731515455344146,-0.6516495118451737,1.6421110914713832,3.4599983826870844,3.084585201080662,6.470426745763342,2.922647197752286,3.922632982085101,4.439235829480884,7.074743884160819,6.249989763067167,3.926352016876026,7.8347619716236565,4.81989370451032,3.088005546167418,5.890654606213272,2.805803815490611,5.119480860966317,5.668536531947444,5.735816457712679,5.377893782738529,4.024995711357036,3.132515375147241,6.238643893418547,4.268232877397391,6.763812365313893,8.45794738568851,3.8769120599781917,4.583142130048769,4.757147470998138,5.327909819228173
2,1,6.357146015141312,3.018328762427484,3.2297761868107546,2.792428995449135,3.3783980035260175,2.5635308907353127,2.5771673637079267,3.8622569387949808,3.3433327852564307,4.072907714612914,-0.3228067111931954,2.439311481933205,3.2126037893915256,0.6571816038862648,4.263203084988144,3.7523723975444017,1.116190318030588,3.1602394107017187,1.8709172907662237,4.071913214377208,0.9620374853535056,3.1176744051199425,3.977537578172184,1.6128536011146397,2.8340880988144854,4.209449118739497,6.338075037210217,0.5952680827342252,5.812252744498235,2.8014457275356834,4.538110493964814,4.478987360257071,5.036016785163221,6.167950307775343,2.799581915299937,6.748368272710818,5.71899116578482,2.7445903677924157,2.010963504755441,4.8029807266783155,3.23348980980756,3.305242525845107,6.964061356263498,6.802350251000159,3.1946148908147602,7.017793519742535,7.170986812599583,3.6823812958028705,5.556482553140687,3.134932796548532,6.931237430907695,3.214676955817331,3.3399132579993163,5.229143357390945,5.399459010852792,6.389990298173278,5.562874361103907,6.248114130355942,5.722260212084076,4.1921310720735185
3,1,0.7960620660319719,3.6109744329046767,2.9696476013492825,1.3036916257364368,4.0986691343242105,5.259670125528875,2.240704330138878,0.9898430685616408,-0.3235097732664407,4.282203011888749,1.1843878508179992,4.3485989066484,1.3194926002450642,0.24431964941153073,-0.7567813758567596,1.1215633003540262,5.1087731553934175,2.60419015476038,2.237585269906758,5.157436970313841,0.957410996803161,3.8561447225445225,2.8001607523832797,3.6646510426569456,2.6592853764541746,2.5325883158678706,3.001660462848611,2.3463168434755732,2.3854833535295707,2.872019059852333,3.089148214495789,5.016856466978301,4.83455285197184,3.738186069376288,6.300188509009267,3.9943143697689223,5.523351587440929,4.759295497364411,6.051498919069543,7.285724051171665,7.723137983340728,6.937625006270492,3.9971107809926805,5.783631533315464,6.242658266905368,8.150365379762283,6.196251225147283,7.262723504021038,6.144148881299977,6.8049383223078745,9.471253304329437,3.1017918960956306,6.903926947663305,4.1000492080335285,7.119208545610306,3.9130023752637912,5.086576596142546,3.9162315869243742,6.524715604131412,7.006511905130175
4,1,1.9511985068861044,3.70311016544529,0.8953814330231917,3.1698970456643556,1.9267592120040842,3.4067798086366587,0.11436098739425393,4.079318901493957,3.7448782410847,1.4765414357266717,3.495993398364551,3.4885948914782428,2.1938603448117693,1.7414212903197095,0.7728124298922916,3.6211564909378375,2.5435076594274855,3.2357260468417492,5.798617047155255,2.7085195109523768,1.597040998015338,2.1548341219004943,4.084099639008621,4.584229520294101,4.2178134960703355,5.034434257027954,4.30491908024017,1.7370017069011874,1.910745437235502,6.5371217142598566,2.551288765509197,2.918502007212421,4.694185031667434,4.005689392926868,2.5973170204241236,5.030960473241507,3.741265927786263,4.733460533544516,6.926068744318865,3.2449922450192723,4.448264845249183,8.73037453311005,5.37518111031522,4.728019691803057,7.239824200195788,4.230395267863788,6.603822762556868,3.913716645207484,6.429942964140857,5.378299128180791,4.048349083840508,5.294080157965574,6.161685611433705,6.165079160618152,4.36678219810968,8.11620136124211,5.079349200749183,5.23205878179877,3.4418310272939423,7.730084815059268
5,1,3.2035412735525,1.3982793329757115,-1.8425873011319633,1.7833531396336098,10.72143864335273,3.2187094557848597,5.103394678482348,3.1451869272739064,2.5297609177830833,0.9696915008981761,4.590493005338972,1.1217301068004455,0.7041051398736005,4.038351072105347,3.746210555220267,2.520236940471499,5.110090080672203,0.8926060811727909,2.269218622226609,2.2537593420340203,3.45184206190894,3.6732060340488233,1.8548533679513004,1.8792540785583167,4.875368865058894,2.806989762497504,3.3490045246328073,1.7860142325555173,1.1295881955720133,6.449326298314814,3.627233307915931,5.66718264294752,5.783000464883492,5.2859922960242685,2.1809693728732893,4.2342981147799215,4.201134938410268,5.608448423123225,6.418945984847704,5.42631245918599,5.484924262039917,2.004896287077922,4.155357213562899,7.132429753946495,6.708990430451223,4.47010629252319,4.133628968889616,4.85591363445137,6.063394300426859,6.575411517419129,8.818153957312822,7.645836764140002,5.862113261688135,4.8717694794227,5.7264918013126245,9.591061722805009,6.703540768798871,6.811199405292087,6.015941632228158,6.596104623683992
6,1,4.709692116032592,4.380658652820562,2.487266015778073,6.0375129532094824,4.219126394542669,4.351890090821696,2.1918288180523544,3.8451257262519154,3.082110835493364,4.284915850223574,2.690248221896812,4.112930858001427,1.7993884930601274,3.127745300782128,5.396571250556439,1.610546633091915,-0.46889426559103686,7.627336859110809,5.968762680687499,3.7604721706748,4.914165687806642,5.501208147179371,5.828155061716178,5.777316038686813,3.774226192921399,2.0975283420137703,6.18056085319351,3.62178415710395,3.8856315201223497,2.1322330895271153,6.04531544949145,3.4148669202293362,5.549963228945985,6.47617080230432,4.401243040411502,5.847796186966842,5.364233471206569,3.6961203872770847,4.856180716891445,5.320270299902291,5.764715132331134,6.244638037964076,5.173317658776555,3.8025600959576824,5.146656974950824,5.717611152765545,7.675881584076469,4.82190717392711,6.965810857915075,6.587637869974696,7.612140667040254,3.34575726343019,6.479232668690287,5.619813438463796,6.0271308126226995,5.643781563778869,9.610721547796338,6.979875190079195,5.912343679665852,5.305587806394811
7,1,1.938177200834834,4.493382286495436,2.2758823856524355,4.504666346312941,6.593982823193234,3.3907663798518137,3.110332741809992,4.094114779161025,1.7600234087675923,2.918622487317562,-1.5566886879265178,2.5722039143200917,0.6902199358484324,2.5680009642223682,1.0798528377768257,0.6091494301982321,2.046838540451524,1.0910652666878433,3.3725661922018237,1.5464705168492618,1.6151978260486615,5.1085393423571634,4.740992851855518,2.1295399460013464,2.3547125451414597,3.008823452114818,2.034010613793842,2.1492332327155683,5.920789811866756,3.0293957658269246,3.520069400382849,5.858483741205328,2.26650077665437,2.7195799570761325,7.634785992337235,3.3639503282918852,4.194005507409817,4.579402277570152,5.553950816691297,5.373067468160375,4.228358255973104,3.3910425843184013,4.293459865397828,3.8676829716447356,4.396626288825853,5.338760045997869,5.597739747194977,2.651227017759141,3.948474186525786,5.958898635675521,5.4454585533763815,5.2443122640880455,5.3971528201587144,4.49075466619075,5.323778919073053,6.211002005516742,7.042791438100528,2.3863098239550116,5.740379349268458,4.101301381439185
8,1,3.4951857814491127,1.9556438226220167,3.736118632415526,2.0964791655662602,4.92862805698006,3.351007117648762,2.964772162634767,4.516946380595118,2.395591197749285,3.7795425220911216,3.4515515997792146,6.668672354621943,4.745999015933154,1.682454537418177,1.7404791184742767,5.0365763146442895,2.049593692309208,3.517214640473416,1.8918981104379113,3.3106528107094784,1.571967850817156,2.822378257316667,1.2220155585270318,4.1247382810052775,4.348171938970879,1.428389234529859,2.123354858830364,1.7845012248870447,3.5079349583435766,3.626511065754392,5.6703519545030545,7.409628563515673,5.4158744951485,5.6469996018608635,4.898587463700223,6.075065478689201,5.022036962957936,4.5009990753390525,4.97740279149039,5.640124879679607,3.1842857158887483,4.70585403730372,5.385405000162556,2.9299883870932897,4.540914013310414,4.075473814344604,5.673210818775829,4.768267643068679,9.153030093585961,4.432110821907401,4.236679568723223,4.676738822034524,5.42448058275798,6.06153446462257,7.987357105695972,7.417374666539735,6.704375838247547,6.486661888723833,5.36738272660371,6.367589702094047
9,1,2.286175496460263,3.5688972596441375,2.8312907272749124,4.1016076279284155,4.981809427152077,3.558806224229102,4.598308287870829,3.116123080674919,5.889809925043221,3.603231060282326,5.422866238781399,3.2537189491216063,4.866165807470626,5.828854540518444,4.7401452214883495,2.5361495721713436,4.439687560202044,5.1137916346028405,1.3459928484771997,3.4277616917059257,2.096772584084645,2.8370233154542426,4.194454750829449,3.531188596775965,1.9489380986163056,4.471508637052581,4.474187477367622,3.5310272327228467,5.999057842899626,3.6794126832156353,6.523712302539197,4.702133587539885,6.610814113739581,6.31170623719443,4.450944433075313,4.4171534580253,4.282313991444168,4.556629878470795,7.117938060057036,6.115386279148567,5.508581453972737,4.025476032624647,4.815730441390446,4.871545480708507,4.795745374427565,5.014162974223771,5.766114191955749,3.015931919282157,4.027387984375556,4.49864070467053,6.5663711025120115,7.180057590028034,4.890008780718119,8.395115051076592,5.659604143947365,4.622383896240165,6.3861925309256,7.2149447894632335,7.306562131380497,5.525421174697624
10,1,6.195553542508346,4.394880667452403,5.102684343961156,3.3146229805773704,2.3735972705305315,3.672944792117533,6.802184534996332,3.9675843822686794,3.7812762895558265,4.404231596386792,3.333875558195213,1.549645483637202,3.2362325830777263,1.7834221147304181,2.709802444956935,1.5512196454943314,2.629577062982356,0.7022735509644327,1.9052137711800854,2.7343271886179283,2.020532231524304,4.662941559464962,3.941319609956225,0.6736018985119241,4.525469091426398,3.7100219710949225,3.067322350977485,5.006064027349025,6.308470113147375,5.501386107458929,5.744228855685546,6.7044375929034405,3.285893006533022,2.8213358813244445,3.5836405325745506,5.03777391323498,7.8626463823727395,5.2679592069927175,3.248642790598795,5.723282075031281,6.389106044340847,5.502952613847496,5.081590118950154,5.95407585812295,5.247307584015762,8.0904815375942,5.023436687219479,8.741736479633918,6.743741378856097,9.10654682679043,9.19871744228906,7.826593213954764,5.3393980514586215,5.214604840493419,6.62387781317504,4.989977214999556,7.750904158239717,8.847120213186075,7.770854973422967,8.429450645024113
