iteration,chain,data_log_copies[1],data_log_copies[2],data_log_copies[3],data_log_copies[4],data_log_copies[5],data_log_copies[6],data_log_copies[7],data_log_copies[8],data_log_copies[9],data_log_copies[10],data_log_copies[11],data_log_copies[12],data_log_copies[13],data_log_copies[14],data_log_copies[15],data_log_copies[16],data_log_copies[17],data_log_copies[18],data_log_copies[19],data_log_copies[20],data_log_copies[21],data_log_copies[22],data_log_copies[23],data_log_copies[24],data_log_copies[25],data_log_copies[26],data_log_copies[27],data_log_copies[28],data_log_copies[29],data_log_copies[30],data_log_copies[31],data_log_copies[32],data_log_copies[33],data_log_copies[34],data_log_copies[35],data_log_copies[36],data_log_copies[37],data_log_copies[38]
1,1,3.7684558401124546,3.6451424478278986,3.2142020159901503,1.703185100774275,2.478784496334826,-0.5519930245956367,3.546557862172684,2.4629806860775227,3.451202345328855,2.6365048974261835,0.8063498341038995,5.229871397463276,1.9461200006498423,5.55362250239336,2.65827222501807,4.790149494976731,2.2051551827852247,2.715210753106344,2.504901163397574,4.23779037253921,3.9934778913712825,5.105595848176753,3.3117083605680064,6.248374421157531,2.9448558494180612,4.349032451878689,4.640040706051394,3.646840858138835,3.053952336648923,6.0905045026961995,6.283000800400958,4.2613924985413805,4.690827305499766,4.0950794956384415,4.094125704300635,4.339845886960056,7.558840045557809,2.8378709307914387
2,1,3.572441843185799,1.9691007067591908,3.788017882167235,2.779373566155308,4.81929920037152,3.782007960954284,1.5626439923317954,4.914634709862419,3.1965525398010484,1.428008567120419,5.21087295239884,3.8523925910184054,3.0804800533121335,3.6551016938728456,1.567517768406827,2.605056033147211,3.9788862408543193,3.79286249803547,5.990791992952503,3.618738495385875,4.268188095749622,4.711987520770196,6.423660720552848,5.920652157037133,4.3990800505206265,7.053891124119149,5.019881400457865,3.9284781303588567,5.918857596414401,3.8511416773753724,5.469165835103419,5.938970830194682,5.951460739803511,5.765857364437344,4.93323328027149,4.313906212145642,6.422481516531671,5.153046474025021
3,1,5.196685014860728,6.648944890607178,2.625093030355581,3.136123306022294,3.1446152302708112,3.5855790179746903,7.049604063135638,3.587537924053802,3.782707750897476,3.545665857055032,4.1325430386558475,3.264777053034294,3.3498676687596536,4.761261663720953,4.421258666344414,5.282498127346736,0.873235885491372,3.8380692222869706,4.688350557142278,2.155362380477721,5.934167556589026,5.614701580923575,2.950101059277108,5.331646272909365,4.069981080631127,6.16320377576365,2.8952768171639107,5.128511544751627,6.007868953897087,3.4644961542733324,4.702535311009602,6.085248403041181,7.70698623740905,1.788751343349152,6.451323232916871,3.278772321910189,5.07093622747054,4.717593125667465
4,1,3.9958353524540575,5.15818848180922,1.6652265830817976,5.612491975517826,4.420743205347351,1.3751737150349226,0.5034762249222764,3.278693548628252,1.6984597656231968,1.7858732230628152,5.478705549408375,5.364047279322982,1.7356006464464735,5.681752956023408,5.980551841037967,2.4681245090727457,4.341052422239048,1.9238421455137054,5.831516364720824,1.8867367755946034,2.0729767144050184,4.200726261130811,4.383688600955797,5.684341927473892,4.927183955642818,5.646014947910557,5.195700065405171,3.7277207725166335,2.965251448329117,5.385046424595815,4.953013146401402,3.793611231689243,6.213274801992936,7.293639109457417,5.035815466200607,4.132531253182262,3.197277648768355,7.301150252580456
5,1,1.8949324786481356,4.574538605511692,2.0978390136206073,1.1978818664304283,0.34584553545440355,1.8549538786688984,5.1624111045559635,3.1410593624248655,2.858421366167111,5.265586580300679,1.8862347463306652,4.265255412424576,3.4348809123091524,4.258325947845372,3.611519153977077,3.5516756545001686,4.047420693673573,3.5580627164852388,3.1827081044826295,3.113643484387401,3.339898890679729,4.222673084429805,4.159304375347218,3.548797123358593,5.535752787681172,3.646885129373369,4.843044459757183,4.255495208817987,5.212659254153653,6.151447133155236,6.5311562143525945,5.936925877976761,3.5010640196857814,4.999898133074502,5.4651474097663035,6.944163114729591,5.435155738448101,6.415635438101272
6,1,3.3145269592808755,3.8280463239468756,5.7032617684287485,1.121829286289527,3.7416256756621973,1.7391777532702886,3.8061495533100302,1.5298240601070476,2.3457694989184863,1.4730616835864303,3.331489149982239,3.714076057265484,2.4182021202121535,4.0337543331797505,1.7063087999597315,3.752338041773739,2.791712885541757,4.132567536527426,1.356553723937391,4.869645958499991,4.620675108385235,2.830173139286428,4.6534320985450055,4.909454116532824,3.8327402348936004,3.508048469399627,2.710809958926737,5.236282788514738,4.337381280297556,4.991927372856898,7.299396010653978,4.684182091713168,3.782507871540558,4.3645966429936776,6.189591735677336,6.681996283266159,6.45445324727526,7.298410691613642
7,1,3.3354976091330775,1.0649797894183044,0.6278991288170401,4.191351707490201,0.959912884157503,0.7314433505849176,2.290432259936261,1.8161470998568416,0.7026872666336277,2.6879114935023076,1.6440705852237276,2.520573952915824,4.257484031543304,1.38030596660703,2.6578516144990934,6.219961764592412,3.6665060415347344,3.2251240657584503,5.346058271349761,2.9781879822921398,4.987377884687301,2.978380370196548,4.964221338947626,4.379213276560888,3.407980344736641,4.4042249880010385,5.218718541302841,5.308015508097197,3.8940581839235953,6.994742137117401,4.586628686514021,4.6693063491222775,3.2552876575405767,6.74576043097856,5.4701731426476705,4.456291347784027,2.633273882516757,4.689920154855533
8,1,9.87849068164245,3.244933262971183,4.824327264461521,3.086812406666315,2.419586183982492,1.0907048705047875,4.1222795763270526,1.2567575880441177,0.9287230077535716,3.800772116426977,3.5935306371074436,2.577847887816036,4.838590060304617,1.3948213238021874,2.718151881883501,2.72939703448532,3.845875312538128,4.081800837338027,2.5989625941616903,2.740406738025944,5.385501458668957,3.8261973978450383,4.283914876585219,3.2734616574948583,2.576343087792786,7.135216826116479,4.84226739636313,5.674659525585847,6.008579619964695,5.73694773674369,2.9835458019536762,4.76454069788785,4.729085505191788,6.011349273610698,6.661085113026252,5.795466137441807,5.927376749420914,3.0867606372074063
9,1,2.034294182639331,3.9141710799680483,3.5773736722354443,1.9804303427368926,1.6458680601276674,2.119232410432238,2.898097319109427,3.306182998534855,4.943445818676968,4.144014568859749,3.0312614855083986,2.486322161632734,3.0887844708332874,5.840753360873576,4.166654048521385,4.24960093834093,3.9182626447407247,4.381921502145848,5.167984855499943,4.9572784551751745,3.4909592172986876,6.316935618741343,4.899759509181473,5.10585919165355,3.4927635636938152,4.8892386150957705,4.350967893644418,5.389806726109039,4.201102910540024,5.458422874612323,3.6666100332038396,4.752802693125246,6.588598357412176,3.621138596582051,2.0352089193357563,8.425191556837474,7.110633748767873,5.379717725954474
10,1,4.712210285800997,4.978852577324477,5.150542865209206,5.101652527131388,3.7915402833411536,2.732431105935553,5.3315341824413025,3.7535604363743573,3.8724182619962475,2.6816553745127703,5.182583110996467,2.7589983583473905,4.1364297493557105,4.777920740426377,3.488715746585058,4.366253367966887,4.128507164511463,3.1306097834328814,3.805341809652709,4.092582835717845,4.404867505902473,4.804704790122046,4.125471445807497,3.4327264417884162,4.331189557204599,4.708920762905131,5.994254298084739,4.242967728304246,5.5536060607169375,5.342887338672072,5.996313658933712,3.194465524824972,5.155632539550528,4.606177144992605,4.789131499190314,4.535472849479729,7.004338441358629,5.208314188740809
