iteration,chain,data_log_copies[1],data_log_copies[2],data_log_copies[3],data_log_copies[4],data_log_copies[5],data_log_copies[6],data_log_copies[7],data_log_copies[8],data_log_copies[9],data_log_copies[10],data_log_copies[11],data_log_copies[12],data_log_copies[13],data_log_copies[14],data_log_copies[15],data_log_copies[16],data_log_copies[17],data_log_copies[18],data_log_copies[19],data_log_copies[20],data_log_copies[21],data_log_copies[22],data_log_copies[23],data_log_copies[24],data_log_copies[25],data_log_copies[26],data_log_copies[27],data_log_copies[28],data_log_copies[29],data_log_copies[30],data_log_copies[31],data_log_copies[32],data_log_copies[33],data_log_copies[34],data_log_copies[35],data_log_copies[36],data_log_copies[37],data_log_copies[38]
1,1,2.643365840333858,2.4718514019201305,2.0032776211614634,0.3220964480588363,1.3344657160779347,-2.0805489146488476,2.6700695069960387,1.489329775710871,2.713563006276752,1.852683130535608,-0.16830797827232893,4.968759525662069,1.2899740920006375,5.573340509892796,2.542832221513903,5.046573530326958,2.153811607862578,2.7382547229767775,2.4880652979604805,4.436733582797924,4.143659988179681,5.45379804610201,3.42944369285211,6.716979078187828,2.9131762747629244,4.444819269966099,4.732296827355791,3.576275807205503,2.8817033378980637,6.335661031362969,6.557132358514758,4.263972283022171,4.756132253435894,4.047516605257553,3.9729114993708072,4.196907318543513,7.808376965342806,2.340077032690863
2,1,2.9173443988112835,1.254526223938117,3.2608321540918497,2.1787632319733516,4.3384969545121574,3.163392170987858,0.5896373226847749,4.150739483508475,2.206856700751087,0.23678213684044527,4.257193023983906,2.6782311871424924,1.776742490433073,2.328812429299462,0.033004309050234666,1.148963432088142,2.628860885858506,2.4282571520735035,4.806946435682668,2.244461920478884,2.9500153941461775,3.4829092996971336,5.365900027001548,5.057625614228586,3.479911018743099,6.445251113234103,4.3024924141768635,3.1548113943396765,5.337180148710059,3.1196364757841137,4.894233436911068,5.444928651809731,5.490348523041599,5.333766516519974,4.509508470451303,3.898925936220881,6.269650159706883,5.0610195803661275
3,1,4.31883490916189,5.385191668850696,2.3740375952214943,2.777981664276381,2.826490983044912,3.17870176407947,5.843176432392279,3.244103140756257,3.3933077749101184,3.216760294884529,3.682994067926508,3.0879875073304346,3.1968903501182813,4.358003356761075,4.271632502041183,4.977542161752334,1.7927439153699916,4.081005797726066,4.773150776300452,2.9387530778394098,5.835492374025472,5.725679978692339,3.769394379866494,5.703695007328997,4.779219359270408,6.386881364868188,3.9420986078303355,5.640766822089713,6.325584852272659,4.421233993001514,5.354118142201371,6.382877639092612,7.590219094000129,3.104742786772459,6.567383405801026,4.1401958703349,5.458291353519425,5.149161339575432
4,1,3.437965874522931,4.408164265651779,1.583991505324711,4.814489325881471,3.905185596838499,1.4734017904219312,0.9044346664100198,3.2101558758552464,1.9900126509722575,2.1010795715050388,5.136452244499589,5.084070377636089,2.152345051487257,5.305767467273114,5.46469262224703,2.5957715181791343,4.152121579460984,2.207711141047958,5.410291305363211,2.2404841337241956,2.4151395368125543,4.1572234299004505,4.308457743569299,5.443463934193507,4.842060735936179,5.44047185615689,5.07910095652361,3.876911908052017,3.2338544249543353,5.180458726732335,4.788204277485086,3.768119625707575,5.676074376060199,6.469110155876271,4.483169357377966,3.645313988200139,2.788407120150088,5.991081036359161
5,1,1.3971361109807563,3.686620717250317,1.6378090518752897,0.9297271364956935,0.3582336968881488,1.6732225721716685,4.550421221230278,2.9111749068959822,2.780039275643055,4.874486644613446,2.088803272268,4.157573656501321,3.499693307410716,4.243710033694867,3.753224007970821,3.715550136333616,4.112475237706777,3.687052157687969,3.359497492782735,3.285390896823704,3.463476458781419,4.145373628591626,4.065635669488498,3.4844037731560094,5.143825846592095,3.5449961193858925,4.547358627016279,4.065754245713605,4.902341092603803,5.716625274292335,6.064279899901872,5.609896081180057,3.589571189424277,4.860529966781088,5.254244636940145,6.493115827765757,5.204798579629565,5.986395486901316
6,1,2.851197842904303,3.4165012761730025,5.284866093829426,0.8491349985175735,3.578119845583703,1.6768253835183364,3.8376330602009068,1.66750419960477,2.559874513319263,1.7628588913808574,3.6145152475111777,4.011777913705605,2.7510604161402257,4.344268405982383,2.130092138213469,4.158909074183268,3.2008592495900263,4.500613033314694,1.786624485732363,5.251247210614528,5.02404092837293,3.2622444895673204,5.038527509894966,5.265768224524783,4.215345374865925,3.911563157029233,3.1402143842090506,5.614086821687451,4.726173002496499,5.3558773868696115,7.581704315658282,4.94952193320599,4.015190796180709,4.534857081373594,6.247537207677686,6.6788941104216075,6.398684658991633,7.1333456383233615
7,1,4.546384326459356,1.7500408314793996,1.2373477829240627,5.886391313411257,1.6724436569535333,1.3433813810974176,3.25619904837891,2.543924326514709,0.9194753913743874,3.3885937020382193,1.992580858469432,3.129379172632378,5.395120424302351,1.6558756945971378,3.1302127551935923,7.678613504533099,4.248913346857212,3.634153835519192,6.31737511008313,3.1053284419149314,5.625127570263989,2.8717092144656484,5.401627581398163,4.4061870908856875,3.020734816730064,4.093348196548036,5.006543394813557,5.025792806227311,3.081506078632607,7.054106821160878,3.905359623575745,4.011989379444757,2.182688195656827,6.737490329427044,5.118010106417455,3.8248578765056678,1.4671766368851957,4.144844213623254
8,1,7.828615003519245,2.9529729294545324,4.242839674294304,2.9837401104392662,2.6805989875418703,1.7293398329500302,4.225358823249672,2.0660476125161233,1.8769981016838544,4.128815303664265,3.997755115835617,3.248642397974126,5.005873375215782,2.3178807253477176,3.3714958752357846,3.4096017334635937,4.33935385200047,4.545302716388667,3.4098931130922634,3.5177020686389326,5.555043298783755,4.384816887141018,4.7513108107196524,3.9538958436384775,3.4134606814144415,6.9274903656279605,5.15531915438931,5.754468926295624,5.921247930380914,5.648894537751563,3.4737737453292286,4.768973284712996,4.692866490897912,5.644576842170884,6.097579296781097,5.397457218320806,5.456653792598927,3.1982005033434358
9,1,2.1160553498183203,4.260232570840965,3.985969413896229,2.417292119793655,2.3094586313750596,2.865642458548676,3.7760256469353677,4.198002225764679,5.8673059503860125,5.007041597030476,3.802753638097814,3.1478229412109275,3.713206960427363,6.465839676241328,4.552115607904434,4.581787744467684,4.136157902887526,4.587658463440891,5.402737864424958,5.206446333970043,3.7064657633530347,6.735563015219886,5.303003116397133,5.569046176529399,3.8984092567383493,5.351021475343497,4.792629250031547,5.871871032724038,4.638374039760478,5.945916628571454,4.092794848130226,5.237296878118186,7.154930128735181,4.079774801936825,2.4384340014851253,9.0804610779782,7.739302948408362,5.994358616741521
10,1,4.356431785251218,4.790064478210107,5.024238564730213,4.987501399612171,3.4771394236701894,2.2325340722420424,5.2402105023270815,3.3522873157466733,3.411278057618301,1.965678872022531,4.8852039469488915,2.0688116295297863,3.710874480333462,4.624576841760591,3.184090681955136,4.189193987735589,3.8362614359156813,2.6390305398361904,3.414806671727629,3.742928637830719,4.107549860939064,4.586617113462182,3.7957999111727454,2.9796855888333726,4.01683756720999,4.426506956397806,5.911932568421366,3.8614814991869606,5.418108382048591,5.194634270083015,6.004129707871072,2.81003718849967,5.174095281176469,4.608886344971332,4.950330020870236,4.743054544305661,7.740275356563236,5.811360305961854
