iteration,chain,data_log_copies[1],data_log_copies[2],data_log_copies[3],data_log_copies[4],data_log_copies[5],data_log_copies[6],data_log_copies[7],data_log_copies[8],data_log_copies[9],data_log_copies[10],data_log_copies[11],data_log_copies[12],data_log_copies[13],data_log_copies[14],data_log_copies[15],data_log_copies[16],data_log_copies[17],data_log_copies[18],data_log_copies[19],data_log_copies[20],data_log_copies[21],data_log_copies[22],data_log_copies[23],data_log_copies[24],data_log_copies[25],data_log_copies[26],data_log_copies[27],data_log_copies[28],data_log_copies[29],data_log_copies[30],data_log_copies[31],data_log_copies[32],data_log_copies[33],data_log_copies[34],data_log_copies[35],data_log_copies[36],data_log_copies[37],data_log_copies[38]
1,1,4.306317414148717,3.871496129746097,3.328605899734912,1.5585260463699073,2.4006644377592528,-1.0997899854315891,3.5914951616975515,2.3414529981686103,3.4774161656895326,2.5416676296055787,0.44304023118613167,5.546963603871533,1.7849329856372689,6.051281095448852,2.884991748829843,5.371163979499954,2.354898498176736,2.907281236537816,2.626538539019349,4.5611995524923525,4.251553645589201,5.621008430319273,3.607815379113211,7.086602584123704,3.302066547234031,4.935234054202342,5.27793655648504,4.130125986822854,3.428093698789201,6.909092988091215,7.138242567446845,4.842068490471538,5.3551042856789,4.6643500444950154,4.632844487709726,4.890009295346327,8.567516194343485,3.097325219204009
2,1,3.489112713445687,1.9629108740323618,3.5492570733683286,2.618345030245371,4.339372857001452,3.3787901608764304,1.3183734146285155,4.2842479116428045,2.757324046917616,1.1858072579439551,4.525841860002033,3.269866975788671,2.5540915990309396,3.088617374864041,1.2150211740583232,2.109300576945564,3.2209878811359114,3.0136147666046904,4.958397055495691,2.8694604912217736,3.4734665734564785,4.0547222883911695,5.662594605748707,5.467621411293873,4.181725512248027,6.637749274816417,4.886009949598873,3.929148260482598,5.681217996128808,3.826727665825657,5.254071802823793,5.66166223857728,5.666981326121443,5.494061984960753,4.738713387959569,4.1779082215282815,6.046078655375832,4.914146863449263
3,1,4.886617693181273,5.9966588884368495,2.4214568594957457,2.8214673711407907,2.780246509433109,3.165096069928273,6.205680870607013,3.1945942393174898,3.3581864515443343,3.150773118372618,3.692865978954493,3.014364657155754,3.1445286810349655,4.463352612705826,4.283841368827784,5.074591372702495,1.3964122687967333,4.041796717916644,4.814517389948527,2.6313512712891542,5.928212845986284,5.645154457692344,3.3175019137830666,5.288684167128983,4.17039599385284,5.973486669181917,3.1263775659524162,5.10784563841646,5.9668088532331005,3.823197960697849,4.965226026823651,6.260500638145809,7.729505085011366,2.6193162499859644,6.726072470324247,3.9991599138642715,5.625824872650876,5.442041916054716
4,1,3.979288655505122,4.749007550472849,2.0069224078911745,4.979095515748624,3.9488479207206524,1.5850932433485043,0.8695943685223414,2.9853879349200767,1.7579577195745226,1.8129766945365602,4.623169831754449,4.494673031980893,1.6895919151013237,4.752024406958371,5.147419777106002,2.5166978656022,4.10992118728254,2.3125518494546324,5.3366035163505865,2.3321131773741572,2.4830046372169035,4.107507756501279,4.237866995573595,5.111848683571797,4.49010161272495,4.978689406055951,4.592788798056281,3.432835998124381,2.801487710064605,4.627272160711445,4.268359005873188,3.339258556930458,5.163931489217611,5.941532890723012,4.1191128290678485,3.368091713545596,2.6162089435368543,5.727631134630161
5,1,1.8855241761292298,4.052646107644166,1.8370955911322056,1.016248534001189,0.2220013153200987,1.5245978124378181,4.381448024461012,2.612807623937602,2.3729179735990775,4.48418711623767,1.5379820516743323,3.627801822119855,2.9064361307671374,3.5878584448214488,3.0868444796057113,3.08163259576638,3.6227064709066528,3.234725103391987,2.936668185972636,2.9124158371596978,3.1322918702727067,3.9659222440811126,3.9382114741137535,3.5317745996002077,5.329059205688903,3.78642141818801,4.911795788636002,4.49912044683612,5.5046966982646115,6.435020347419189,6.842929133464395,6.407605020306732,4.3222416469979,5.647949505285506,6.053985147093588,7.3383048944196485,5.999698014830225,6.816821302865651
6,1,3.592488057031491,3.9195587413653947,5.805725329575224,0.9436166243548632,3.513413242551537,1.3680575480004267,3.4410915220345406,1.0375687269791196,1.8649825851197597,0.9379713201093836,2.8694444252668454,3.254981844403336,1.8961270381438649,3.6609696405297343,1.4583477850129585,3.6780063799033056,2.8199398373780737,4.277646677772,1.4492665028368947,5.252017291636285,5.078430929657414,3.37565890759686,5.339881460270617,5.703079375531085,4.586924340515084,4.253033143446945,3.416306412637731,6.0312450541789,5.0291085002800155,5.661310007268735,7.997997684133001,5.12834238483821,4.089576791353144,4.593009441052863,6.33411403809734,6.737230393155639,6.399719524377933,7.144979391915278
7,1,4.759154664558682,2.221289970901076,1.7205894826878743,5.801601510401955,1.880635332409807,1.508281680412534,3.007680207345366,2.320402124815365,0.8237797330517959,2.9908659270152285,1.6896831370063445,2.5877253284378297,4.524429334397012,1.0345104371575051,2.320634715986771,6.396976582149481,3.3866152053096714,2.8587209303594574,5.295563724314192,2.5366051715500118,4.852310122778191,2.5823191064313065,4.908306256272692,4.343585538316543,3.2053334693651117,4.301987592348074,5.202147782763999,5.268880532113808,3.575754940860541,7.122952511169034,4.311834591932832,4.375167723989247,2.719496071040801,6.736137608996963,5.22676257588613,4.025917390583306,1.8741465498411016,4.172866676498
8,1,8.999620516860288,3.695295066906858,4.89235752554988,3.470852162019304,2.8663135865470086,1.801337644042929,4.207574563614051,1.9433229203823075,1.7034526645945636,3.9926148114710824,3.81360735984057,2.9676475289277877,4.72953976915771,1.8708098488682632,2.8818043027376263,2.9079871914474116,3.864064269881197,4.079972022606133,2.9245616796210063,3.0638625049083377,5.181946687005078,4.008975051462865,4.395283830569736,3.577114682333255,3.0364584121303837,6.68647070915239,4.882458993799576,5.532215026180022,5.76362309597722,5.523373024414707,3.3144283415693043,4.694166420086882,4.644870010310438,5.648617957100114,6.148088295934643,5.444706418184661,5.5043017191185095,3.160731458866568
9,1,2.764671266878489,4.714573705827227,4.318894864867999,2.592656997068019,2.1852965732320238,2.6655327239891045,3.425039093659422,3.8098983973049263,5.462438428817971,4.5530690551820365,3.3204853832679384,2.674831778405329,3.279029993719699,6.213078893329917,4.453651783596892,4.536701448973013,4.093552102467633,4.548422438409382,5.380727579996488,5.18094156376403,3.6444610013660603,6.704272915472457,5.214875195227898,5.367998848976042,3.6069854224458657,5.008428654923087,4.375924081086104,5.4115129271168225,4.03578982948631,5.294772566591632,3.3068326944643998,4.331551629474533,6.19662347091432,2.9638881189303112,1.1696101468246194,7.894499806775502,6.433168238434804,4.501294952012905
10,1,4.8951370447606015,5.240071608466956,5.436489695563543,5.372790839231872,3.7897845301829376,2.50761782791096,5.69125946470592,3.759775772688785,3.8755091314545056,2.4044515887118956,5.443411220881464,2.4938863107212192,4.179143481621838,5.0189671145127095,3.3606262980420296,4.364522038478519,3.9525303883625376,2.699002607093237,3.509381022002026,3.8686755711042706,4.259040412786571,4.709165592252379,3.855340532514486,2.8664159883186686,3.9322682654481573,4.365222025400951,5.9203701202424694,3.7946311202677427,5.4197764477019295,5.190109407266671,6.0303487322797,2.7022526906497637,5.153891944333928,4.552629973956025,4.882431105261624,4.649949406126198,7.754345041508903,5.734458517314757
