iteration,chain,data_log_copies[1],data_log_copies[2],data_log_copies[3],data_log_copies[4],data_log_copies[5],data_log_copies[6],data_log_copies[7],data_log_copies[8],data_log_copies[9],data_log_copies[10],data_log_copies[11],data_log_copies[12],data_log_copies[13],data_log_copies[14],data_log_copies[15],data_log_copies[16],data_log_copies[17],data_log_copies[18],data_log_copies[19],data_log_copies[20],data_log_copies[21],data_log_copies[22],data_log_copies[23],data_log_copies[24],data_log_copies[25],data_log_copies[26],data_log_copies[27],data_log_copies[28]
1,1,5.295226537095418,3.6818785593051833,5.543297049219816,3.237272303100255,3.927960199014861,3.7555136258840642,3.542536417196699,3.1112518849994126,1.566053355029035,2.390373290813304,-0.6708094655661505,3.477911409618521,2.3914056301923488,3.4701499742677937,2.7734661507027965,0.9444022616689228,5.588234227017754,2.334169885126352,6.030746200592537,3.204706346865762,5.444173708881823,2.9089876665568393,3.44019110565854,3.4349070155077306,5.142837120527512,4.935477026026963,5.964198726840607,4.137546285373454
2,1,4.227259681896572,1.9107870733300119,2.759395142263097,2.89579044735671,2.180700858314886,1.7507891119136032,3.8070336790164836,3.938492377717573,2.5810438293396736,2.8844183311179137,2.508730330194328,2.5648544336117496,2.7755623194849277,5.122797336593494,2.177439588916684,3.7089508015959227,2.779858797864455,4.244475114307867,3.5869740372472165,5.202239741490341,4.473744009367047,2.8293854865531727,5.300359537570055,4.020283552765542,2.6748047368948487,5.414086756006634,4.304080779890499,3.6514309773417843
3,1,3.4923086148340055,1.1917941024456622,1.9764688667779158,2.9726696715941285,2.5036367849261962,4.382212573643189,2.0792913601426712,2.615413930197909,2.928726263310957,4.448216485760882,3.905282267745762,2.508281200321931,4.875373226996137,3.067871764731739,2.1929304471026745,3.9471663991234083,2.192498086625999,3.667233036561251,4.067555711323039,4.116750792170559,3.9613058095376985,3.256154550406965,2.699656042958951,4.780258966000045,3.6494994952683544,5.217441256898133,6.2931903865201475,3.5560433219154617
4,1,2.877718503433559,2.897477144246204,3.1336380050468158,5.234527189680571,3.0772243826145202,3.19278598191289,3.0640997767647224,3.463189851392773,3.0432320626332428,3.1623016833958695,4.0114168001970185,3.777867548853306,4.320768522482469,1.8051845277004992,3.723800011260026,4.224968787089465,2.69045795677278,4.927117842791104,4.638626414269739,3.0402760496641488,4.337105212722131,3.704173452500567,4.979186821096914,3.25476160427724,4.6431963058430075,5.255289355125766,3.7923018428795734,4.592752175501064
5,1,4.285604276867185,5.500564863238738,0.8940271036073215,4.450198145361438,1.8677962459753157,3.2037688739472263,2.8359044189570852,3.254523431783431,4.122933352075995,1.4012306337781726,4.508615451832416,3.660613989569356,1.3112793728082337,0.707230910546555,2.919978863512581,1.6857684790640335,1.887857723837575,4.829717859907921,4.7999444919871985,2.1015158233697373,5.195318895694256,5.556739854950177,2.876105776561602,4.481749536168134,2.5927808274619273,5.633927806337915,2.4998054156182254,2.591482871125187
6,1,3.641441983053307,3.6522320611236347,4.282758464410654,3.660895843556215,3.9557948645144383,3.5760932160613215,2.525711802462568,1.9437848454643187,3.5854454681544325,3.267230239843672,2.423826966529926,4.079762986074623,4.787508222264769,3.222351721651209,2.5436718318740335,1.8008018879887346,4.5913880116049635,2.932899662335774,4.886434475537175,3.3106902694640032,2.79167981037875,2.467087482172111,3.6120276323747946,6.27436124596601,4.9453322805342115,4.842143916369983,6.571473266760942,4.270423679695078
7,1,4.258804789252255,3.3983462120057872,3.820004227887766,3.1433157973788015,2.890752998934827,3.1375539778979804,2.7176272767574505,2.421526023016216,2.352038188682822,2.505578074310168,3.0343013621997135,2.964428060724916,2.341868428382287,3.811214969115473,2.630332644042458,3.5746560784389687,3.3481109157404454,4.106808484507586,4.869171518916389,5.2739758086376565,4.908680256894926,3.347915246263295,4.494574999352588,4.982490936702152,6.0751981058888544,5.022457085028529,5.721695072901395,5.028990722811285
8,1,3.940155088514107,6.593890774744428,-0.10868025257079479,3.7640495445305553,0.7798789031427987,3.8254321145948222,0.47110481931450704,1.664938405503925,0.37882830086013597,3.05667101072698,3.5567319836065847,1.638228762518153,3.8807987024566577,0.3955251061434547,3.4298228614434545,1.876662042447984,3.878132530229685,-0.17752550118647084,4.916986947796245,4.58706196808361,1.8233404446111083,4.604108453529293,4.769144302216845,3.512635390391648,3.038146211361568,1.9489811594415762,5.6587900392966874,4.360885845551082
9,1,4.114960579359738,6.061238320389116,3.3262522847799794,2.2789898189519384,2.5365895714030575,4.103393109128445,4.441011908415588,4.140232469675911,4.842823408329843,3.9555015269573834,1.840792562306863,1.5032618663812385,5.246727923157605,2.0627371109734765,1.912160005807807,3.409181104434388,2.8902482414585724,1.6161244649742796,3.584308481700744,2.4587968937360323,3.3034592875809414,5.190988763901333,2.135281096016432,3.4387733746684277,7.095667589277207,4.363031434243765,3.8946865171440037,6.03115356546584
10,1,2.199820535210493,3.5787379860271638,1.6237397949326975,3.1892264691057304,2.371651434192775,1.48835990629637,2.3462323886510923,3.0179545474570024,3.1372039270005456,1.9143725872956525,4.5409572412146435,2.507934873252691,2.568862587402277,1.564086444517584,4.79374400089071,3.7618145775115357,3.0900300882464804,1.6114365752123907,3.4383314940333207,7.938813403248267,4.43049100049152,5.600749045229148,4.753685284354563,5.02700631793651,4.459128170260353,6.448493303287193,4.982675471953291,4.9369816980678385
