date,variable,strat,type,median,mean,sd,lower_95,lower_80,lower_50,upper_50,upper_80,upper_95,real_date
2020-07-04,R,NA,estimate based on partial data,1.0486222018503244,1.0548457097953228,0.1811416398424789,0.7264050612189858,0.8189707319855706,0.9200616878984328,1.1909648107738726,1.3018881861355402,1.3933742811590912,2022-02-14
2020-07-05,R,NA,estimate based on partial data,1.071347001233204,1.0746519730442423,0.1705526322081615,0.7635405369159995,0.8521083749358935,0.9487342147514953,1.2023301345357444,1.3057709393480286,1.3942746091395706,2022-02-16
2020-07-06,R,NA,estimate based on partial data,1.0983922763792902,1.100323803280558,0.1570573497582407,0.8134044478566712,0.8951849307081433,0.9857102936819694,1.217945062575628,1.313072146309242,1.3954640489806343,2022-02-28
2020-07-07,R,NA,estimate based on partial data,1.1299423722316813,1.1315784556604596,0.1410023697255311,0.8707735193022534,0.9480367663931935,1.029263543439117,1.2331516904577637,1.3210124936554626,1.3993840763262464,2022-03-02
2020-07-08,R,NA,estimate based on partial data,1.1664955117603486,1.1679830404820284,0.12299523059054498,0.940753001053273,1.0079016413236654,1.078340554081231,1.254534314806833,1.3320351490288802,1.4055128208960515,2022-03-09
2020-07-09,R,NA,estimate based on partial data,1.2070665518224448,1.2089331893907846,0.10421373183216558,1.0132947797917184,1.074888708694685,1.135818083536149,1.2806266525579841,1.3458113037380477,1.4121391933673537,2022-03-21
2020-07-10,R,NA,estimate based on partial data,1.250667696810208,1.2536391818470487,0.08705071955469262,1.090825344929913,1.143130989418122,1.1935612830253435,1.3124822373840823,1.3688873280870293,1.424810928402047,2022-03-28
2020-07-11,R,NA,estimate based on partial data,1.2997848336466595,1.3011192999944008,0.0760200357059448,1.1563477974452925,1.20618932065695,1.2493039896293567,1.3509023884456512,1.4001002800471287,1.4535616904643756,2022-03-30
2020-07-12,R,NA,estimate based on partial data,1.3497888154625581,1.35020462502399,0.07677816210244981,1.2018571096700221,1.2536206057672221,1.299508234690525,1.399904217901557,1.4484425412189954,1.5006470828660343,2022-04-11
2020-07-13,R,NA,estimate based on partial data,1.3991125559780904,1.3995624568177853,0.090593266534157807,1.2226988863139618,1.2842510174006707,1.3401920794098892,1.4600557393516245,1.5136273941004552,1.5789380466271998,2022-04-18
2020-07-14,R,NA,estimate based on partial data,1.4474121560716053,1.4477419725210254,0.11306439351842279,1.2306557596441052,1.3013984820094053,1.3710212880968016,1.5231643425586485,1.591949637833589,1.6695566290161339,2022-04-22
2020-07-15,R,NA,estimate based on partial data,1.4897956331083277,1.4932363399380546,0.13942731131294078,1.236581101801437,1.3133013624266283,1.3929029083362745,1.5892540514834743,1.6728445761178656,1.7732053768794016,2022-05-02
2020-07-16,R,NA,estimate based on partial data,1.5306834918739578,1.5345480863073562,0.16647988634788305,1.2389613459296873,1.3210549959691584,1.4116108192372696,1.6484647639485286,1.7506683804631398,1.8764902566130068,2022-05-09
2020-07-17,R,NA,estimate based on partial data,1.5610824852430834,1.5702474256782037,0.19195118256604726,1.2409211199452526,1.3250794406919548,1.4250353392374728,1.7007447141454817,1.8225118677596137,1.9760587452871698,2022-05-16
2020-07-18,R,NA,estimate based on partial data,1.5867221356260877,1.599025795677552,0.2139047280089827,1.2407723321737036,1.3297498002275363,1.4351702639615178,1.741341349893171,1.88254475388695,2.050476745551911,2022-05-22
