date,mean,median,lower_0.95,lower_0.8,lower_0.5,upper_0.5,upper_0.8,upper_0.95,type,seeding,time,weekday,seed,true_rt,address
2019-12-06,2.00120714,2.000405,1.648797,1.772427,1.8792625,2.1233775,2.220132,2.3493847499999996,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-07,2.029706595,2.029315,1.6190012500000002,1.756241,1.8839975,2.1663125,2.312209,2.4692432500000003,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-08,2.056823245,2.04842,1.608421,1.7615459999999998,1.8971525,2.20501,2.3711379999999997,2.5689887499999995,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-09,2.0846775135,2.06419,1.59669425,1.76075,1.90693,2.245145,2.43559,2.6768354999999997,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-10,2.1076823565,2.0952200000000003,1.5890522500000002,1.765158,1.91223,2.2768725,2.475455,2.7469302499999997,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-11,2.1317085315,2.11285,1.58516,1.766233,1.92477,2.304995,2.5332330000000005,2.8539594999999993,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-12,2.15417849,2.12336,1.6011735,1.777642,1.93096,2.3293375,2.578214,2.92325275,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-13,2.174025251,2.13377,1.59242575,1.781542,1.943505,2.357595,2.618874,2.9884384999999996,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-14,2.190718635,2.14769,1.6133710000000001,1.7832379999999997,1.9485125,2.3795975,2.672531,3.02879125,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-15,2.208367848,2.1610050000000003,1.6054000000000002,1.789335,1.95062,2.4208325000000004,2.7074170000000004,3.0469507499999975,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-16,2.21877705,2.17238,1.61790125,1.805167,1.9582825,2.4222675,2.705417,3.112476499999998,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-17,2.231513525,2.1836849999999997,1.62031475,1.798084,1.9754899999999995,2.4487075000000003,2.7266640000000004,3.1552774999999995,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-18,2.242768315,2.18037,1.61318525,1.801977,1.9844525,2.472275,2.7278399999999996,3.175631749999999,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-19,2.25505143,2.203875,1.62936175,1.809021,1.9887275,2.4893,2.7825260000000007,3.1739439999999983,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-20,2.26455342,2.2136199999999997,1.6156747500000002,1.809141,1.9829775,2.49739,2.7849280000000003,3.168826499999998,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-21,2.272781055,2.214485,1.6209125,1.819685,1.9969125,2.5039974999999997,2.78067,3.22220775,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-22,2.276167655,2.2283150000000003,1.62804425,1.8242,1.99495,2.5016425,2.7955300000000003,3.219026749999999,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-23,2.280163335,2.2302549999999997,1.63404675,1.830609,1.99857,2.514305,2.797391,3.1719259999999982,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-24,2.27856969,2.21873,1.65189525,1.838366,1.9940825,2.5053824999999996,2.805488,3.1802084999999995,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-25,2.277000375,2.21558,1.68976425,1.842815,1.9952275,2.5070425,2.792768,3.1793937499999996,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-26,2.26851094,2.214925,1.6742475000000001,1.831687,1.9907675,2.488345,2.7845569999999995,3.150567,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-27,2.25900939,2.207025,1.6673582500000002,1.826758,1.9831775,2.47448,2.7652070000000006,3.1154942499999994,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-28,2.24849596,2.1990299999999996,1.6676020000000005,1.827175,1.9863500000000005,2.457545,2.747841,3.065893499999999,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-29,2.232354435,2.18468,1.66150225,1.820031,1.9802675,2.44461,2.71796,3.00963625,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-30,2.21454682,2.167185,1.660591,1.8151319999999995,1.9689925,2.4205425,2.6957040000000005,2.9894114999999988,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2019-12-31,2.19277343,2.1445,1.6225170000000002,1.797805,1.95289,2.4036,2.64427,2.959430999999998,estimate,TRUE,NA,NA,1,NA,episewer_sim_102_seed_1.csv
2020-01-01,2.1656018875,2.125685,1.62137725,1.781685,1.9383575,2.35735,2.607195000000001,2.9316454999999992,estimate,TRUE,1,Monday,1,1.9579999999999995,episewer_sim_102_seed_1.csv
