iteration,chain,gamma,nu,rho_conc,rt_init,sigma_rt,tau,I_init,E_init,alpha_t_values[0],alpha_t_values[1],alpha_t_values[2],alpha_t_values[3],alpha_t_values[4],alpha_t_values[5],alpha_t_values[6],alpha_t_values[7],alpha_t_values[8],alpha_t_values[9],alpha_t_values[10],rt_t_values[0],rt_t_values[1],rt_t_values[2],rt_t_values[3],rt_t_values[4],rt_t_values[5],rt_t_values[6],rt_t_values[7],rt_t_values[8],rt_t_values[9],rt_t_values[10],log_genes_mean[0],log_genes_mean[1],log_genes_mean[2],log_genes_mean[3],log_genes_mean[4],log_genes_mean[5],log_genes_mean[6],log_genes_mean[7],log_genes_mean[8],log_genes_mean[9],log_genes_mean[10],log_genes_mean[11],log_genes_mean[12],log_genes_mean[13],log_genes_mean[14],log_genes_mean[15],log_genes_mean[16],log_genes_mean[17],log_genes_mean[18],log_genes_mean[19],log_genes_mean[20],log_genes_mean[21],log_genes_mean[22],log_genes_mean[23],log_genes_mean[24],log_genes_mean[25],log_genes_mean[26],log_genes_mean[27],log_genes_mean[28],log_genes_mean[29],E[0],E[1],E[2],E[3],E[4],E[5],E[6],E[7],E[8],E[9],E[10],E[11],E[12],E[13],E[14],E[15],E[16],E[17],E[18],E[19],E[20],E[21],E[22],E[23],E[24],E[25],E[26],E[27],E[28],E[29],I[0],I[1],I[2],I[3],I[4],I[5],I[6],I[7],I[8],I[9],I[10],I[11],I[12],I[13],I[14],I[15],I[16],I[17],I[18],I[19],I[20],I[21],I[22],I[23],I[24],I[25],I[26],I[27],I[28],I[29]
1,1,0.24191573784533665,0.11673387869744248,5.454644405667324,0.47073591458821673,0.16461694895736004,1.3369438889136542,8.146572708891577,5.114972501807471,0.054950829152070536,0.05510160345442435,0.0519521680737778,0.06011175077942722,0.0673211572306911,0.08066135180830815,0.07836399605999411,0.08049266200418383,0.08303636812097516,0.08349988490382892,0.07305243852455884,0.47073591458821673,0.47202752165238876,0.44504790428861185,0.514946915584192,0.5767062482792841,0.6909849369211044,0.6713046540936276,0.6895398568294754,0.7113304984596078,0.7153012119150832,0.625803231587124,3.794064742588521,3.715519087171413,3.489244931075505,3.567694751463289,3.601509506161359,3.5570291387424215,3.5910903464756307,3.594103822558329,4.111084174701857,3.5684786118230862,3.6780150806672953,4.027491030302153,4.375609218321859,4.576782351273062,4.732488305145644,4.572909932680043,4.566402205574394,4.768508404177704,4.641744666954851,4.690484222712451,4.6653112183081,4.838597457149101,4.724749744702975,4.752966368531179,4.662529782832086,4.491763590411733,4.5603738173557,4.5333702993139156,4.565332341592455,4.554921694311555,5.114972501807471,3.5008503241182836,2.6925296696740384,1.9736675394410492,3.3345933683883753,2.962740104291337,3.3714341989000696,3.6956902063911934,2.696357360397218,0.8671797062814597,9.808618221504988,10.000011724330014,6.458909433262561,5.148131047478925,2.50131380956048,4.872700732649162,7.183231711908769,3.7936653120470893,5.151451213166696,5.436406735689713,5.188011914100859,4.439704742754573,7.387403077265317,5.292524460453471,7.212107015997142,6.605827409573957,9.822767877035758,7.876505229828313,5.703145512507034,8.651619640918423,8.146572708891577,7.531179403766265,6.006111299515594,6.496264511499145,6.719690358458877,6.427346052203994,6.650040309161509,6.670110271569989,11.185482637140371,6.501358672030885,7.253960897479267,10.288467420267434,14.572581563765437,17.819884151348486,20.822223937543388,17.75101153849427,17.635867867712058,21.585914033415825,19.015933569598175,19.965719789139804,19.469395828518472,23.153131164011523,20.66171176664613,21.25301862521141,19.41531820184292,16.367475428807136,17.529871823288698,17.062837773796954,17.617009977377734,17.434556875679288
2,1,0.418382667015411,0.15503291522321705,0.9203334970962164,0.5027349746646352,0.15819159797768725,1.8767796342856455,9.473990770910566,5.415753081870549,0.07794046870692857,0.11130581673212922,0.15728271599340815,0.174692120861717,0.19298173106622066,0.17380315465378454,0.2206876941112195,0.23829122442209968,0.25473372874020084,0.23386401910332622,0.21162801099803638,0.5027349746646352,0.7179495823314077,1.0145117620148716,1.126806656574796,1.2447790895782662,1.121072608378305,1.4234892880229493,1.5370363388897574,1.6430944897955,1.5084797880927918,1.3650521290484248,2.16553105257045,2.269060169452568,2.0869461843137826,2.013117978578793,2.332493416609026,2.28520544948988,2.279855227264014,2.5934421244568298,2.650115221926689,3.5613264084580334,3.8609886820401753,3.847110820161415,4.160680454183769,4.086542891785686,4.161793902652696,4.268635029069197,4.306028668683626,4.409621273125038,4.654066711563447,4.686172358677199,4.792791621131028,4.92177208095594,5.154039847234214,5.2441388341762,5.256374483975007,5.303387197981438,5.338564255683281,5.430694391117649,5.535320002789963,5.600123383501481,5.415753081870549,5.9352524637960675,1.787555703516087,2.78685557073306,2.551422912528736,3.4402909747253467,3.4874960395770014,1.7523269820018281,6.427499587442542,27.396679671651594,21.17404438729083,25.34002035215322,28.996064742472203,35.82130713683987,34.31518630517645,34.81531817927917,40.61662482036047,48.605291373250914,55.15837371704852,59.010872221883126,63.847953479059385,94.39664765289214,81.73727775458028,86.24274921742985,83.02633915471496,92.12216369943448,139.83037818051167,135.88468241910192,134.26421197461076,142.9670781657864,9.473990770910566,10.507395549001405,8.757980677386227,8.134686122687349,11.195507641392775,10.678417274423284,10.62143793097828,14.533572271311082,15.381021813941231,38.25772827386492,51.62509336598378,50.91359590174463,69.66511093461055,64.68711744620637,69.74272264602058,77.60673439392993,80.56367346304255,89.35707763135183,114.1012131720594,117.82394707913032,131.08038997431015,149.1259511698998,188.11604349025623,205.8521128020779,208.3863193802752,218.41706467188072,226.23707038212274,248.07064609838963,275.4315610721701,293.8714895144362
3,1,0.2027384507834259,0.17173435897366332,5.6532585166895934,0.5591754167938325,0.13515599687243784,1.4540378919851653,9.158652819515549,5.109640857744722,0.09602963175691984,0.11196268887810436,0.14036678976425637,0.16389004950443767,0.20948049623358925,0.2286594653688913,0.24598805949793745,0.24425923234109234,0.26878976834719776,0.2692254502259522,0.30449086029349576,0.5591754167938325,0.6519527574285506,0.8173483198302945,0.9543230049239673,1.2197937412496154,1.3314718541789174,1.4323753322750135,1.4223084640770762,1.5651484650687668,1.5676854173790569,1.7730340166826581,3.94693120329653,3.8919886658009,3.69466467918248,3.354214609316357,3.541744094585492,3.7786446732183414,4.070117655327419,3.8723579009304006,3.8742521747982748,4.461021608116077,4.18155192774054,4.296569570026265,4.834684060769649,4.652746383887066,4.812555021140584,4.921774091938618,4.950409283453333,5.083112898864125,5.296302281447996,5.288890721751585,5.321221254236469,5.419859545149704,5.26433066115501,5.2445156065951775,5.291237424300343,5.440221897318608,5.707210326002953,5.6932968911379085,5.8467444114206515,5.90502531786392,5.109640857744722,4.625624484765571,2.5269389267927216,1.2192131332467537,2.971078997080595,3.015272866912881,5.830648561976069,5.427020403995318,4.506977516374824,7.158499201408846,10.312251611051384,15.916748603845107,13.623461900067298,19.73517684568911,19.35892035861013,22.592970317989472,30.428125230914286,32.036907819860325,33.218553026970014,36.524494207118146,35.39093370849038,39.23665570462341,38.152982462202374,38.37081787888756,42.96602403574716,46.68727903898009,42.677824863403906,44.84626403217537,50.65572298989592,60.33583160324236,9.158652819515549,8.669026998623536,7.116617708751627,5.063118013812774,6.107466182278528,7.740084196834012,10.35930912462564,8.50050686928072,8.516624418013057,15.314337798302047,11.580467240004257,12.992047798630326,22.252446402398345,18.550825257802746,21.76542961496432,24.277305511791678,24.982539876288463,28.52784966386688,35.30660913080943,35.04589941579079,36.1974670976127,39.94995067797925,34.19565378295133,33.52473414430051,35.128238291911806,40.77176427656833,53.2489570494023,52.51321139745699,61.22234907920691,64.89646866784017
4,1,0.3413047563874469,0.1415863338357961,3.7803172037230457,0.6028872898354233,0.2108289452689343,1.371356128605126,8.651811000630227,4.92089848812354,0.08536060108399661,0.08863133637389778,0.11304017960300056,0.16458041879127364,0.12678706338810758,0.13614370006096688,0.1459488024438955,0.2645432530173794,0.23774113389719784,0.21493973705043026,0.1687183137075989,0.6028872898354233,0.625987932399517,0.7983834070744301,1.1624032795576498,0.8954752902575195,0.9615596108227416,1.03081136780587,1.8684236384295525,1.6791248664784038,1.518082509994964,1.1916285218831144,3.4875765857044296,3.370132759730023,2.7176331242576803,2.9973653732195307,2.663639576655965,2.696631906290798,2.7431624213440173,3.285148030979002,4.092896593031407,4.071019027200276,4.109370057826323,4.0654650139562465,4.140210916386746,4.120480609497557,4.179961976070805,4.586322505182464,4.65556494492461,4.569006574534928,4.6883119736955035,4.778251593500461,4.973164701145317,5.160060559515828,5.563948006511555,5.541986334873827,5.672613837989206,5.718496117756659,5.749431477970356,5.778004254557671,5.88725427077459,5.867483987225802,4.92089848812354,4.340937634213991,5.649759888143425,5.064269755498861,11.587088975805578,10.421266620408808,9.928493557539419,6.935762305150345,3.061176808347596,8.408290652795642,5.24577029942655,8.431436634072254,5.4780312333060195,5.874538615063352,7.833478363749128,9.802310753174744,9.505663146500764,13.33492638854114,25.94735921735539,24.889986148097,27.55892911955115,33.83083543019432,41.13536310965701,48.84237062161104,44.31337843704143,48.96296644144252,52.759750802294825,53.98699978343148,45.48397268062243,50.377877445142325,8.651811000630227,7.693107801330776,4.006128052131952,5.29920839929809,3.7955588297255933,3.9228717852104893,4.109718352979516,7.06632193148462,15.848718900532699,15.505752820265055,16.11196454414179,15.419872375070833,16.616613264232804,16.291975517570968,17.290445291288098,25.958901679180567,27.82005107728164,25.513268549089958,28.74615592237467,31.451405466312757,38.21991744082347,46.07417680930505,69.00231702265829,67.50343006966291,76.92307646377228,80.53470385518482,83.06501010837549,85.47264063132789,95.33970430901105,93.47332157077689
5,1,0.286966552701724,0.12212129674751811,2.830218444903032,0.6330282942447778,0.15065291979793013,1.3806915705532818,9.084345978154262,4.547361921944304,0.07730623617104172,0.07650826555929408,0.12096850271090151,0.1700716566203937,0.15935394159481428,0.16337174353353445,0.16636881617996896,0.23575214219916565,0.20496486657117557,0.1972940597480471,0.19416006259750415,0.6330282942447778,0.6264940481058965,0.9905602538843002,1.3926453546592403,1.3048824884677852,1.3377825807999757,1.3623243497318178,1.9304752608922562,1.678371193477694,1.6155581786520519,1.5898951924734626,3.246906607748679,3.1646146712858734,2.784153013832494,3.2050653979613184,2.784351557398876,2.8910524356592333,2.9986419988297017,3.145817713886772,3.215416798107105,3.5675823474022144,3.631789906331649,3.8896597456296016,4.154134698558888,4.232124717796988,4.477209142059488,4.5636038290654195,4.69328245787252,4.802634075473632,4.925882010588087,4.995948211400185,5.039985389670913,5.128479396212023,5.239338638558384,5.205634432271035,5.30149625464209,5.301439366775431,5.3623959632081295,5.38464021505318,5.462986980276772,5.477069222858278,4.547361921944304,4.221936530011345,4.504609478243448,2.9497931864078044,10.095561360125387,8.5303379882894,7.001382256724208,4.455393412708119,7.387873381397347,6.181588391169595,4.813853881175804,10.33407822707505,12.884523288338544,12.989729884742596,10.782038650438613,17.078935757285553,17.666244699318863,29.824420902383608,35.932703976536544,37.914970512724906,40.13786088834631,32.44513066620854,35.12606573154511,37.014671029161235,33.71288069668176,39.56089379028875,46.0382814908071,48.33665559456314,40.219154600426876,58.73690944010478,9.084345978154262,8.366710308387638,5.719029459853961,8.712088119213366,5.7201650490874,6.364263650044371,7.087184131962054,8.2109104798324,8.802738800734836,12.51876163345849,13.34892702081808,17.27578565528964,22.50597435539949,24.331475983189836,31.089036856074802,33.894404147901554,38.58750657362592,43.046467759478865,48.69265088749469,52.2267237808804,54.57803388385315,59.62801407912289,66.61866149139846,64.41074935186646,70.89091995168528,70.88688723319119,75.34232527361483,77.0370378593493,83.31537305193632,84.49694037860617
6,1,0.23073770949142994,0.1908826444855854,3.2805418644527387,0.4712894916882842,0.17477978100080968,1.575878536863407,8.960750706299542,5.534129109879543,0.08996098449172701,0.13576696448407322,0.11787087452131241,0.1377593031337876,0.21905850646245634,0.26866522380470415,0.3098417657371718,0.22808503847285483,0.24315314825066373,0.2659525191627116,0.2623109601531294,0.47128949168828427,0.7112588200459772,0.6175044087374507,0.721696325535717,1.1476082964630063,1.4074890073360888,1.6232055385243245,1.1948966816104583,1.2738358110342796,1.3932776333827206,1.3742001576939487,3.3808626189910207,3.4502082143769695,3.097928202481488,2.670426344719193,3.345852394296257,3.43091819144849,3.5114698234078885,3.653687139637091,3.38928119896756,3.2561097896422497,3.6130263630820645,3.630099757002462,4.112782395234008,4.165816267590224,3.885122764144592,4.457285086039809,4.355818323752989,4.510296301192032,4.749187117572211,4.795698451628683,4.796415732225173,4.913632148964307,5.118609301608105,5.207093849372125,5.109432421810194,5.353590225319,5.4604441281934175,5.574649393003344,5.5794751001661576,5.710081771558244,5.534129109879543,5.227240679931162,3.2913896513698697,5.042688626360328,2.3396175997768727,2.513734710903565,4.583239063595578,5.634768646613909,3.956186404122231,5.737735247368873,10.231382890992931,9.749214089925502,14.857419515225924,17.377099960575574,28.52956691442636,28.88149652003723,31.228196045439578,28.175662672711802,31.008566763125955,29.2395674024305,29.200162332359096,40.838380122097426,51.02089599199615,52.073580912466014,64.95287778183162,68.55629847175409,77.55390152866215,82.51502059302588,95.41494656078406,84.56405044882167,8.960750706299542,9.604191358622398,6.752545812276863,4.403579502066583,8.652460946512234,9.420701736363625,10.21095549551295,11.77146671619625,9.03650593106661,7.909789569383231,11.302430055449928,11.497057644978051,18.630011164810465,19.644701462136993,14.836852993466254,26.292309309053067,23.755396184096863,27.723701297899854,35.20466162075781,36.88075389434215,36.907217233179615,41.49709968291031,50.937566182034445,55.65017587219204,50.47225657067414,64.43014502177057,71.69604006523919,80.36998468550217,80.7587640093853,92.02618537839203
7,1,0.2793367734330912,0.15965880434987623,2.0359598673038803,0.6019916101591581,0.1526475441876171,1.5316062624374054,9.113584881459017,4.764489996002294,0.096113260706668,0.1159671655138393,0.16045282994617938,0.19920437298435606,0.1864275312021462,0.20605867655626725,0.22484048622797423,0.3414510675298418,0.3643595774456655,0.3905596364939057,0.3828906369431053,0.6019916101591581,0.7263436926391413,1.004973265330004,1.2476879918743453,1.167662077649091,1.2906189382748374,1.4082561067866881,2.138629741843651,2.2821139048943904,2.4462142133924134,2.398180535688085,2.920733531408805,2.836653719429462,2.4741042744461303,2.6952098502931485,2.601917773916585,2.714864087014992,2.7068939624948576,2.907967036304096,3.287498246965947,3.197919304945279,3.3160613198444047,3.3624049802304894,3.6633596931887276,3.8437751092425017,3.958931210802416,3.9835437071344377,4.265837134065112,4.344074806294994,4.702644823003666,4.686622498615826,4.86165643991939,4.980241017412184,5.212503345394175,5.393580425137964,5.606895176957243,5.714327856636275,6.039444377567566,6.143903435059878,6.241104714507826,6.506283003171377,4.764489996002294,3.509152932187039,1.8038586182905478,2.188979756353294,13.253444067845072,12.801000499257881,11.666509891057032,9.796742201280455,9.328644834301514,8.48722325111206,10.741473149062534,9.482988123694861,17.290141707778545,14.403500343736663,10.847506926470201,21.425217388774033,24.135830239402186,33.33562102770225,39.41783042999709,54.00096772980744,61.79454147476628,73.41076115031059,99.09973743686207,95.8151994324665,105.65385202908979,136.50560684624372,208.02228328660135,231.76810968789007,259.3178015917219,332.01878254736005,9.113584881459017,8.378646052077272,5.830698983867008,7.273535328261571,6.625662633111537,7.417905205938628,7.3590185564537185,8.997975875777508,13.15143476152467,12.024568334295449,13.532496389553046,14.17440102907836,19.15171573700677,22.938293570350698,25.737879669398804,26.379213172614904,34.98326299986409,37.830188420213624,54.145639075563494,53.285013107538184,63.47772474665683,71.46970334484286,90.15550011030086,108.05204813216429,133.74403544842065,148.91273596055024,206.12380648490412,228.82008691349796,252.17853970779146,328.75592831203704
8,1,0.31919328632334054,0.10452254366911821,2.692021786461474,0.5422439003932086,0.16286321751465496,1.755844820971277,9.018953594388027,5.344805788646783,0.05667671175816213,0.0741668320603703,0.08244360152007928,0.10613884142642041,0.13115887239887147,0.10791949237886407,0.12191738881851776,0.17321534572495018,0.12111626120010394,0.12863561202117935,0.11200687314332106,0.5422439003932086,0.7095773739984411,0.7887638266924202,1.0154636282333391,1.2548381219469222,1.032499675098794,1.1664219462976861,1.6572056098566577,1.158757306782694,1.2306972974977979,1.0716049304913169,3.1896208226424747,3.4970278615223487,3.3501757111758312,3.5661938084784466,3.8500788986801955,3.8835505083593618,3.8137625114665674,3.809349698131908,3.8571403132919633,4.119381217161333,3.9631596137601734,4.16881383879388,4.413560657063515,4.38277099813688,4.541838541614455,4.588138503306984,4.559575995688332,4.676939756666522,5.127748356280614,5.200734443804363,5.238050044464716,5.21611958557175,5.1909620507041225,5.168469533907018,5.332416009562456,5.37403485266133,5.359249072774471,5.3575664507033345,5.3394849155617585,5.342735026740673,5.344805788646783,4.924595706860606,3.963776055804141,2.581521748230665,8.951704506182404,7.156775343116034,7.5427475879777655,4.824126423021558,3.5497829509286865,4.675568886103596,10.241414186379101,9.62608510082961,11.077005107530558,12.961902397070116,8.084031091139506,12.095500824620252,15.596341447710744,25.62434241690069,17.850941311719218,21.089816485346823,22.820105862331324,25.765952378436115,29.217428333353297,30.228041405061198,24.46652503607748,25.865297576811212,28.690965691670353,25.50637162272433,21.405087949075426,24.487344511519716,9.018953594388027,12.264824354474591,10.58971456917911,13.143157798298004,17.45779744609395,18.052027468046877,16.83516757751185,16.761040799640206,17.581510472491146,22.853144262798423,19.54788524504123,24.011222710893286,30.669483955474167,29.73957032898045,34.867181785822446,36.51948663434664,35.49115430408491,39.910811490975064,62.64324482408524,67.38631387167949,69.94837987633593,68.43107817914893,66.7309955522759,65.24680171360946,76.87060123433024,80.13737487012278,78.96119805814077,78.82844791900214,77.41591741220655,77.66793707493044
9,1,0.21240713360478067,0.1744911093211075,8.459701335379917,0.5500711820501611,0.14487157131409634,1.5136673118971853,8.914722295634137,4.809370380785648,0.0959825307615055,0.11856878689911488,0.1347934743147936,0.1416444698027264,0.16680894031945442,0.22662746559243327,0.24538568684593515,0.1679443844220507,0.2035822039185394,0.16984904143058913,0.21532027137772206,0.5500711820501611,0.679511909577688,0.7724947983839092,0.8117575179264004,0.9559738657657568,1.2987909038699603,1.4062933509945414,0.9624810402975363,1.1667196380985634,0.9733965363130576,1.2339899277130426,4.323017970440967,4.032107518180056,3.68688644719867,3.2517227673185394,2.611497483564855,2.755887915037813,2.799646408081747,3.5589677052196693,3.284030318422089,2.659524077671458,3.635085632585652,3.918656279025751,4.17380269007527,4.2234116308460194,3.793156330173555,4.19217299879988,4.562450231965654,4.79074351895638,4.241036015342305,3.8876728382943444,4.048464033791483,4.696662171764891,5.06253457832055,5.2241479474855135,4.96875373008322,4.811469587845025,4.821586970270806,4.900944652263351,4.955067187266722,4.969465442152401,4.809370380785648,5.123211614969998,2.533762666514125,3.5058735033434845,1.2098146762950654,2.025216962625411,1.6082910830824306,2.7837238218360048,3.283354253212262,5.124278463422641,3.8796795406111686,4.426473501659059,7.121763322839865,5.522199557882687,12.008930715931275,12.374127608800459,10.84886221878842,6.226401566485472,14.856570443917517,15.796814447998797,15.056912131370035,10.839140578003066,10.565295606499346,9.285290742219665,11.830138104475484,14.473062613400364,13.095027594375404,14.852029594306597,20.425808546470723,20.411052158920015,8.914722295634137,6.664491444585183,4.7188851626732164,3.053867736181689,1.6099185919575947,1.8599954568891912,1.9431930813022373,4.15226444725715,3.1541418071314538,1.689124264296641,4.480666298614006,5.949709585325691,7.678996082777885,8.069550341764248,5.247975904825733,7.821365290932233,11.326400884359536,14.231099125044812,8.213031872545542,5.768193626146264,6.774395677830493,12.953270466235503,18.675653215364026,21.951469340822094,17.003851211200985,14.529131719166337,14.676874626568695,15.889059369498316,16.772712625716963,17.015957364867383
10,1,0.2095426616422512,0.1761452371146055,7.5329065723885575,0.5684136049830524,0.1412302163671583,1.4030952864311281,8.883017114146156,4.8427517359560435,0.10012334922890746,0.12882045357487765,0.1433664296126712,0.153621149312174,0.17709226566436076,0.23362008465410977,0.25374230006598403,0.18713932582496431,0.23307963451675417,0.19027526061077624,0.2369930971242014,0.5684136049830524,0.7313308931030766,0.8139103387700037,0.8721277499670533,1.0053764073628575,1.3262923737308285,1.4405288739138118,1.0624149076662557,1.3232241662322406,1.0802180276210211,1.345441415313469,4.203422230726076,3.953181267237258,3.7412672572030163,3.269326873232901,2.837248452445963,2.982886395668879,3.0982337785751404,3.7051765145617406,3.201251785447427,2.736550810742011,3.3880918530070296,4.012723656822658,4.306946361633202,4.317550964702697,4.023369297173887,4.31151804706092,4.749804304191519,4.891643064238003,4.504911791427437,4.265668154246383,4.320858062845645,4.972980085460355,5.309869604109301,5.487403547264768,5.305029117826303,5.236521984008959,5.331185198218331,5.42018451525628,5.432736615426631,5.484589866279794,4.8427517359560435,5.213645381230985,3.34838290883633,4.832920525958253,2.3913251259163895,3.381506631514724,2.519164119026866,3.389241202032466,4.026225645178737,5.346110848422509,4.1760963455503655,4.706968557107042,9.104365825799054,7.702279450932888,14.418408860792153,16.752812208394754,14.38195727220576,10.27316168856511,21.3532240696804,22.590002541588948,22.67031036686749,18.280387833084838,20.318562894693795,19.211392895981888,21.738790193954898,24.518901901702243,22.266904400143872,24.295321559019484,32.36766951644824,34.90651132319489,8.883017114146156,6.916433875684876,5.595631985997757,3.490503192001021,2.265889701775384,2.6211297558300384,2.941597532727191,5.397282295323342,3.260794310165317,2.048831938001109,3.9306738987289966,7.340762282972948,9.851910495502514,9.956942020300998,7.419326841183732,9.897053442200672,15.340913400396714,17.678727805455097,12.008693251141777,9.453520274167953,9.989925113868468,19.1767598066343,26.85866903111543,32.076464912831234,26.72897415844924,24.959163209689468,27.437322783417024,29.99118631308574,30.370011238312195,31.98633882592847
