variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
gamma,0.24897828553916612,0.2432880414782096,0.05152750285140891,0.04869234197407372,0.1780088082880297,0.3379738823261162,1.0100825972953729,2450.6698334177227,557.7415931036261
nu,0.14278027429694323,0.13963868292153137,0.02642877221705024,0.02428505375215898,0.10392381756468404,0.18983540074404434,1.0046320063269734,2626.1789074683848,702.3091475041314
rho_conc,0.8696658277462898,0.8150855205367191,0.35504259306486946,0.3198672528747554,0.43343819820067886,1.5223041888055382,1.0004270387343865,1396.4495585317518,797.4024291662502
rt_init,1.0253143115874706,1.0187739646987866,0.09726053069952281,0.09846856884022179,0.8771835218028579,1.1909085358407783,1.0071263882308656,2277.80335794111,613.3825958357995
sigma_rt,0.14907777439538705,0.14816033412695775,0.015355606951301656,0.015438787018212734,0.12571813140120403,0.17564986959554577,0.9989740013050369,2876.1435991946905,677.6037206179197
tau,1.1728663731050137,1.1640679864876038,0.13651732679384498,0.13704471565050946,0.9753104470936262,1.4140094510336112,1.011555763910804,830.0759565429869,659.8481141875601
I_init,21.984079341151418,21.93244652901658,1.1038715631633302,1.055998043281524,20.1540968122925,23.854243910714224,1.0043006353444657,3000,539.8177616988706
E_init,13.019667123921774,13.010525680377203,0.6525727612185734,0.6649726814487094,11.953506454261573,14.143209001876635,1.0096844326661192,3000,501.1965288044144
alpha_t_values[0],0.14618598160595378,0.1432492227714518,0.029452090638320647,0.026970207630722467,0.10280316458191681,0.19995640156510613,1.0005876508102998,2861.6515673950007,635.8637691507686
alpha_t_values[1],0.1544579908096845,0.14971758750868017,0.03605826626641343,0.03404862280111002,0.1042066752408217,0.22017445606556835,0.998927445150223,2511.6103488425997,776.4037543960959
alpha_t_values[2],0.1630628797860949,0.1590047570496366,0.04061956124704935,0.039217097389733474,0.10757988056617318,0.23441937121005713,1.0023142912561969,2603.0227324910343,871.6407758530072
alpha_t_values[3],0.16682730641923987,0.16328254756116822,0.040804004229189,0.037273949499111184,0.10784201709678884,0.23907441070132207,1.0021362651404997,2452.6141547304123,785.6193361353725
alpha_t_values[4],0.17045894311427473,0.16633657251155853,0.03961078555049676,0.03700095437743876,0.11314082678311231,0.23808729970380052,1.0024702062357829,2517.551244038627,827.8596888091157
alpha_t_values[5],0.17541592076903503,0.17170353461617366,0.03983981930176931,0.039258220063888634,0.11733660206801295,0.248352965271719,0.9986697943071756,2082.2294219042174,814.3104473451066
alpha_t_values[6],0.17836031705674504,0.17275449936252624,0.04161252991912527,0.03995688927187366,0.12105578841740906,0.25140796059458465,1.0009595360202272,2135.725560959524,860.2027653784
