variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
gamma,0.25740035110996473,0.2511226688330977,0.049755130732958786,0.05051184187300952,0.1853611878928527,0.34668336718677417,1.0179121440939192,2612.5386398209794,731.7008300616258
nu,0.14249112230775351,0.13924767864923254,0.028048568241906484,0.02662732537187091,0.10224043356917394,0.1908100301486215,1.0029492620467753,3000,727.303617535831
rho_conc,1.5820449302770632,1.4379724920067662,0.6570629604569618,0.5687829252512022,0.7665974591665239,2.8273104493731624,1.0002683121082614,1305.5612080316723,894.7801142318236
rt_init,0.5394406838163367,0.537432751943721,0.05256925745545758,0.05079441389401385,0.4571383843482588,0.624672517853808,1.0082694478859604,2081.387252311194,652.7677628240311
sigma_rt,0.15560326343862194,0.15448635485727608,0.015929492161414677,0.015674818797355647,0.1314876001513113,0.1846873515664924,1.008137664353525,2335.107728424246,667.4695078777156
tau,1.2019834465224501,1.188865286101303,0.15263239544596394,0.1532309690912085,0.9811290739144436,1.4727801657763118,1.003840030749204,796.9985986202951,653.0013970833314
I_init,21.999680998317075,21.98231490806071,1.1376836936847754,1.1035824205603282,20.17647222016473,23.914635542253862,0.999264552979303,2420.151869134841,708.7493876268653
E_init,13.023192512548079,13.011440720522883,0.661357860424529,0.6896838560739562,11.964571893560462,14.182974456718261,1.0072461156828305,2749.407465480173,781.1556249545806
alpha_t_values[0],0.07680240562767963,0.07469450354179773,0.01664000908295105,0.015953364114304994,0.05345368235692205,0.10532112128292961,1.0005252592346172,3000,971.8837740260727
alpha_t_values[1],0.09230509102398941,0.08914546544007645,0.024759280606057643,0.022414955988244632,0.05725625057049604,0.13523093979589768,1.0102442955676423,2443.883154858501,792.3691162877694
alpha_t_values[2],0.1096487959353982,0.1059239188679355,0.03339010824067166,0.03083260998051121,0.062248922619262535,0.17067593727534605,1.0030479593960726,2939.5664005805615,648.3326282265076
alpha_t_values[3],0.1245414860582782,0.12083272241707155,0.036434767780554767,0.034286555797593654,0.07281235626871517,0.19005815855710625,1.0080644594911237,2256.047962225816,912.0617673652425
alpha_t_values[4],0.1385680850050102,0.13405384462070674,0.039171183206724955,0.038012503590451635,0.08337416828692916,0.20351088924101787,1.0071561752540918,1976.4168805755564,787.6229162892104
alpha_t_values[5],0.15124457001032607,0.14708770748303432,0.042403408513256836,0.04251221554402134,0.09109227619571393,0.22641128074958386,1.0044130036062846,2052.6305611803004,658.426195662177
alpha_t_values[6],0.1619012932656426,0.15712350415562767,0.04455903222786299,0.042304793914109504,0.09793213711282833,0.23943806916997123,1.0062123734483606,2159.8652886270525,796.5121193982478
alpha_t_values[7],0.16962995128735553,0.1666700031484557,0.04537628360686299,0.042719564878887686,0.10390903447577864,0.2485931797780259,1.0090823753646847,2109.4469785073366,705.5703574309815
alpha_t_values[8],0.1779332074938689,0.17476086621641052,0.04411015261794576,0.04194456183648813,0.11449530611685085,0.25258138397850294,1.0042605804960423,2212.9543239044733,703.9914457986797
alpha_t_values[9],0.18337852887545492,0.17756768880202795,0.04582783851196321,0.041915256525761134,0.11818118490556753,0.25853382636344424,1.005778128766127,2057.143905955103,453.2748079779357
alpha_t_values[10],0.1850748178833855,0.18122548436229452,0.046219266303976755,0.04485983012852322,0.11730057113479846,0.25913819042892156,1.0023469097158328,2038.5470473227278,802.0104326882964
alpha_t_values[11],0.18387341934438656,0.17986296887256717,0.04653622226516793,0.04754906474377611,0.1164563733658559,0.2659896078738204,1.0009128533711205,1861.8911935716326,843.4121012298122
alpha_t_values[12],0.1809320260473338,0.17803297872269558,0.04615092790445192,0.044744509769540704,0.11308277167738062,0.26230283996743275,1.0048050118184455,1761.247170566683,639.6739115280228
alpha_t_values[13],0.1735780385867488,0.16826257461292843,0.047658750292213684,0.04474960202452976,0.10464705801868326,0.2557616800874346,1.0025930343784075,1919.281276796454,917.800450577347
alpha_t_values[14],0.1681853443846783,0.16260433860816254,0.05063924742764375,0.046315996520478755,0.09648130520791226,0.25550926018351394,1.004668245445268,1958.9698044913964,792.4443756449178
alpha_t_values[15],0.16858559125667572,0.16173895566609287,0.055230393238100785,0.04926968510647869,0.09015128655461485,0.2681434307214532,1.00795437248597,2038.414816474041,834.0809790815517
rt_t_values[0],0.5394406838163367,0.537432751943721,0.05256925745545758,0.05079441389401385,0.4571383843482588,0.624672517853808,1.0082694478859604,2081.387252311194,652.7677628240311
rt_t_values[1],0.6467880911882545,0.6419980760773514,0.10973609023880822,0.10834895751289363,0.48195205887946085,0.8505313239754307,1.0019905381663803,1771.3460463022147,798.2734321867665
rt_t_values[2],0.7665685145996686,0.7552437679918436,0.15970089483271047,0.14778945754880615,0.5262250205847072,1.0556434489863886,1.0030281364368248,2522.7507608948526,771.0952524224766
rt_t_values[3],0.8725084537534045,0.8601820312080175,0.17726431158783698,0.17217939224523576,0.6136535986561114,1.1800012861369875,1.0045599351539707,1819.030358851554,798.5042807082402
rt_t_values[4],0.9736400092640191,0.9576366620747038,0.20215753383717788,0.19100381758140356,0.6635109547615854,1.3363478713166395,1.0018707966170128,1651.7587913624777,604.4818034029091
rt_t_values[5],1.0655090172052069,1.048142309187586,0.2347646468652207,0.22844009715301825,0.717429303255575,1.5040376047828024,0.997543688021754,1928.0019440529425,764.9170905103589
rt_t_values[6],1.1397252210552369,1.1200121909090357,0.23760076244541714,0.2279659040097449,0.7738041381756283,1.561063398321291,0.9985976504268562,2050.2956915310715,695.2866381272459
