new_time,name,value,.lower,.upper,.width,.point,.interval
1,log_copies,2.659214290165755,1.570567934535763,3.7216918650364885,0.5,median,qi
8,log_copies,2.6874286494351707,1.6209537204991982,3.759198902453137,0.5,median,qi
13,log_copies,2.930014900289261,1.8408431569017047,4.027238964364111,0.5,median,qi
15,log_copies,3.09250181362496,2.056940964909575,4.069129720305087,0.5,median,qi
17,log_copies,3.1389958657038797,2.104954343318359,4.213718637798715,0.5,median,qi
31,log_copies,3.772548095450407,2.6870359158516086,4.752430558687845,0.5,median,qi
43,log_copies,4.416914840882232,3.4225698838100644,5.449156523970321,0.5,median,qi
45,log_copies,4.473801632420598,3.4420189760814583,5.499157524417094,0.5,median,qi
50,log_copies,4.73012226730024,3.6764564362236114,5.789368599785859,0.5,median,qi
52,log_copies,4.842835366377765,3.805800150251879,5.875312098390809,0.5,median,qi
55,log_copies,4.9032365374282705,3.9351270874496427,5.905676671919911,0.5,median,qi
57,log_copies,5.022773882314599,3.9639441656163887,6.007748276661355,0.5,median,qi
59,log_copies,5.090115634891297,4.0919702371739035,6.140092445974206,0.5,median,qi
62,log_copies,5.143641662188292,4.165422208177363,6.158003641045057,0.5,median,qi
64,log_copies,5.218818305515712,4.232153410067966,6.182552481400421,0.5,median,qi
66,log_copies,5.342485057109918,4.27702551020948,6.398644536474853,0.5,median,qi
69,log_copies,5.3099551508977765,4.305657602135543,6.341785859310161,0.5,median,qi
71,log_copies,5.404693447559062,4.391073404817705,6.423292577865714,0.5,median,qi
73,log_copies,5.476756609649252,4.447410264606292,6.503914258949568,0.5,median,qi
76,log_copies,5.522474092425599,4.517865656415593,6.519572358454672,0.5,median,qi
78,log_copies,5.587125244191771,4.589158986641349,6.58540978953579,0.5,median,qi
80,log_copies,5.569263901345157,4.552339533523688,6.581584520447636,0.5,median,qi
83,log_copies,5.617686901122243,4.679346034581101,6.6150896587391514,0.5,median,qi
85,log_copies,5.658290939267197,4.651607780781075,6.720736989055178,0.5,median,qi
87,log_copies,5.673268188043041,4.624335933568027,6.6596597411926926,0.5,median,qi
90,log_copies,5.7580916577088965,4.742330730483047,6.7393795628453415,0.5,median,qi
92,log_copies,5.7701674040393485,4.708034522814504,6.783937704521566,0.5,median,qi
94,log_copies,5.7480576809774515,4.720763267458157,6.797177326492362,0.5,median,qi
97,log_copies,5.816129978164653,4.775660891414527,6.823047268939925,0.5,median,qi
1,log_copies,2.659214290165755,0.5688403742733794,4.5881635905993035,0.8,median,qi
8,log_copies,2.6874286494351707,0.6777702875669502,4.690130659095917,0.8,median,qi
13,log_copies,2.930014900289261,0.7708108823957007,4.937035784527944,0.8,median,qi
15,log_copies,3.09250181362496,1.1353426182083948,5.086675773551724,0.8,median,qi
17,log_copies,3.1389958657038797,1.1799791564920101,5.14646088620589,0.8,median,qi
31,log_copies,3.772548095450407,1.7335730715085793,5.765403251237722,0.8,median,qi
43,log_copies,4.416914840882232,2.451122984645714,6.3902544539903285,0.8,median,qi
45,log_copies,4.473801632420598,2.463926847261574,6.431103035232372,0.8,median,qi
50,log_copies,4.73012226730024,2.8043026794773005,6.681453405121108,0.8,median,qi
52,log_copies,4.842835366377765,2.8891296573698044,6.8013101271669445,0.8,median,qi
55,log_copies,4.9032365374282705,2.9933798237436617,6.858613189692491,0.8,median,qi
57,log_copies,5.022773882314599,3.0439598336963867,6.920469078095185,0.8,median,qi
59,log_copies,5.090115634891297,3.168932979358054,6.980515488424031,0.8,median,qi
62,log_copies,5.143641662188292,3.2582000909383595,7.0440042641891525,0.8,median,qi
64,log_copies,5.218818305515712,3.3596514652960656,7.1442433927589875,0.8,median,qi
66,log_copies,5.342485057109918,3.344716514428661,7.380372484252459,0.8,median,qi
69,log_copies,5.3099551508977765,3.3996851812953057,7.238398765784945,0.8,median,qi
71,log_copies,5.404693447559062,3.4809942885184393,7.306924170653055,0.8,median,qi
73,log_copies,5.476756609649252,3.532974468427747,7.369054127726455,0.8,median,qi
76,log_copies,5.522474092425599,3.559325561499361,7.424978449431437,0.8,median,qi
78,log_copies,5.587125244191771,3.6474237363444506,7.539978890557397,0.8,median,qi
80,log_copies,5.569263901345157,3.661422972914363,7.511570295091352,0.8,median,qi
83,log_copies,5.617686901122243,3.761998606088322,7.543773491826457,0.8,median,qi
85,log_copies,5.658290939267197,3.761668366556943,7.655823794911514,0.8,median,qi
87,log_copies,5.673268188043041,3.7003490508428274,7.573492687560491,0.8,median,qi
90,log_copies,5.7580916577088965,3.8641872333063523,7.732818652626339,0.8,median,qi
92,log_copies,5.7701674040393485,3.8407459569656512,7.66791628385287,0.8,median,qi
94,log_copies,5.7480576809774515,3.8245155877549983,7.768909686956478,0.8,median,qi
97,log_copies,5.816129978164653,3.863295043567603,7.821321266080367,0.8,median,qi
1,log_copies,2.659214290165755,-0.4319420265301355,5.698130572292582,0.95,median,qi
8,log_copies,2.6874286494351707,-0.2894905996951614,5.775850025656951,0.95,median,qi
