new_time,name,value,.lower,.upper,.width,.point,.interval
1,log_copies,3.3167558538510553,2.2400216635481245,4.445325457681664,0.5,median,qi
8,log_copies,3.0551425425515104,1.9929812548033685,4.052783248902948,0.5,median,qi
13,log_copies,3.112744977834936,1.9842144361778344,4.1449035381332315,0.5,median,qi
15,log_copies,3.1859998861991414,2.125046884120041,4.185353260190382,0.5,median,qi
17,log_copies,3.2656203247696647,2.2219493530307295,4.285735232748588,0.5,median,qi
31,log_copies,3.626881670298538,2.5472728565850584,4.681785134317794,0.5,median,qi
43,log_copies,4.323131457725497,3.3252397066091,5.40676047546136,0.5,median,qi
45,log_copies,4.360178305156084,3.321946232700588,5.4005080957076,0.5,median,qi
50,log_copies,4.621674724115293,3.558180517620565,5.67657177316584,0.5,median,qi
52,log_copies,4.764134716818782,3.7207970641326256,5.788287214293394,0.5,median,qi
55,log_copies,4.805215221794987,3.8155925020866612,5.819999093357166,0.5,median,qi
57,log_copies,4.889925167690528,3.846920728341678,5.91446053341035,0.5,median,qi
59,log_copies,5.020356010210293,3.9904482321304133,6.072686957577552,0.5,median,qi
62,log_copies,5.084180641704257,4.10557158581951,6.08428496602031,0.5,median,qi
64,log_copies,5.135959183548585,4.150148749796967,6.169722848482435,0.5,median,qi
66,log_copies,5.268439854848289,4.178686627331742,6.331886050431652,0.5,median,qi
69,log_copies,5.254707787342859,4.215935476156202,6.273271365151617,0.5,median,qi
71,log_copies,5.365695915234195,4.307709213846675,6.3959083862252575,0.5,median,qi
73,log_copies,5.439623846465995,4.388174239309434,6.457312213159561,0.5,median,qi
76,log_copies,5.4799339061628025,4.429140373354834,6.486883027349295,0.5,median,qi
78,log_copies,5.543282537706197,4.503263539818981,6.55636470925935,0.5,median,qi
80,log_copies,5.540978057241946,4.467317882307797,6.519170460065869,0.5,median,qi
83,log_copies,5.598449326265336,4.6186695639936355,6.597838348426777,0.5,median,qi
85,log_copies,5.648450612019161,4.607967468870818,6.692135107724586,0.5,median,qi
87,log_copies,5.652999823123443,4.601062557512085,6.657594856437152,0.5,median,qi
90,log_copies,5.7167049958793505,4.688902228291711,6.720549456131112,0.5,median,qi
92,log_copies,5.734314041200076,4.689387494663291,6.752137669833827,0.5,median,qi
94,log_copies,5.727889478474664,4.691381168742362,6.781607441252709,0.5,median,qi
97,log_copies,5.780601003390901,4.726013882533458,6.826878863967057,0.5,median,qi
1,log_copies,3.3167558538510553,1.259168663333086,5.34672190568871,0.8,median,qi
8,log_copies,3.0551425425515104,1.0409174607979377,4.997532647466155,0.8,median,qi
13,log_copies,3.112744977834936,1.01889421320057,4.997381910616896,0.8,median,qi
15,log_copies,3.1859998861991414,1.1130683575895497,5.195882722645089,0.8,median,qi
17,log_copies,3.2656203247696647,1.2093295169451512,5.253041882157142,0.8,median,qi
31,log_copies,3.626881670298538,1.578405940642378,5.679576844111891,0.8,median,qi
43,log_copies,4.323131457725497,2.346026853236813,6.342768007931801,0.8,median,qi
45,log_copies,4.360178305156084,2.337264426385094,6.332946932150702,0.8,median,qi
50,log_copies,4.621674724115293,2.685671795561681,6.588913052407063,0.8,median,qi
52,log_copies,4.764134716818782,2.7648562953796727,6.714092605291321,0.8,median,qi
55,log_copies,4.805215221794987,2.8689171347427873,6.744159062366537,0.8,median,qi
57,log_copies,4.889925167690528,3.005640402135141,6.84517799272024,0.8,median,qi
59,log_copies,5.020356010210293,3.1122182232602915,6.97769442532405,0.8,median,qi
62,log_copies,5.084180641704257,3.1769164923653883,6.994250564823172,0.8,median,qi
64,log_copies,5.135959183548585,3.2320213570580396,7.067401819587124,0.8,median,qi
