new_time,name,value,.lower,.upper,.width,.point,.interval
1,log_copies,3.283123525249871,2.4872779650026366,4.070161704281379,0.5,median,qi
8,log_copies,2.836731808393397,2.069296658515956,3.641051063441078,0.5,median,qi
10,log_copies,2.980297498725389,2.2315995897409517,3.7961637724998263,0.5,median,qi
22,log_copies,3.5831106995152537,2.8008103445641437,4.330446088109605,0.5,median,qi
24,log_copies,3.5632151830094223,2.7948078322741066,4.308418718006872,0.5,median,qi
29,log_copies,3.319795681823309,2.590954249861413,4.0795931471715,0.5,median,qi
31,log_copies,3.296762499178196,2.5704792457532433,4.064334727305576,0.5,median,qi
34,log_copies,3.269465180568722,2.520607858866812,4.077501090425788,0.5,median,qi
36,log_copies,3.3327938114404922,2.5700978600126367,4.078726402249256,0.5,median,qi
48,log_copies,3.939090529164997,3.2067632213792385,4.683658770556516,0.5,median,qi
50,log_copies,3.9730593141314356,3.2101605421352657,4.695970139903378,0.5,median,qi
55,log_copies,3.8939918916390477,3.0973470917211743,4.64812513133107,0.5,median,qi
57,log_copies,3.8719497268998744,3.045527902368002,4.559504286164706,0.5,median,qi
59,log_copies,3.8536106981265412,3.077210428910103,4.640148994243345,0.5,median,qi
62,log_copies,4.007346438528849,3.2068257513059177,4.729243851319124,0.5,median,qi
64,log_copies,4.015035511379199,3.274053636206809,4.797420566400061,0.5,median,qi
69,log_copies,4.266590808822835,3.5070536463501805,5.003296442075728,0.5,median,qi
71,log_copies,4.353893566171926,3.6177050086645632,5.084186693626872,0.5,median,qi
78,log_copies,4.423853009938195,3.6714793037299707,5.1290927469673475,0.5,median,qi
80,log_copies,4.441332060965489,3.724078333342446,5.202736609455666,0.5,median,qi
83,log_copies,4.5042626042474065,3.7614078561832436,5.2259806240867395,0.5,median,qi
85,log_copies,4.523147639728778,3.7998902645206467,5.2641319014843235,0.5,median,qi
87,log_copies,4.496059714113059,3.754208712227222,5.220135269669701,0.5,median,qi
90,log_copies,4.449503398434564,3.6915654288596733,5.1728653415413595,0.5,median,qi
92,log_copies,4.455763422678455,3.6969205019170515,5.18240386896149,0.5,median,qi
94,log_copies,4.528317506616934,3.7550775820344997,5.271263633186,0.5,median,qi
97,log_copies,4.3660276356663665,3.5867412659317415,5.0679123667814405,0.5,median,qi
99,log_copies,4.346171871946423,3.6048534126237946,5.136868597771522,0.5,median,qi
101,log_copies,4.245911770316856,3.5588289515564138,4.983540815118389,0.5,median,qi
104,log_copies,4.019522495989497,3.2495209992944005,4.777752216056398,0.5,median,qi
106,log_copies,3.9833112987141384,3.2187140690448777,4.722802867885791,0.5,median,qi
108,log_copies,3.8804365275718076,3.0842769490533843,4.684183481269011,0.5,median,qi
1,log_copies,3.283123525249871,1.7611567945489925,4.790322946917648,0.8,median,qi
8,log_copies,2.836731808393397,1.3891923874692238,4.363868667686531,0.8,median,qi
10,log_copies,2.980297498725389,1.4868404560354884,4.44967034843342,0.8,median,qi
22,log_copies,3.5831106995152537,2.144606467277417,5.0094870080925045,0.8,median,qi
24,log_copies,3.5632151830094223,2.1108875848243036,4.958868889530911,0.8,median,qi
29,log_copies,3.319795681823309,1.9110702814865597,4.7821974408101235,0.8,median,qi
31,log_copies,3.296762499178196,1.861541234345498,4.780233886212173,0.8,median,qi
34,log_copies,3.269465180568722,1.7985050183330777,4.731691980083639,0.8,median,qi
36,log_copies,3.3327938114404922,1.9060680742776996,4.770354304127266,0.8,median,qi
48,log_copies,3.939090529164997,2.5319292797100506,5.39963798083359,0.8,median,qi
50,log_copies,3.9730593141314356,2.5493402654746937,5.348036645931888,0.8,median,qi
55,log_copies,3.8939918916390477,2.3881288239732252,5.2771773880873,0.8,median,qi
57,log_copies,3.8719497268998744,2.3679076071021172,5.237709281865104,0.8,median,qi
59,log_copies,3.8536106981265412,2.428879894273498,5.408933369995194,0.8,median,qi
62,log_copies,4.007346438528849,2.5154032177450363,5.41221090842226,0.8,median,qi
64,log_copies,4.015035511379199,2.568662419987609,5.463973153037186,0.8,median,qi
69,log_copies,4.266590808822835,2.786039539560648,5.705378351151041,0.8,median,qi
71,log_copies,4.353893566171926,2.9317932678194514,5.7341125459928275,0.8,median,qi
78,log_copies,4.423853009938195,2.9758008544554078,5.8545820691532215,0.8,median,qi
80,log_copies,4.441332060965489,3.042762276771364,5.865577904358787,0.8,median,qi
83,log_copies,4.5042626042474065,3.120576758221753,5.905547627477008,0.8,median,qi
85,log_copies,4.523147639728778,3.1415784599086565,5.917428420767004,0.8,median,qi
87,log_copies,4.496059714113059,3.039600919714107,5.900949534531147,0.8,median,qi
90,log_copies,4.449503398434564,2.9922154941923798,5.850227176801855,0.8,median,qi
92,log_copies,4.455763422678455,3.020525221342906,5.891896942912563,0.8,median,qi
94,log_copies,4.528317506616934,3.0570217820598375,5.9056143694501255,0.8,median,qi
97,log_copies,4.3660276356663665,2.954459602047271,5.717512737037384,0.8,median,qi
99,log_copies,4.346171871946423,2.968419664873737,5.809571898499946,0.8,median,qi
101,log_copies,4.245911770316856,2.8469718436967604,5.6681632587079855,0.8,median,qi
