new_time,name,value,.lower,.upper,.width,.point,.interval
1,log_copies,3.9835845972101485,3.2297812301297593,4.726615028131398,0.5,median,qi
8,log_copies,2.758720032913258,1.9974996720815028,3.5137909428839276,0.5,median,qi
10,log_copies,2.8972764488084124,2.109272490624091,3.6928561689767063,0.5,median,qi
22,log_copies,3.8916555569618785,3.1924473288728614,4.584579527529504,0.5,median,qi
24,log_copies,3.7771437146595437,3.0671286828102216,4.489046480087515,0.5,median,qi
29,log_copies,3.207147204477118,2.508713281021078,3.9041779127283984,0.5,median,qi
31,log_copies,3.136119307068989,2.4676451811956213,3.864319360762009,0.5,median,qi
34,log_copies,2.9855660270325766,2.255337885259368,3.701905300416463,0.5,median,qi
36,log_copies,3.0274995068989807,2.3333295202632653,3.7549641675463015,0.5,median,qi
48,log_copies,4.180300517646118,3.4392133422851345,4.875826186722939,0.5,median,qi
50,log_copies,4.053069199043105,3.3482757870374256,4.742950659214133,0.5,median,qi
55,log_copies,3.6774615446527585,2.9440418467076883,4.349666360844834,0.5,median,qi
57,log_copies,3.4969940523059937,2.7511988542451054,4.299583496719162,0.5,median,qi
59,log_copies,3.4563558518416087,2.7252521890594172,4.2986100080821,0.5,median,qi
62,log_copies,3.7813646435389927,3.020238689333218,4.49328187450819,0.5,median,qi
64,log_copies,3.766867513903931,3.0441113961173887,4.49367786921372,0.5,median,qi
69,log_copies,4.247730757181676,3.5486618763050273,4.940362225764973,0.5,median,qi
71,log_copies,4.43026243296693,3.7145274321910793,5.098214476050462,0.5,median,qi
78,log_copies,4.3233812682150194,3.647907852224043,5.0164503354258585,0.5,median,qi
80,log_copies,4.494166009604836,3.8025382841240427,5.159497631063721,0.5,median,qi
83,log_copies,4.540889778750783,3.850719191309921,5.207865735911264,0.5,median,qi
85,log_copies,4.6001090124173505,3.9161136666325076,5.27449859782348,0.5,median,qi
87,log_copies,4.473976671829308,3.8099749699190104,5.164258698310686,0.5,median,qi
90,log_copies,4.383337973247206,3.7039377919681353,5.08717514747252,0.5,median,qi
92,log_copies,4.512798267276705,3.801603145174683,5.202104151940753,0.5,median,qi
94,log_copies,4.677639879376196,3.951855287378749,5.350268590391116,0.5,median,qi
97,log_copies,4.351328680833694,3.6755557058864214,5.033839090411061,0.5,median,qi
99,log_copies,4.463810954749276,3.7678741883478715,5.151876162395314,0.5,median,qi
101,log_copies,4.269184632195477,3.6060277904097218,4.947826766635997,0.5,median,qi
104,log_copies,3.7687630321812238,3.0437529780425634,4.489723741112702,0.5,median,qi
106,log_copies,3.7736492597232383,3.088965576831597,4.47142671852799,0.5,median,qi
108,log_copies,3.550682106068062,2.8226490758666323,4.319453884951645,0.5,median,qi
1,log_copies,3.9835845972101485,2.5546182579116117,5.390528035068856,0.8,median,qi
8,log_copies,2.758720032913258,1.2846190978492409,4.231605199571446,0.8,median,qi
10,log_copies,2.8972764488084124,1.4757660195086488,4.3790312266990306,0.8,median,qi
22,log_copies,3.8916555569618785,2.5136683962648285,5.211670286341203,0.8,median,qi
24,log_copies,3.7771437146595437,2.432802914158304,5.084964980633319,0.8,median,qi
29,log_copies,3.207147204477118,1.847460567058857,4.55365057617241,0.8,median,qi
31,log_copies,3.136119307068989,1.815940319686995,4.534157358525837,0.8,median,qi
34,log_copies,2.9855660270325766,1.573706028443023,4.367346313629328,0.8,median,qi
36,log_copies,3.0274995068989807,1.7290889150841222,4.4251829430325955,0.8,median,qi
48,log_copies,4.180300517646118,2.7667683090135933,5.547442567946398,0.8,median,qi
50,log_copies,4.053069199043105,2.7019615247571083,5.340628019744559,0.8,median,qi
55,log_copies,3.6774615446527585,2.231082044686545,4.980716205774161,0.8,median,qi
57,log_copies,3.4969940523059937,2.0447549645470975,4.949625382130909,0.8,median,qi
59,log_copies,3.4563558518416087,2.1231909493528005,4.994379177939645,0.8,median,qi
62,log_copies,3.7813646435389927,2.3624019496972193,5.096320449706175,0.8,median,qi
64,log_copies,3.766867513903931,2.4158615257698606,5.110029202265226,0.8,median,qi
69,log_copies,4.247730757181676,2.884804682292076,5.603874430515456,0.8,median,qi
71,log_copies,4.43026243296693,3.074663997832366,5.709041494224841,0.8,median,qi
78,log_copies,4.3233812682150194,3.0374070157603037,5.679431212691,0.8,median,qi
80,log_copies,4.494166009604836,3.201764110092588,5.794028987822794,0.8,median,qi
83,log_copies,4.540889778750783,3.246245962501556,5.850823513488422,0.8,median,qi
85,log_copies,4.6001090124173505,3.311888698000145,5.869797085839193,0.8,median,qi
87,log_copies,4.473976671829308,3.150214109374342,5.773127949942196,0.8,median,qi
90,log_copies,4.383337973247206,3.0539030880595615,5.7203662328663265,0.8,median,qi
92,log_copies,4.512798267276705,3.1829155031440304,5.8448409183898935,0.8,median,qi
94,log_copies,4.677639879376196,3.2711027829719432,5.910823037077181,0.8,median,qi
97,log_copies,4.351328680833694,3.0624531125545533,5.63361519129165,0.8,median,qi
99,log_copies,4.463810954749276,3.142339902636294,5.768986718759848,0.8,median,qi
101,log_copies,4.269184632195477,2.980611911589353,5.581700471708452,0.8,median,qi
104,log_copies,3.7687630321812238,2.396489661110183,5.160883954495351,0.8,median,qi
106,log_copies,3.7736492597232383,2.434306872661896,5.117749803194892,0.8,median,qi
108,log_copies,3.550682106068062,2.1514339676096323,4.987322969897945,0.8,median,qi
1,log_copies,3.9835845972101485,1.7560745102866286,6.078089879399991,0.95,median,qi
8,log_copies,2.758720032913258,0.5430301657056105,5.0961626267953415,0.95,median,qi
10,log_copies,2.8972764488084124,0.7296984408726157,5.012857051940582,0.95,median,qi
22,log_copies,3.8916555569618785,1.6705840921890593,5.94046339760593,0.95,median,qi
24,log_copies,3.7771437146595437,1.6233534393587705,5.780842829323603,0.95,median,qi
29,log_copies,3.207147204477118,1.1649912873562178,5.367393446603137,0.95,median,qi
31,log_copies,3.136119307068989,1.078590277561171,5.322677210265479,0.95,median,qi
34,log_copies,2.9855660270325766,0.8331973852780983,5.114039792733365,0.95,median,qi
36,log_copies,3.0274995068989807,1.0682453813247488,5.2103296764153635,0.95,median,qi
48,log_copies,4.180300517646118,1.962053142490558,6.270995887448276,0.95,median,qi
50,log_copies,4.053069199043105,1.9485927529921554,6.075804986431543,0.95,median,qi
55,log_copies,3.6774615446527585,1.552915557007675,5.712206551701549,0.95,median,qi
57,log_copies,3.4969940523059937,1.2686791877859638,5.622301772625419,0.95,median,qi
59,log_copies,3.4563558518416087,1.3037434554199125,5.877062811322857,0.95,median,qi
62,log_copies,3.7813646435389927,1.676629541737836,5.807488010592622,0.95,median,qi
64,log_copies,3.766867513903931,1.6747966088685033,5.902074532747441,0.95,median,qi
69,log_copies,4.247730757181676,2.1439466903143876,6.3357929340770065,0.95,median,qi
71,log_copies,4.43026243296693,2.365649107238691,6.418799780879498,0.95,median,qi
78,log_copies,4.3233812682150194,2.2963628283653557,6.446803393266883,0.95,median,qi
80,log_copies,4.494166009604836,2.4831804950912812,6.520577433600679,0.95,median,qi
83,log_copies,4.540889778750783,2.5329686126625304,6.527366351493849,0.95,median,qi
85,log_copies,4.6001090124173505,2.576995946152184,6.569033913368963,0.95,median,qi
87,log_copies,4.473976671829308,2.4322466562739296,6.493945003345459,0.95,median,qi
90,log_copies,4.383337973247206,2.2917741199329122,6.450895008832979,0.95,median,qi
92,log_copies,4.512798267276705,2.423379599270973,6.545357996790725,0.95,median,qi
94,log_copies,4.677639879376196,2.5859656129803117,6.6008199674050925,0.95,median,qi
97,log_copies,4.351328680833694,2.3917508919711272,6.321634341797878,0.95,median,qi
99,log_copies,4.463810954749276,2.435891232098112,6.494012337617227,0.95,median,qi
101,log_copies,4.269184632195477,2.3131420680993497,6.251425413622267,0.95,median,qi
104,log_copies,3.7687630321812238,1.6586808548116534,5.988868532846432,0.95,median,qi
106,log_copies,3.7736492597232383,1.6491227191094628,5.902691656961716,0.95,median,qi
108,log_copies,3.550682106068062,1.5084963755238334,5.801039951223224,0.95,median,qi
