new_time,name,value,.lower,.upper,.width,.point,.interval
1,log_copies,2.9419406252072218,2.0269270676650133,3.814934713395513,0.5,median,qi
6,log_copies,2.8901729598244272,2.0629781106309477,3.674796586801331,0.5,median,qi
8,log_copies,2.852234610849482,2.0123897971888276,3.710678674516647,0.5,median,qi
10,log_copies,2.8236776057948387,1.9908944935258164,3.651450009619075,0.5,median,qi
15,log_copies,2.882776769695174,2.1057818396700045,3.7416898789472026,0.5,median,qi
17,log_copies,2.9215660378491592,2.144766022954505,3.716472355338647,0.5,median,qi
22,log_copies,3.207077242127028,2.3785014557471165,3.996750673062472,0.5,median,qi
24,log_copies,3.165722655919577,2.31432622656547,3.9946255584060317,0.5,median,qi
27,log_copies,3.20244171354027,2.432024451018088,4.026586812877899,0.5,median,qi
29,log_copies,3.2962001545414896,2.4198489225232107,4.109706623148892,0.5,median,qi
31,log_copies,3.1765447380948753,2.314604067131941,4.072872364987109,0.5,median,qi
34,log_copies,3.3894563321936757,2.469925110229721,4.1114645680849184,0.5,median,qi
36,log_copies,3.3767058540360164,2.586843411147643,4.168183533122681,0.5,median,qi
41,log_copies,3.491455522023546,2.729215288797269,4.250378509840356,0.5,median,qi
48,log_copies,3.7230342443568594,2.9323067803495193,4.485928651392216,0.5,median,qi
50,log_copies,3.6315065257940526,2.8268466365896776,4.44704872646854,0.5,median,qi
55,log_copies,3.8027948408926,2.9686101162333607,4.637330922119037,0.5,median,qi
57,log_copies,3.955755067605349,3.136340440874654,4.722952447835717,0.5,median,qi
59,log_copies,3.9303356679379835,3.0960675595718863,4.717162409169614,0.5,median,qi
62,log_copies,3.993161996724689,3.1953120450966397,4.767126152933767,0.5,median,qi
64,log_copies,4.036848509135396,3.2485991231136992,4.885533457046047,0.5,median,qi
69,log_copies,4.157612660268809,3.3366881322553095,4.988435621037372,0.5,median,qi
71,log_copies,4.214501653100336,3.3812737202340406,5.030562181095748,0.5,median,qi
78,log_copies,4.458267875298273,3.6688763472508064,5.259893917630101,0.5,median,qi
80,log_copies,4.53718100693668,3.782246951559041,5.353299483793217,0.5,median,qi
83,log_copies,4.572615291038588,3.736766755275548,5.3607420681561955,0.5,median,qi
85,log_copies,4.6190262792139904,3.761202626222249,5.3969388083485095,0.5,median,qi
87,log_copies,4.767726053769972,3.916896839934414,5.560289076328012,0.5,median,qi
90,log_copies,4.747404921443735,3.9333921625818,5.586893823331546,0.5,median,qi
92,log_copies,4.755857810619544,3.9698318080702846,5.535062966604179,0.5,median,qi
94,log_copies,4.8324212804494895,4.006019470609466,5.580946893299549,0.5,median,qi
97,log_copies,4.996878320224095,4.098750903576273,5.768825358459765,0.5,median,qi
99,log_copies,4.979764405124628,4.141416375220345,5.753911290379161,0.5,median,qi
