new_time,name,value,.lower,.upper,.width,.point,.interval
1,log_copies,3.4998406238949062,2.577248580433087,4.464982244005733,0.5,median,qi
6,log_copies,3.3661683663816593,2.4549634335398673,4.1413799556615905,0.5,median,qi
8,log_copies,3.2229635590164554,2.4115248198973918,4.080412245520006,0.5,median,qi
10,log_copies,3.083888841881231,2.1866466769238864,3.9478941843770636,0.5,median,qi
15,log_copies,3.0107955595864757,2.2004210024718525,3.831390596991814,0.5,median,qi
17,log_copies,2.9845914762759937,2.1573751799693333,3.8190989719089763,0.5,median,qi
22,log_copies,3.233800742834037,2.3565014124804295,4.069166356309627,0.5,median,qi
24,log_copies,3.1517582630236447,2.2886404011352854,4.000863878489067,0.5,median,qi
27,log_copies,3.1154118860316347,2.3173164560006776,3.984215670496048,0.5,median,qi
29,log_copies,3.2454633501765238,2.3471734047078403,4.0342470934093075,0.5,median,qi
31,log_copies,3.1143737841642642,2.229161657780319,4.01614219821175,0.5,median,qi
34,log_copies,3.2715333469426846,2.3415035348993167,4.015249490445133,0.5,median,qi
36,log_copies,3.2717460253947177,2.4358402795652268,4.07665048357689,0.5,median,qi
41,log_copies,3.390991019057354,2.5272050439044365,4.1574569104942025,0.5,median,qi
48,log_copies,3.5477989251087596,2.8026519343623906,4.405784747127907,0.5,median,qi
50,log_copies,3.483496720627919,2.689549360838061,4.271951040254018,0.5,median,qi
55,log_copies,3.6314283492835813,2.8393943450066472,4.504630658154339,0.5,median,qi
57,log_copies,3.8018842082666726,2.9431698781899316,4.582282355343,0.5,median,qi
59,log_copies,3.7896991949578833,2.9513832976295165,4.571924645365906,0.5,median,qi
62,log_copies,3.860514655036241,3.0353030515660038,4.662041421595705,0.5,median,qi
64,log_copies,3.9251730326284986,3.082099124140645,4.746922159933666,0.5,median,qi
69,log_copies,4.054132576377313,3.235179513762748,4.9920695618103235,0.5,median,qi
71,log_copies,4.093285734186621,3.268123103763327,4.971707733783646,0.5,median,qi
78,log_copies,4.339223825280918,3.5957937322403426,5.211795058009097,0.5,median,qi
80,log_copies,4.497807075810153,3.719649194682242,5.271901103074498,0.5,median,qi
83,log_copies,4.484750032203414,3.688816112953049,5.298878795417393,0.5,median,qi
