iteration,chain,data_log_copies[1],data_log_copies[2],data_log_copies[3],data_log_copies[4],data_log_copies[5],data_log_copies[6],data_log_copies[7],data_log_copies[8],data_log_copies[9],data_log_copies[10],data_log_copies[11],data_log_copies[12],data_log_copies[13],data_log_copies[14],data_log_copies[15],data_log_copies[16],data_log_copies[17],data_log_copies[18],data_log_copies[19],data_log_copies[20],data_log_copies[21],data_log_copies[22],data_log_copies[23],data_log_copies[24],data_log_copies[25],data_log_copies[26],data_log_copies[27],data_log_copies[28],data_log_copies[29],data_log_copies[30],data_log_copies[31],data_log_copies[32],data_log_copies[33],data_log_copies[34],data_log_copies[35],data_log_copies[36],data_log_copies[37],data_log_copies[38],data_log_copies[39],data_log_copies[40],data_log_copies[41],data_log_copies[42],data_log_copies[43],data_log_copies[44],data_log_copies[45],data_log_copies[46],data_log_copies[47],data_log_copies[48],data_log_copies[49],data_log_copies[50],data_log_copies[51],data_log_copies[52],data_log_copies[53],data_log_copies[54],data_log_copies[55],data_log_copies[56],data_log_copies[57],data_log_copies[58],data_log_copies[59],data_log_copies[60],data_log_copies[61],data_log_copies[62],data_log_copies[63],data_log_copies[64],data_log_copies[65],data_log_copies[66],data_log_copies[67],data_log_copies[68],data_log_copies[69],data_log_copies[70],data_log_copies[71],data_log_copies[72]
1,1,2.113143568635628,2.0170631408833026,3.532873035083748,3.760608884576411,5.424647223655526,5.6711349832824505,4.432892913454435,5.251211953398953,6.403068361590325,5.4123970284340155,6.7465941649108245,5.7663715875009265,3.457399020108301,0.6670010538261523,-0.05381645795783964,3.2787001986088415,1.7294406366139492,2.4036683773331915,3.972912585681579,6.159888625764636,4.956730536080742,5.624416386761247,2.914723742197197,7.719217958161537,3.6227631182816302,5.115354484896248,5.344434467185419,6.720403926383618,5.175408339822879,1.941272536065327,3.571129038189574,4.77103198460399,5.794196100846553,4.748434777955647,5.556813440493637,5.0207718094554235,6.746972821024469,5.81372480094765,6.850283643638331,5.483627015078339,5.682575155036394,8.735111471791337,5.7109687471104476,5.8147934909234475,6.06288692492454,1.0704320354578056,5.901848765392731,6.214414288685561,3.8465954489266907,5.7848245860250636,3.6984132533768483,8.072999688663257,5.191739754627797,7.651728260273943,3.583547396407022,4.963206593898024,5.897293355429656,5.039490988932289,6.716461801271862,7.619045688412606,5.590017774047838,4.192141822361093,4.990769057806254,6.172253277540147,9.10996644067557,4.288978909049261,6.731047950243794,6.105234053431218,1.7118121433673554,5.679508721595382,6.722361481930387,5.549371357214044
2,1,1.024227910224039,2.384273138269241,2.7598155821454484,4.931196430477426,5.300403171309396,2.3001193481308575,3.7391020635343133,4.817618636911774,5.581804659258916,4.219590782776308,6.482355913894552,1.8562167623424801,5.063493144374992,3.381808472848902,3.9706732322223646,4.454524315441157,3.277995747003399,2.2816790583653397,3.9336843942195365,3.5217936678061164,4.066448686613513,7.789849647892343,2.8033909075937844,1.7774716679351423,5.080960908421174,4.8221849577008955,4.78499377662193,3.500469701302218,4.008990699339586,6.290579929845895,5.109275206428948,2.929604715264756,4.237249736037762,3.9125598286355534,1.0179645543061333,5.220401814060207,5.303803732798722,1.945853399112601,4.478031921292264,5.595159107761447,6.699270588287559,4.09060897553094,6.161246021270665,3.621235684435813,3.968242772977196,6.3314643691146575,4.704796999199707,4.234809005456613,3.9613315863895266,3.2528989570836555,6.680901243002081,7.330301082336024,5.244696879085553,5.9842323646630415,4.5231349586119665,4.946621853728692,3.7882627852978867,6.391105641163257,8.40778987054018,3.469138475211981,5.077495088518089,6.901093699351966,8.154886314771614,6.3658712755911795,6.557313585495439,6.041180440107081,5.8251449574175584,8.399303713782775,7.36920293810099,6.2984318622773605,8.346105722749378,4.680666100857867
3,1,5.629729609430645,4.713612111855982,4.355777632538513,3.745176408305612,5.733076078539833,5.888490062555129,2.3195723455937687,4.497393222719976,7.1777824247667885,4.357466315820493,6.609779236508323,1.6824273716898765,2.449060089455606,1.991555500253152,2.111751500135354,5.479340858006111,5.566080604968243,4.693964652130308,3.1791946719722723,5.202795935161096,5.217747298066987,3.9705194460089173,4.234609134978425,4.750441114996295,4.9001467302385615,4.382355434645874,3.8674525490752347,2.8839971927333914,4.491722121160165,8.213886440988242,7.645264995249772,6.996938649809696,6.448463528077573,6.415342568005002,7.026222834196857,4.679227423799312,5.913747184481845,4.452480763308949,3.1382441005951627,2.7855960982800556,3.4138315697065456,5.727318609979979,6.095961829116393,6.2766619981521545,4.181818382532684,4.828288304310218,4.3559123517411935,4.94624236245703,3.2275670929752946,5.602541323398763,6.4659971142727555,3.6777831532104224,6.92111038168184,6.466322904841004,2.9703060428761443,4.8360082247863465,4.997440416804452,6.138097578680017,5.944859865738578,5.954230788000088,4.665997209275416,6.709147197374389,7.778337451924507,4.842695841372321,6.361513773570954,6.479286118790031,8.290205527673143,6.729166377613799,6.285504112112849,6.9964090730616935,6.00633291426392,4.598682216541337
4,1,4.6473284065829095,3.8202668406072235,4.08249770859072,3.4375058528106206,5.018288748926865,4.930455298524698,5.9842329526085525,4.591740847749771,8.192380674023735,5.23324432413692,4.168281757462889,1.7599481434426023,1.4957869729067343,2.567487822472453,2.7174070454585264,4.670194579536136,4.390776847455231,3.6511595390580602,3.830216468229024,5.6125754625422015,4.163167174385678,5.079639054853533,5.068468038935955,5.613852776021496,6.2815771836490795,4.131517826881159,4.220901832138851,4.512527379942267,3.9155189229418306,5.501782941332841,7.087481070562191,6.492731992492044,3.4864884570038024,5.506471191597638,4.381717791719055,5.282157732310945,4.974582565526848,4.932683936734157,6.792877342262794,3.814668609200189,6.796046705898868,6.18348480982663,5.458126395910738,6.142843116908973,5.663972955908653,4.557922753186225,3.863375758722874,2.514595143043468,5.197005036720017,6.379718649245365,5.816262885151068,4.114689013343448,6.787704660799556,7.066992170242794,6.375241168689643,5.728341777917761,3.6957479737147714,6.004726793872711,4.134456030760696,4.172160934150904,5.93160590026471,3.120126013177631,4.657730278319722,4.3706419205917175,3.812360352793997,3.4964743649609376,5.996716082240269,6.41624521967002,5.254485761181448,5.049575536609423,7.016805955625334,5.995080338245797
5,1,1.1308760896433223,5.81233288980228,5.145146254531183,5.905079983037634,5.710784607984992,3.8767789667404062,5.794785883968012,6.644518188617282,6.91768018215073,6.532596750499019,6.5087336620414575,5.748008258303401,4.405379137616155,5.727791958678344,1.313008881300754,4.12614979938335,1.744239903801766,3.851935024198295,2.9647245311158907,2.2423805903044234,4.990213252826828,2.6655497525044956,4.729465928962435,6.869731934649917,5.082897627353145,7.555691632842021,8.613717269724576,3.8662635407155843,7.671639899621768,5.344693582889296,5.3812256530935105,2.787391528045418,4.486330010881213,7.601673096137547,2.8186005547729023,5.64766332480982,3.0112516732227808,3.6753850315469014,5.843564339656128,9.08097034421273,5.4623038765452385,2.4881993025840754,6.779891161039385,4.353515688962168,4.952905283402818,6.176952258015267,7.572379755277269,4.515473390988991,3.2612870984923776,6.125826542653693,6.380422480310978,6.360395867707846,5.754443202718178,1.9072189230675216,5.62522331766081,3.4725340567531062,7.696715756424401,4.357858944268185,9.21431141672887,4.767909769737608,5.061559983194531,7.070135737828067,7.663647191660183,5.662745942244361,6.7672002555924475,9.305331047380514,5.43102470319122,7.875156182569501,2.8151952434325547,5.105730174679,3.0805958603855506,5.070978569890261
6,1,5.739278089685529,5.403755770001207,5.471789485755751,2.591754876397169,3.50225732405708,5.6004916953109465,4.212398507799108,5.213348256907712,5.524925807533674,3.0966540896375676,5.885250172356875,3.44475630556739,2.9323324084606757,4.267554582344583,5.228912727092827,3.0793166093380666,5.056421171979663,3.395244258542558,4.252839746384579,4.527382676873418,3.9655649500382313,4.9708667551184575,6.350430633134155,2.0351648427687015,4.9426572363566095,6.807139328418329,5.59053216133139,4.088257060822902,4.861354232388921,3.1662848481479853,4.995877934106259,6.860691698034772,4.993140483584817,5.492524515832954,5.0721924999600025,7.637204145979365,6.599372370069635,7.444219265249582,6.8749955057953285,4.9331396422908504,7.6364847776276825,6.178746854572449,3.7007198031899344,6.181084048420624,7.222140383615302,4.838738955776936,6.117262714180219,5.394571234941313,4.0987623094450445,3.389849114727162,5.1893797608824865,5.681925858553039,4.205129248617528,6.0200540170056795,6.550620152086158,3.898528020393523,5.485450589853423,7.1102529906276555,7.235461367840093,6.790909417339339,4.8188080345749915,6.991630717269999,6.366478485566718,6.854940466928693,4.939300935928616,3.653378957957536,3.256807692259816,5.607583869121289,5.475608163916812,5.338469360832451,4.0046826646660785,4.549222900193416
7,1,5.11663565734481,3.553370464076528,4.966356664769438,4.066309365964124,5.166376400090065,6.473628131589413,8.415013835474069,3.569397770233946,6.420449003066143,4.8247558414285825,3.5262318146297202,3.504923808806702,3.5194218049813846,4.849344938435546,2.0296064371771094,2.6110734455102254,1.653609861976771,2.4736319229746253,4.715177522265592,6.434947969615268,2.983846471569007,3.2375110522018646,6.251476770225276,4.4900319806428755,4.830470233083935,6.63538023651331,6.051832468091705,4.207105870444319,5.119555182232143,6.680903551652618,3.813935491860159,5.284442459662869,4.3415199274360985,5.96582431041683,4.895921250236275,5.157013696031809,4.828292717035893,3.1710669169789516,5.815830510108081,5.041851536552224,5.5491721735683885,6.283787912440087,6.769502128104193,5.797396700905474,6.629343306333739,4.224625624715431,4.369364990486265,5.497634249925528,4.445090337029239,7.299737782749793,5.842746054633352,4.771880197813824,5.674779767623008,4.192523497092172,5.799392010264742,5.791299752068394,3.4282557854036795,4.130052160277484,4.632624209150908,6.517582077524977,5.06921430552776,4.610367410138115,4.309825874941459,4.905063756745104,7.256715042393401,6.810596027881136,6.686509312468779,5.399201184899373,6.266098922530706,8.42575881000479,4.3565929932567045,6.4555763389351934
8,1,2.6840826995271803,3.114349447209129,4.963145333064614,5.498116655669965,2.903164653291596,4.5021082693122585,5.334326036624148,5.141849338471599,6.668449843635695,5.476882226635081,5.090401496277802,3.540257527351991,1.9551155397135658,3.0768564027179774,2.3314563784845688,0.8554485095596297,2.772682895493425,5.619416975309177,3.5680463198182335,4.910165077671788,5.251646380348649,5.996908565676408,5.844463164854875,2.9542690708424555,5.454668819605021,3.3883343150061163,6.45159506704611,3.1835997647416288,5.729950456184517,6.045359668190055,4.2242396839382685,4.578984070264854,5.683377960960866,4.9640415203000785,4.904549915747987,8.463052689828988,6.325528687345644,5.184647428882219,5.476217848062841,7.710448841510097,1.9203354374423645,6.050134879845636,4.549013946250936,3.9224269752627556,8.650984491126284,6.960417481806971,7.2588167209966645,6.367735237388232,3.347115991250474,7.423548763422548,5.019458336192645,6.457940139576953,4.502822154984707,6.106004879820391,8.131084803747992,4.045155550264734,5.225937506106933,4.356136759720128,5.460165682608826,6.793742514902049,6.9134352556063545,5.120421064356623,6.7263237179948545,5.892665535052446,-0.24036291525817505,7.524117066338626,4.998679706752691,5.138395211733468,3.81162320855081,4.547017182913599,7.349215253533148,6.33306527950469
9,1,3.0538535819536525,2.3062917914393775,3.860483821704707,4.139520716380146,3.909683961638926,3.963143470313914,3.216406473143898,5.5244081766033055,6.211184334963467,5.992856883740386,7.235790980617769,3.416451827887651,0.7672715884639043,5.064552094209055,2.904558484830843,1.2908285041146885,5.294322216095695,1.8614466740448965,3.5166192297130827,3.604200175313667,3.9662428665448375,3.851860869551148,5.091338548956599,6.541793980211942,5.788667273913191,3.738026763385198,6.403834464207409,4.544357653191455,4.194275483567891,3.975612749902138,4.7232428565455615,7.970036748056986,7.614206942386297,5.931673882219242,7.205635015616049,2.385523007679427,4.857144966662114,4.1624114604006115,3.7172967447720957,5.518454594103596,2.7909204523579083,7.089438759803021,4.120625552781724,3.9354025720791057,7.091495562544387,4.926182664447135,4.542691694168806,5.188239935502132,5.250811136818516,4.473331109080251,6.924799695072218,4.421245995822265,7.94615510433587,6.711910421940301,4.042744023704065,5.7293946809863865,7.829072125509291,7.657546256939612,4.021218520643806,5.939237377261182,4.322962789996998,7.774251071476366,5.420957228343893,7.552727608798546,8.024720673331544,7.628628609938739,6.828703976367136,6.970851235570043,6.170591002942168,7.627491475096935,5.652693153300051,6.838116935662191
10,1,3.2084106278278535,5.764365488711867,3.6500903304503103,2.8416305644685353,5.79987965821612,6.268719922441997,4.824880700382957,5.232804969952395,5.455094373059875,5.346147898389528,6.514238311158368,2.957422078589263,2.135180961972205,1.4273030880908628,0.841458149313651,0.06138890673091757,1.1654732629662878,6.12609270476283,3.7697545198675013,5.643664787177849,4.744962851654241,0.6124477640761046,6.806560907359027,6.729865152538932,4.539021113925865,5.9429151135931475,4.230134607512966,3.5327380673655555,5.870843552473747,4.9362441261189245,5.3259189015654425,3.1456623015954475,4.894531161667328,3.8608318301099747,5.884414719904418,5.735736433000623,5.5430426587814665,4.861856695802626,4.325213281157173,5.161194287426681,6.276403556039091,4.407091219087876,3.580788386680687,3.3872021964950165,6.112860162740176,7.110507299682484,3.422354485993466,5.200733712422735,5.61886407352608,6.195786138186245,5.660318846722045,5.987093300198957,6.95847176030889,8.287056156857691,5.758942397948579,3.809043981545852,4.997115309501386,4.513448283999441,8.807342117942332,5.980908681255622,3.9281576799271387,6.015704941384489,4.7946087843015555,6.32199678511512,7.332694969546493,7.944780381065253,3.5920412478812573,5.680231808584456,5.195907038903963,6.251547960822157,6.056535127871265,4.419087237816083
