iteration,chain,data_log_copies[1],data_log_copies[2],data_log_copies[3],data_log_copies[4],data_log_copies[5],data_log_copies[6],data_log_copies[7],data_log_copies[8],data_log_copies[9],data_log_copies[10],data_log_copies[11],data_log_copies[12],data_log_copies[13],data_log_copies[14],data_log_copies[15],data_log_copies[16],data_log_copies[17],data_log_copies[18],data_log_copies[19],data_log_copies[20],data_log_copies[21],data_log_copies[22],data_log_copies[23],data_log_copies[24],data_log_copies[25],data_log_copies[26],data_log_copies[27],data_log_copies[28],data_log_copies[29],data_log_copies[30],data_log_copies[31],data_log_copies[32],data_log_copies[33],data_log_copies[34],data_log_copies[35],data_log_copies[36],data_log_copies[37],data_log_copies[38],data_log_copies[39],data_log_copies[40],data_log_copies[41],data_log_copies[42]
1,1,3.652814460154571,2.7121260125779196,4.644229975731567,1.6435745499103782,6.078329371235264,5.143008801772923,4.7790988803931125,3.715084957045279,2.9534320415819493,2.4490929580076664,2.654575153516402,4.629194972855755,4.532553466925606,6.077602189796162,5.100953799925823,3.666600304274804,2.9346022324531367,6.011694872469067,4.255561649803471,4.6546486972038155,4.04525497233927,4.737464182598599,6.373240690485067,6.6074916595288835,4.530942162768163,6.382173889846702,3.9090669330794716,3.525138909381887,3.6144800262583767,2.8725724971386692,2.7499714647330045,5.373110339361817,4.251004820352242,5.971746727267334,3.5057050045818103,3.355268335091758,3.2651508646044274,3.227069118970042,3.4406711935618213,4.9910250996851895,4.942115317541895,3.7807212043563725
2,1,2.0037574337495623,3.27663486747505,4.120931897854805,5.877618022306266,6.988590205226725,5.257347492909015,1.5329832320211811,0.58391050011866,2.0699879183227425,0.09357060567590333,0.9286621861379164,2.624711954935382,4.521235152573832,2.9370831079588253,3.8161994224191518,1.1170175717523703,7.668464779948759,2.2748200329199175,4.00160637631699,4.522712967167237,6.334399104513756,4.104636181224715,-0.05003360729270965,2.095935847932864,3.7728120274521135,5.122472329542564,3.7455585623150407,4.809919698281098,4.30414980450665,6.938220600927299,5.662696258213012,6.847025332295758,5.1499356780950585,5.5243655941932355,9.590535631672745,5.577592139934903,5.71429419231125,6.237705034952091,-0.26836820685332263,6.157776012387914,6.569319031585488,3.4086597229485465
3,1,3.633534382774563,1.5052162656167463,7.214987220301873,4.275855505528662,6.785254310375667,3.175475467189217,4.582845921699016,5.535694358848605,3.1929786502272965,4.553387824990633,6.002474194945557,3.9763296337670426,2.352616776566518,3.1672849043015123,4.607762420980703,7.913675287588441,3.4670498749515786,5.959348172774641,5.320964440040234,1.1369609964513379,5.190359408877148,6.254158473145008,5.190311775290256,3.4382314474311593,4.780142853896751,3.6204558476043984,5.7628851345668854,6.127169150017245,2.542826527308626,3.905732334882272,4.9698687783133275,4.577628919920061,3.2604845432918497,5.493079663650058,4.908773364350224,7.264417660053161,5.586405531147221,6.306952895516406,6.789458974015066,5.686898260295104,4.703865710078322,5.8458715074830305
4,1,2.1405260773174724,2.647360998985598,7.294810709554441,2.3261748371294155,1.3714940217230573,5.425692085788703,5.1879348892418164,5.153326212743843,2.1680699268255856,1.873175412293145,4.0758570620805985,2.976580517690691,1.332405451572732,2.4453133927177055,2.143169506951322,0.2737929834023334,4.064951646715039,4.142562250659102,0.8976603966638994,3.7082478357566857,4.747803243301114,5.698265749460901,3.184187649141592,5.02705331393836,2.6634178095326524,3.105634601163753,5.211917282705986,3.698203462871552,3.5457035179539482,3.8507123309216955,3.1914722912951494,6.381438802328107,7.144775430665295,5.203992721456538,5.938058157461484,4.570577624927488,4.964658171149103,4.024556759752986,6.378260868597493,8.23513902879883,3.6394208096254976,5.100339589623792
5,1,4.1412211726521635,5.31589461520052,4.7276552851501075,4.907016843400615,4.423453699663541,4.872395595826124,7.284114958994851,6.319017534221095,3.272549450136982,4.8107440407499205,1.5908983051549153,4.846430977625029,4.096325825592949,2.8270787147435623,2.2290322879742255,4.66203021076067,4.96487492374814,1.4693390431184479,3.6023809402178952,6.421244572177308,3.6589180252000877,5.864920307419531,2.695530625506184,4.162878986445921,3.4178590101071253,3.6588315507230273,6.60986922572561,6.694825484689469,5.954744809394568,4.39494034012162,5.91835806114641,5.93300200355323,4.773576480448835,4.72345990489737,5.228628785044192,5.4362128442295585,4.719017725139968,4.315292965188015,3.3520587979354026,4.787799053681068,8.433430577132503,7.8765007671152905
6,1,4.706844548582294,3.824763313176393,5.002433782332801,5.685337366853544,3.1918113655419833,5.600391471891628,4.031138757730122,2.497827260137335,0.6401778149498049,1.2393341312032193,3.9912007485458267,4.473902499651804,4.818124693084341,2.476297180739009,3.2039396486766707,2.6352093810874173,3.8479297215239194,1.9330880248031368,4.588073796746869,5.743333837651689,2.3909628325856884,6.0166811814597025,5.662751840283202,1.6502831319295423,3.7359532348732483,4.15530924007585,5.426051201329036,5.210030592814481,5.267734969669655,4.100411608657538,6.384450769529847,7.57969949137611,4.65547248230329,6.35336037872959,6.72917599009147,8.66064413774691,6.915557104901208,6.538617641757558,7.4807116648148435,6.504511331282041,4.930897383625123,7.439501894479451
7,1,3.438618569952812,2.144349355727383,2.6770104338663177,4.468734747971354,3.720728838146824,5.936433554469588,4.358125763055257,7.970012515967984,2.4724184407925325,1.030610145870042,1.5531388774411765,0.5927073085633439,1.951389759101971,2.121314369012559,4.1590867820336594,4.2504775222908,3.9398786516494084,3.9169884869740486,5.133398242012732,3.912641333675254,4.951408235482035,4.502993257486151,5.1993924093086665,5.9562187003870015,3.4919058752922734,3.951787397778094,4.282327781215517,3.5186999314810983,5.4756483917950405,7.623790738630783,6.911409397330517,3.4310937103960675,6.115017006739111,4.840175269214031,5.748538323696571,5.725036507412849,5.614000678379871,7.875946552381868,4.500322352108492,8.134734926605658,7.440432093633835,6.52126851746009
8,1,4.473084170311299,3.8508473121715854,3.2595583812940245,2.357074211550635,0.6044884775242013,4.717205745126352,6.254006452857965,5.521860303642138,1.558140403003016,5.384468736781294,5.711054439834905,4.909101370708018,4.064116984474454,1.4229944305873012,4.39921450050222,2.1228220391888826,2.591426621581885,4.8681065325923,1.2149108354336025,3.389656245487807,2.9537340374498635,2.228311162952709,1.9352173080522779,5.280343958757636,5.825473961903056,4.766709373966753,4.480925068840614,7.03711539944782,5.819801817741097,2.794463921619099,8.0492172056383,5.671895339592232,6.666345369111869,6.448256363122762,3.656961833040781,5.795064262382101,6.748855744179252,6.625260856219926,6.1930196728719356,6.16948439484573,7.570280212851246,6.416744226498331
9,1,5.415489370058352,1.1435509800044934,4.603303095084693,2.2984622577794136,4.337960811058168,3.7272962253801287,2.397675596692187,5.056599406703291,2.142598047147361,2.4354822466490162,4.694646746421451,2.965627236239634,5.92871675921041,6.952508926716991,2.3586637740793197,6.052729876696727,4.389400215366083,4.42475025418752,1.7095916968965148,3.4383375193633325,6.452880587694728,1.8245691047202517,4.945944447513366,2.3948365110640806,2.986577552810267,4.4888849218152505,7.621541442568097,3.9652296879879074,0.8947832372148209,6.185578408908304,3.8377107229587626,4.41770647228804,5.492891622161004,6.843168678045548,3.7278874103494597,2.582187348103465,5.354041776023671,5.733880226474619,5.707020999165688,5.13507278883332,1.4123292684088684,4.771478434656649
10,1,1.1549297287667326,4.9438453667093,2.6397774805470093,6.99581375599013,3.0075760496978705,4.264883593026106,6.066492668534267,6.598847805837552,3.878513589280186,3.7532304474334333,6.290813735458446,2.705359262625058,5.504586479206963,0.966011556834094,3.1289138392097198,0.9953677614811669,3.7101175424015342,7.030131986001377,6.7157543407439,5.699518502351551,3.000984170560877,3.8541065970087027,5.500155685707897,4.199540370164976,5.137410093532083,4.692209555114394,2.4169679394873023,5.029826216350498,4.341517809691453,5.138179597835363,6.271455971846236,7.172229160584929,5.298607317863839,7.151114410136789,5.526118018335684,6.269845094262482,5.572952533133903,5.148092073503336,6.0900395855244875,7.208958221303198,3.165641224950697,5.889902946675146
