iteration,chain,data_log_copies[1],data_log_copies[2],data_log_copies[3],data_log_copies[4],data_log_copies[5],data_log_copies[6],data_log_copies[7],data_log_copies[8],data_log_copies[9],data_log_copies[10],data_log_copies[11],data_log_copies[12],data_log_copies[13],data_log_copies[14],data_log_copies[15],data_log_copies[16],data_log_copies[17],data_log_copies[18],data_log_copies[19],data_log_copies[20],data_log_copies[21],data_log_copies[22],data_log_copies[23],data_log_copies[24],data_log_copies[25],data_log_copies[26],data_log_copies[27],data_log_copies[28],data_log_copies[29],data_log_copies[30],data_log_copies[31],data_log_copies[32],data_log_copies[33],data_log_copies[34],data_log_copies[35],data_log_copies[36],data_log_copies[37],data_log_copies[38]
1,1,2.143846865218323,2.4508368392223554,4.424740789125352,3.6437294429486715,2.9918423125181204,2.4197642210720476,2.025282677308445,2.754424853820097,-0.24059653312413687,3.6457995283300297,3.0588828782699973,2.9194429338682495,2.189491266824131,2.348135250527034,2.368167721134023,2.7809576645092577,4.346424234514267,4.412081320283202,5.645393571430993,5.072051619732003,3.9815366414172826,2.806802414802091,5.19332510844251,4.1871742278781285,4.656589249195944,4.355008948571328,5.010160624885331,6.206938716057302,6.405127479149977,4.784386444317386,6.403431103090472,4.566699490544088,4.377764608211776,4.569396651125915,3.961484137161838,3.924163558564778,6.019879325526613,5.227926080200711
2,1,3.6445895003723554,1.6065244991528118,1.4662264745870721,1.1959908548203282,1.3321209124706959,1.5366340389861717,2.913110229296271,2.7593246829791687,2.4071585060655614,3.098746463815551,3.8164376552493953,3.038853418955693,4.051514546478415,4.999124554199648,3.76735246893748,1.5544480972213388,1.2104945911573801,3.6189538772058243,2.50533555576581,3.1510299584547474,4.1837631878069805,5.274236075351764,4.5010421003111745,5.160722177631919,2.8038782066818997,6.559020586745222,3.413315944848554,4.472595064067708,4.7891926614117235,5.959309487551467,4.742125580037142,2.3192169737452306,3.579725243613476,4.545946194839545,5.2856493501456185,4.470571562000119,5.172331758959312,4.910212142580184
3,1,4.372799661250898,3.3686642240489477,4.133327903559501,2.6157305060208866,2.82572655318813,6.025222021354712,2.2206981190955903,2.4700406000669832,2.3639454462736094,-3.229306027400366,2.754480290848276,3.2198414467780307,0.3221059188808441,2.2885148865497924,0.21219733826599838,4.977734393903022,1.9624597637228658,5.143587510522697,0.6008700244279953,2.452857520429819,3.498165803607738,3.0519835842448213,5.007809281105031,6.410013858790312,4.3193267537355995,2.900808840657202,3.853626797693443,5.411157726470635,8.80202049283484,3.3869460227717414,6.113847856545327,5.373759140779607,0.6123217974425765,5.1333809424842824,6.392808115801407,5.217602201313615,3.3080078910215107,4.968882594075903
4,1,0.2597002401470255,2.3424416242849255,2.6530270689679534,-1.115942574888556,0.49796257547990774,1.7048288027289986,1.584193658979905,0.32902223381651236,2.8637606204237676,2.227254425597524,4.289534059622228,2.7499711414706165,3.5061532374640425,4.362211785482818,3.073793403267675,2.0848354140897514,3.4668339303174562,2.5402756354777907,3.145117245949957,6.970991329407817,1.546586070598237,0.6632586432482893,4.092116140658296,4.13563905797725,4.179941685056781,3.088290550289738,3.719011334529759,6.119630327722378,5.130069498291914,2.88054593883137,4.293639240618877,4.12786028546652,1.2868726129983123,5.4718220464045775,5.647106151832751,2.1782181506572473,4.743695027153758,5.918276588348892
5,1,3.8183316441930866,1.7133455852590675,3.456139748215229,1.2264950688938077,1.5524633318723526,3.4807427289539423,2.1737897152249657,1.7806822067742685,1.5216871604617832,0.8612312992463845,3.700885004586017,4.284107587165702,2.339021325593686,2.9879252207808285,2.0499091875818527,2.379371465164439,1.307119360140207,3.716021302597111,5.481639995763387,1.468288013131714,2.9963401821106896,4.776090022235976,6.063218421418397,4.838391829597351,5.13398783146137,4.768345920145368,4.627589128840806,6.864414063255095,6.177946157108735,5.308850310994079,7.16682113205047,4.237891578539798,7.402478510707894,6.740615035273877,5.849501995257149,5.452002241312612,7.35965549272362,7.310066371530387
6,1,1.1619371382527703,2.7301118962239173,4.522789154674337,2.42261256237747,3.985656326836797,1.28875869413975,2.562398238616014,2.06404066724905,2.2200971651073025,4.653292914907994,4.963269871534013,4.365148686709846,3.0918571652220184,4.45783112268659,4.406739182632431,3.402774794951439,3.64395211990778,4.067928191529255,4.193976840050673,3.6010779796212318,3.0724691924197383,2.4727990841579093,3.535673591072284,6.37424864395632,5.882822575297638,5.690320081625112,5.184627111620224,5.254743405293815,5.6686866128930165,3.919157458491673,4.961174554691929,3.9419163316377035,2.743093267897932,2.381569818355915,2.697515095531705,4.485812140312337,4.773386418041959,4.970467500743252
7,1,1.795919876225205,2.4017109892713564,2.1148598194176835,2.4870112522654697,1.1974239988671567,3.219081999575965,4.037348651625302,1.5341187245811723,4.243627496863231,3.8007972389358575,0.7171189290042423,2.2245648941660585,2.278460184870094,3.2084945810551093,3.4250704511424814,3.4730262860969905,2.2041663021100515,3.970302865288702,4.934228451981081,2.892582314100059,4.350068234669875,4.512494868515101,6.097491185603476,5.09587034197411,4.813430986144362,5.4627287171499646,4.615702175127559,3.444154826430811,5.450827309251953,4.7729630457799725,3.818686002102931,3.317220055174647,4.860941868587195,4.405040962515689,5.47656948589737,4.3482228703838475,7.2045903000357985,4.74182380020024
8,1,1.8595605164376527,2.1504666218041004,1.1273708963810403,2.3355992912518975,2.2450160255006666,3.979482329360751,3.813540115495971,3.127515648130847,3.1775364715375036,4.368904149360764,3.0759296644983176,4.104625865349181,3.8868801305774263,4.57876225926088,5.185542818731283,2.9673569562252475,3.3680642999173394,3.616610722616137,2.933503578052897,4.609805749454387,6.133235784522291,5.7537149658805795,2.5570689875535875,4.739986900390129,3.6064940656373987,4.619026476606902,4.4491299793126124,4.434355859646301,6.321498564217238,3.3561854987390665,6.434261849913296,5.959352067395395,5.096096666233394,5.73655502999159,5.159596824112591,3.884503514741361,3.188422229026863,1.8627351128084944
9,1,2.3556713676278496,3.642057467546277,3.1569007739432418,1.2705808853416032,4.142918971557536,4.546098723615763,4.0136466130371,3.388570468014238,1.0927136818586838,3.5628089285994555,1.5427300622030011,1.5539744508991329,3.34537519144095,0.44267913607458637,2.4483963026039297,2.2019360828318053,1.6286719098884568,1.353231258196466,4.148013364427395,4.672053048698446,3.6413580299681088,3.459726439674688,5.717599120434756,4.941608913295068,2.640545307026612,6.903569532048933,4.918229415714153,5.637872477870664,5.49084625673875,3.2429404052265136,5.042935836525227,5.807803282133075,5.826681289541525,5.5794241029753175,5.673567100912524,6.903612958730054,6.0110954018033125,7.2151536943424075
10,1,1.9119752647242931,4.17023860779176,2.0445376186014435,3.7826431554306974,2.472618886671102,1.2636746229408997,3.567649806428846,1.703508122985146,3.387129459981536,5.023519993896696,3.823677334328462,5.691217781122842,6.702850309504841,2.983909125084126,5.926702342849494,4.012202410523981,4.197185135303131,1.9678636878943883,3.117301172431841,5.686973669468027,1.7561046568085317,4.392705148365032,2.2272482428866813,2.7137155238063175,4.288250473383409,7.079882979816443,4.2809823116425445,2.018874685293628,5.664924198372456,3.789308191965294,4.324072658447576,5.454270286567403,6.538811138543014,4.020957407949278,2.9635607829411867,5.1924957578412725,5.368981636269575,5.4654500332278735
11,1,2.9208434382605635,-0.38808649849922516,2.184604831886182,0.5257854732180545,4.1378997580711205,1.3931878708687753,5.500239872138958,1.497428606906301,1.7835486740771285,3.5701616694668474,3.832557664818474,2.571041901085546,3.5741739691789394,5.663658596960655,2.617883958244456,5.069560971612646,1.174715263873423,3.231662600103073,1.4771824976792631,3.1605122028773835,6.389743178769575,6.454522365955347,5.103972577870892,2.7696417836922245,3.469938330397491,4.89284850750651,3.898618989446221,4.756373949610492,4.655056963378025,2.611848694396233,5.10972454707639,4.7666384493220715,4.5349548472675245,5.5868994039134074,6.456825962011877,4.640460144592418,6.384300093989685,4.956757360452225
12,1,4.260463861615685,3.5964059755229245,2.8957307331083917,3.911409414165384,4.808114787776107,1.3080342843299335,3.576249330300594,4.800669309656849,3.632610840787446,2.3882085751419657,2.997670945599905,1.502216762375064,3.3378778946377508,4.906170859296391,3.213710671062908,3.621856764834561,3.4112101966603756,5.776372453884691,5.283279094281513,6.264239027523381,5.514380448200194,4.009496818680739,6.452837296075563,5.3280060258738855,3.178346365818583,5.4936341915929585,6.394788080719489,4.389092187652852,5.603306626611038,4.96783603703724,4.109073532839345,3.5479306767492895,5.141248773082365,5.640384722009193,4.435700189236598,6.075556159896899,6.37374394244955,4.048031687920829
13,1,2.7877426978012028,4.0536429856858325,4.326143388809802,3.990833608727339,2.0584047247866937,3.715956176145298,3.660627765819415,3.984968621284534,2.4032798459941724,1.4328554227691592,1.01359080591993,3.0367023035438803,2.983981029298484,3.2294634184307522,2.5265506973482554,3.0389498918127327,5.9279618787438855,4.426419275903615,4.091304952705743,3.2407713590426983,4.325390441918265,5.198598398530391,7.266666140933053,2.7314351637033467,4.853734612867147,3.4253612945213607,2.144221379090954,4.924711127540381,4.872010260159375,6.280878751318841,3.5320847490015153,3.656046835502295,2.7530209479511303,3.5929010005585664,5.248957171388827,6.798323538970882,3.3153260793053367,3.583427441895991
