iteration,chain,data_log_copies[1],data_log_copies[2],data_log_copies[3],data_log_copies[4],data_log_copies[5],data_log_copies[6],data_log_copies[7],data_log_copies[8],data_log_copies[9],data_log_copies[10],data_log_copies[11],data_log_copies[12],data_log_copies[13],data_log_copies[14],data_log_copies[15],data_log_copies[16],data_log_copies[17],data_log_copies[18],data_log_copies[19],data_log_copies[20],data_log_copies[21],data_log_copies[22],data_log_copies[23],data_log_copies[24],data_log_copies[25],data_log_copies[26],data_log_copies[27],data_log_copies[28],data_log_copies[29],data_log_copies[30],data_log_copies[31],data_log_copies[32],data_log_copies[33],data_log_copies[34],data_log_copies[35],data_log_copies[36],data_log_copies[37],data_log_copies[38]
1,1,1.9282501439046458,2.4065631251894226,4.84041217313306,3.9580143461420025,3.3101197717846684,2.6431150430868886,2.070715169642706,2.860379597598623,-0.3989158592407373,4.062111868833402,3.280967382502798,3.109104022738114,2.1815685315524096,2.4344416595677485,2.291773414037055,2.752026837720055,4.575958460922897,4.614220362941843,6.048729083747777,5.30711875758089,3.9796977845048835,2.553260838378692,5.4084105368679865,4.0709663197570185,4.592359216124996,4.175568324021835,4.904004701361537,6.299729884724128,6.512007443905458,4.5667416565326056,6.466486474378784,4.236989516119607,3.9779224149744543,4.169348439432764,3.413714442697809,3.336208804983933,5.814450094156091,4.869829310040201
2,1,3.715712885188984,1.5633362374546234,1.3890761150037914,1.1005102708735681,1.3659245967169114,1.6180584514992264,3.0888952131104235,3.0231488653704632,2.538108539773793,3.244197983303829,4.039616490035478,3.2054764690499975,4.352370025332083,5.372018937864932,4.054359510102647,1.627260292840788,1.2519119737928486,3.874408083723398,2.6806105527103212,3.3262112331928266,4.43547485471419,5.585167792918152,4.709951845167785,5.400434095361053,2.8631529650759147,6.892447398800572,3.4922733507612196,4.620675975463364,4.938357797662236,6.175143604928293,4.827762605363859,2.1791570487063017,3.5330964743263227,4.554010893686809,5.328696546110932,4.462882531438467,5.187574785594105,4.841703735329718
3,1,3.8385852062193084,3.0196685410265593,3.7162732416128343,2.427884484748361,2.6698705186404554,5.4359746655121866,2.207785064783423,2.387693968005892,2.4325561183458633,-2.341531989023791,2.7678471566539518,3.1883747867521204,0.6813485917506048,2.4719255268057316,0.7360384833630018,4.8476136125687175,2.35476906108383,5.072695748564687,1.2051980707324566,2.852196342168719,3.8008301496909316,3.5135643936243954,5.267765581318571,6.568208290642466,4.773911782539285,3.58149334754886,4.422216597563307,5.7975276079723175,8.74065113554799,4.109924116324158,6.49250390407234,5.910006415901839,1.7969736160181422,5.713873509482546,6.857716515476744,5.854150452002038,4.260149789734728,5.723346499239444
4,1,0.3090812222885273,2.1881082071338644,2.45553787496263,-0.8155714588900483,0.6866336312785587,1.7510522955677068,1.6748400836260846,0.604689659666474,2.8251088325042018,2.2683401901275624,4.09045142230201,2.788915494019702,3.465240956863463,4.231132851986796,3.0804002595154283,2.212938198636352,3.4447621171724547,2.6433352535695263,3.180732187457662,6.545053748526981,1.7862864836102479,1.0369344679827697,4.044366639971891,4.13915291730157,4.1999531414368585,3.2831992599322124,3.8634167185778616,5.976505938177483,5.139056185352534,3.1793175703632595,4.436978407626833,4.308048195260887,1.839087595866446,5.521311271367105,5.6944195326827804,2.6739996507558685,4.932315967878392,5.9770087964333065
5,1,3.502168874374034,1.506819936455975,3.2909299787252024,1.116438801140278,1.5615702317769014,3.5250704291500368,2.3057996061926342,1.9341239557997145,1.7283701090826327,1.1076750902155306,3.9377168468390975,4.557213966748819,2.694277654426903,3.404764563820493,2.357795425612519,2.6966063953462047,1.6801308922770497,3.994578907025781,5.744346602483719,1.6994895706601203,3.170977530949129,4.878167822691813,6.114722129863272,4.793232815710595,5.057177908508468,4.67365668855888,4.525682503956297,6.730331667074044,6.014341866832298,5.130580991259816,6.9723102162436446,4.024197520523013,7.144678434384635,6.458036239525857,5.532025185174161,5.108324590001493,6.982920489872458,6.882008549820899
6,1,0.32696237520756666,2.224251183555147,4.335087040753538,1.9553389824999428,3.7754316015348164,0.6299326766755226,2.1479295617466443,1.5537252225566651,1.7260520772525905,4.532320241023926,4.897608180050153,4.212537172807195,2.66107126920946,4.216982424680195,4.272832952264892,3.0951629534005423,3.3834098489142725,3.9836429217151905,4.1400636038698035,3.50399165430343,2.955341235514472,2.278833926211653,3.5682157436610726,7.064514581753809,6.549180319233019,6.244920086216199,5.608290636959083,5.652009080110414,6.171495308651435,4.150925003020893,5.323536820537112,4.088438346873814,2.7390083934783656,2.342637274827029,2.7986574894861413,4.888622477061757,5.2160870470503315,5.420072671907475
7,1,1.829512629748839,2.510082012496575,2.2658306755753133,2.717213744018053,1.3183925215590564,3.656409514521175,4.617464130597271,1.7745599954633535,4.882080907264124,4.39102238305438,0.8888687478277479,2.6413967710122135,2.785546863429099,3.8581378797636976,3.998655883890268,4.04777989890511,2.672632163818917,4.595117045815958,5.701274333363288,3.3003281994067173,4.90938024422175,5.063248367958287,6.817348016465669,5.564690762380263,5.211726493626025,5.988493944882152,5.0450929738342625,3.738980711505505,6.0142034979959185,5.245810601446409,4.1954252666254375,3.6324261041425903,5.3492057200900645,4.836171851046473,6.0181404075575715,4.736451633282708,7.990422340390501,5.17997598518623
8,1,1.7512101192815621,2.149392598520982,1.252465693428582,2.3316355044708827,2.1748064537634075,3.514921647536239,3.4172470932986028,2.852459582947054,2.915340054218501,3.9418882512018945,2.899467616432604,3.773872561188161,3.6067315278180403,4.222312895757767,4.796167577103117,2.9816010102273314,3.3672191132265747,3.5982371476259596,3.032167250887841,4.477966821787667,5.746062547818715,5.53106976620856,2.9367075948984507,4.893250794842984,3.9937147792413716,4.814759779835126,4.674909351875622,4.627318048994229,6.177005308106405,3.7605269151457112,6.22772342909975,5.855615720605769,5.167585329163392,5.6555048684471405,5.188432595596553,4.109152277611657,3.5409737399211134,2.449074072505616
9,1,2.3609139735855336,3.3746002827227666,3.0832412750405047,1.602314133515896,4.002608010069589,4.407959011709517,4.075150917589866,3.6100253627845413,1.7641668399938968,3.7800240547499344,2.1807310256105366,2.1958121469315732,3.65866842989555,1.326424929709297,2.867677016222812,2.692087981086955,2.248144582619126,1.976018640238975,4.209246582584302,4.557307444505533,3.7250453062635644,3.5091390665301367,5.3251263022931274,4.681481125960872,2.8626379550575303,6.279551021144216,4.671077856117828,5.280040687864242,5.132585877917598,3.3509487696642446,4.829342161779847,5.395569167646549,5.386090987136891,5.224205041813797,5.295594890775313,6.316069248021948,5.599620116650766,6.53055358878711
10,1,1.427041335796628,3.663084612779542,1.5981833721866672,3.2544469191101033,1.9907764621507427,0.7914228753377106,2.927718023094638,1.1525523808751745,2.828952722157984,4.330800598316028,3.239875944315755,4.996476259741048,5.964076468889621,2.4954762745180497,5.485449687297705,3.7171670004807655,3.932001883821396,1.9049598956397333,3.0162999802392623,5.510645055820357,1.9121358706604354,4.442977130681368,2.4849386339331057,3.2040664403604993,4.742521098570525,7.299777281427211,4.635177910966835,2.49270968593816,5.942738355245958,4.191052570725769,4.669115851307832,5.6968552958597485,6.758464935079017,4.417830533540838,3.5059596137534736,5.6245860946617166,5.8009459066136175,5.893001648164141
