iteration,chain,data_log_copies[1],data_log_copies[2],data_log_copies[3],data_log_copies[4],data_log_copies[5],data_log_copies[6],data_log_copies[7],data_log_copies[8],data_log_copies[9],data_log_copies[10],data_log_copies[11],data_log_copies[12],data_log_copies[13],data_log_copies[14],data_log_copies[15],data_log_copies[16],data_log_copies[17],data_log_copies[18],data_log_copies[19],data_log_copies[20],data_log_copies[21],data_log_copies[22],data_log_copies[23],data_log_copies[24],data_log_copies[25],data_log_copies[26],data_log_copies[27],data_log_copies[28],data_log_copies[29],data_log_copies[30],data_log_copies[31],data_log_copies[32],data_log_copies[33],data_log_copies[34],data_log_copies[35],data_log_copies[36],data_log_copies[37],data_log_copies[38]
1,1,3.1946875979066407,3.1773667074378316,5.566449312891694,4.059518032910182,4.053848181811706,3.251386036772372,2.3583251302108628,3.0421839532563686,-0.23125734616184865,4.233419883272392,3.253273123854088,3.2975955724526766,2.052450639108111,2.5360921938278285,1.9926983585168363,2.1336040628166177,4.025755052628108,3.9523955624556786,5.5626495683805,4.637903439634605,3.3577831098546738,2.255190221124462,5.420331522118301,4.240569197334607,4.8339286629404405,4.2993937144615515,5.02027343031302,6.497086756010351,6.7755510631684555,4.784066745106345,6.868325626902634,4.680686541707029,4.435097364051454,4.525842432654641,3.6917092212197624,3.7085983223965955,6.331848315391088,5.425867636772925
2,1,3.8148782933760725,2.1306840722693616,1.8529280512657258,1.764313415570672,1.4791877492448398,1.6438779088673339,3.1107528912767552,3.310151318184694,2.1976686316645275,2.871786231143142,3.58530723664897,2.4888648107954525,3.8131089936977607,4.560687177533654,3.533716874453623,1.268731698160042,0.8873886915888302,3.4854313741538383,2.3296293619346375,3.018705660089246,4.0637632809728315,5.017801512944432,4.104626116864794,4.799868387815737,2.4906800962205735,6.334298047156792,3.205796320193332,4.284169615768891,4.500008701799362,5.615578452520065,4.31132752091421,1.6747943292283496,2.90649738198928,3.980086461370796,4.731564769750152,3.853561052887413,4.439972312060167,3.9663761080339976
3,1,5.670365903818555,4.366078643011029,4.976946947897482,3.7323053941262536,4.030728042733506,6.3490848378368625,3.938188042098604,3.6781125780669237,3.9372906904855123,0.34159582301222474,4.176537587737386,4.796273711546534,2.7195785578723233,4.234407196879697,2.324484413453062,5.591616497580195,3.329542879751604,5.317062211033751,2.106883138954474,3.5687204891575397,4.496436770784287,4.350896380162303,5.755139572801096,6.472485374181045,4.8839174828526,3.9530564116087423,4.39473204542287,5.494517775947428,7.764231947575712,4.14594702010358,5.980593854889455,5.6415533039662575,2.397881342058249,5.335167623014645,5.909727835877467,5.082390876917551,3.851596139365277,4.920958686514658
4,1,2.1251584144558953,3.3866865462873554,3.509611200387044,0.47394090623489116,1.3777433989790646,1.9722166545457867,1.7973802710367888,0.3085561288367068,2.1701187103405157,2.02453368414767,4.044117371548156,2.921024847141024,3.3868118582384206,3.522321636796083,3.1732894823925624,2.7018913759773344,3.9861572744244547,3.420369391255988,3.789704482837571,6.969394045205145,2.9073068669615636,2.596790550941713,5.152395157121991,5.103047074958422,4.999440147039377,4.085021015239707,4.442557243837464,6.300588408621287,5.49228233773662,3.622058614109651,4.664303495953682,4.47398090129333,2.3007655346781615,5.513156660172806,5.552251781483058,2.9220906774838027,4.886161320447765,5.943963239241634
5,1,3.5750567312336483,1.8388576952429352,3.214601399208567,1.5934964485544063,1.606294663259962,3.2361229575879547,2.222710352268749,2.071535546449367,1.8267269907404777,1.4246601234321725,3.79948057105498,4.323246645967122,2.9420355080209153,3.7448851200069124,2.919804639667662,3.2395202855635628,2.4937730870735852,4.185191857468186,5.7702809279353104,2.556666275165478,3.645605191608988,4.960800856786654,5.8952814723006215,4.732299088864417,4.951090845471079,4.712415721696671,4.608162842668454,6.400999240524421,5.5788933415455215,4.835157563331048,6.233979014221738,3.757679030063966,6.111222539542384,5.569903508807916,4.75474164935247,4.21786809521977,5.639159988285329,5.4156105133281125
6,1,0.34817540156227594,2.300822533012471,4.400545590254903,2.1370854744314522,3.7313184840335634,1.0963163454538176,2.4750683186352456,1.9860974511810388,1.957391532160321,4.669543534966261,4.82779211009174,4.185737962837827,2.8205582993696106,4.218100888001292,4.198768574670548,3.2305839525856905,3.1685952748425055,3.5786264434409074,3.9237132091097675,3.361865775908397,2.9872319002817527,2.2298716339082683,3.4668989766119207,6.729678491694675,6.400841227033228,6.023331845812692,5.458265326000969,5.366150694201768,5.814479219753719,4.0718143210352,5.159588575807536,4.168552328625492,3.1034063765704207,2.9258075044942933,3.617031633241706,5.511741578932347,5.868770451734446,6.061144214053388
7,1,3.2574074169462968,3.2779497446219716,2.356863117364564,2.7658636215167665,1.4268292927880342,3.6809886697179746,4.387900538869653,1.2734962534061918,4.711538725438238,3.8933183605729114,0.5280179023710082,2.3622831158571507,2.3036318872242934,3.3985811697652544,3.8645052894996477,3.8941397566211773,2.84355203944736,4.823532435936086,5.570896348449157,3.4445255829454218,4.903178749886557,5.38847503485616,6.9724194612908335,5.644706350716978,5.062401573966822,5.871238107232174,5.0137762876956184,4.072070228615348,6.468675728870156,5.737681346522721,4.6142687386374,3.978792921736423,5.57564471464999,4.839091885700326,5.629875898724352,4.3938008984929855,7.733455103466082,4.836635293649658
8,1,1.8434318014347693,2.261597127800336,1.7196192088580404,2.521976866839905,2.450530572554895,3.9429640977922706,3.886850484760311,3.4298471583411687,3.2487227302335273,4.3336823673106615,3.257315903848005,3.9786970916587445,3.775794522991157,4.329351697636223,4.844282741102268,3.162456226090609,3.174671789963179,3.414742695444411,3.068216378842926,4.362072244019652,5.668846777058957,5.225327672385012,2.8011433964967853,4.549215740936849,3.799982726110721,4.460163801586659,4.247191900916247,4.026309819135882,5.371894767042405,2.986026152415475,5.403590622796396,4.973028471458114,4.319747171477299,4.9351235350697635,4.712973921179075,3.7164999949105595,3.1253654204692722,2.0455806418691034
9,1,3.502300805999459,4.019582411643724,3.154263764605214,1.539014197575719,4.088875933038232,4.405786014433228,4.017310507283696,3.34508770794997,1.8873864088587797,3.8671935244926017,2.3271988358549915,2.403806504687634,3.8545541738370552,1.6303285239213154,3.3388410644449524,3.0617646066040254,2.742209731087928,2.6216486253875244,4.827837064355904,5.356162670763064,4.361418069502978,4.3591653533633625,6.093326896525562,5.256815414059049,3.1196554060304518,6.704212681562448,5.083583423787834,5.867776941411198,5.7894473504397235,3.9629235314595754,5.365466108921837,5.98069981345773,5.9167209139508286,5.531278995365877,5.288774681353253,6.268297509058761,5.576317044605423,6.562391319241333
10,1,1.9395944719720115,3.8189575168679695,2.444570323656505,3.7905120983131724,2.570240805572235,1.7471729611896158,3.4651095704722477,2.239728234375941,3.161316136438595,4.578095342469829,3.4247952243847752,4.902245973637607,5.673723002688765,2.628472737288179,5.0231721872920545,3.6226637706141034,3.8777425791486646,2.240859667665458,3.2807851293580645,5.270978618634368,2.317474181443532,4.241754037143604,2.6554686446093183,3.226483093436008,4.6402365975059245,6.803055929271192,4.515578010310536,2.5614291985030637,5.359875975694807,3.806457309203301,4.306522967287696,5.136080797902563,5.998761507634007,4.121310650097113,3.4399616810860465,5.197358000982064,5.295647488952125,5.306285971889371
