iteration,chain,data_log_copies[1],data_log_copies[2],data_log_copies[3],data_log_copies[4],data_log_copies[5],data_log_copies[6],data_log_copies[7],data_log_copies[8],data_log_copies[9],data_log_copies[10],data_log_copies[11],data_log_copies[12],data_log_copies[13],data_log_copies[14],data_log_copies[15],data_log_copies[16],data_log_copies[17],data_log_copies[18],data_log_copies[19],data_log_copies[20],data_log_copies[21],data_log_copies[22],data_log_copies[23],data_log_copies[24],data_log_copies[25],data_log_copies[26],data_log_copies[27],data_log_copies[28]
1,1,4.422547886492284,3.0958182714927878,2.2429367140785708,0.6326946638496995,0.6644891833104714,3.747257138846042,2.0748158352447708,3.0225248465708177,2.3878699425962067,2.348325025699108,2.808170021745286,4.917961271102462,4.039134229535017,3.8324035773739706,3.3152419951193526,2.625370385181689,3.02487346983274,0.4649388221504716,4.4214345685714695,3.7762871819844364,3.2186020353954063,2.7502407981026225,3.2637030090222727,3.163856888158614,3.440490068765268,5.21948415842197,5.177981843132938,6.506482041797012
2,1,5.321651533751551,3.7855365636512506,2.427680536200936,5.058964753512424,3.2396833534734486,3.415239380439541,3.1689009246176125,3.7846168665401727,4.763019272563939,5.0543623717995025,3.19418013423677,4.668686318315071,2.723922991380218,2.817783442127762,2.95391877485385,2.4470227399253597,2.4712920823709035,4.5445580922201145,3.6891991424983805,5.26821468263367,3.4932000183781384,3.32426914010093,3.234398214141409,2.9082600546010604,3.1413608267974844,4.3577155784244885,4.2763697836844425,3.2910711581352228
3,1,3.566618467906867,3.630435713037791,3.046323217428729,3.8377786097634283,4.768075680393187,3.6461980612135583,1.6992297575099469,0.9414942767395005,3.241507678279297,2.17725233987883,2.8724280406896945,3.756024284351158,4.477237645576487,3.5187597786304434,4.098006293173559,2.1056716247655753,5.312043928198026,2.648965849345642,3.5373757035702265,3.864103399623904,4.633638993246699,3.7489671393041664,1.8643924958144664,3.205736339404999,4.242532745902734,5.202745680019866,4.70252426903634,5.316384040255934
4,1,3.48678060361119,4.041971015730319,3.25602923221227,3.2424793472169915,1.7638071021940795,2.409893132172363,4.156540328354806,3.092171847888395,3.006921706502744,3.234732743305574,0.45906905680879645,3.5973869205065268,3.5979600878911335,2.745666781075803,4.1715569881763255,3.049448431538577,5.236219311454937,3.5851467426987016,5.095782119013366,3.015036730065327,3.867386092368562,4.619550347087739,4.085268688573884,5.163239400665114,5.749488785300672,4.712652622149894,3.971967337628078,4.37937323574828
5,1,4.303532438890547,5.808983553566913,2.5706865880182854,3.703293784306228,2.7192529052102707,0.8234087814807265,3.2058870556554835,4.116311445025747,3.4807630897260977,2.530745993910023,3.2574001558487895,2.5536834466558047,3.7332472966644477,4.062345927793007,2.562086621423332,3.3336850537632223,3.964440469312482,3.7226117344864846,2.922818910703798,4.395948731134528,4.0752929834834495,5.542017862431875,4.383914060072049,4.879455579747072,5.21258052684254,4.582575806050452,4.0255324969970285,4.6815315575014225
6,1,3.3034611061376586,3.697944461063665,6.288241151319255,2.8326442660746873,1.6013320625683682,3.7607278122263343,3.671291602337126,4.0788313539286785,2.928733732606405,3.2829623911909325,4.824502170688012,3.8025663619679246,2.299218539515656,2.9615875269718672,2.8197373237650876,0.592733248980065,3.9065211270229745,4.009923945303199,1.6858729366209917,3.396951779760023,4.358988108040255,4.901739292101288,3.2527878481799104,4.551466902463364,2.786692824802875,3.0689699187201955,4.803697535724189,3.6666908141590095
7,1,2.1843592069092006,1.6725563297340749,1.0943318142488287,3.065487901569052,4.058475842807675,2.7251755210004056,3.278356927721247,1.8997197862952653,2.5356596815428585,1.7555536019669,3.7268273204125055,5.385693190378584,1.7976046539329837,3.042282269859048,4.356793518908357,5.477081982028758,3.726410766339995,3.7956037091304435,3.2916077663701917,3.178933704836517,4.820719933475818,4.465819845256133,3.4698594196716184,4.9807600498670555,2.2695080197319055,4.641335121987861,3.8135981609078575,2.850302193691761
8,1,3.1213334480939396,4.148381977024143,3.58576157235967,1.0300801305536145,2.2739029921783085,3.474725220479594,2.0500162061344542,3.592924579134227,1.3235219135315006,2.624308943649532,2.3484129470794683,2.187088529871286,4.307777622740775,4.637469440333162,4.0741391423858175,2.7352614626714344,3.8719398368827744,3.606207273524025,2.589132585718065,2.659885803565469,3.6596817399139114,3.8696875293920154,3.386716705166373,2.7767875304290737,2.197514473097375,3.4002442218995985,5.970619142483458,5.507934805411214
9,1,4.493049547975319,4.0762915635767225,4.079896242558011,4.397287914035721,2.8995139088221946,4.030268043686269,2.821948753969845,1.9533841492615966,1.5310501509426093,1.9721577784732967,3.439100117255225,3.857753920820188,3.9829997475526278,2.570718540778255,3.0053637131267448,2.8559222249464074,3.258380540832345,2.3496288313046128,4.141874944309913,4.790026726557077,2.4801793343857597,4.798651836793366,4.521078076910981,2.397732188648651,3.631405206069618,3.645672508469911,4.519873832544975,4.518065211952509
10,1,3.033749125574061,2.1718762836704335,3.6253287364643305,4.200036875327347,2.606147680740684,3.7621779789464496,3.7607500045759243,4.862604255034436,3.554370382225785,3.3707718549532486,3.902412924619277,3.5005414532133163,2.4812792617259896,3.976453233016216,3.582593502016641,3.033359760536759,2.727027363361188,4.041276904128813,3.7419266174075587,4.588257831152948,3.6055572159124867,6.0173089515354246,4.071311439874768,3.730099931043594,3.940178140330192,3.433146902449798,4.21024809141748,4.394606372636279
