new_time,name,value,.lower,.upper,.width,.point,.interval
1,log_copies,3.122169714624149,2.0186442929353383,4.208796047853801,0.5,median,qi
6,log_copies,2.9772841695208063,1.8998495023360862,4.083626115593214,0.5,median,qi
8,log_copies,2.897825527880142,1.7732126370063535,3.966822851476209,0.5,median,qi
10,log_copies,2.743723621612264,1.6165308689916853,3.8279237889646485,0.5,median,qi
15,log_copies,2.55269657668149,1.4758960975856144,3.65880890816307,0.5,median,qi
17,log_copies,2.446033868997821,1.3130300569934907,3.5105764941913447,0.5,median,qi
22,log_copies,2.3164482193857214,1.1868498128209475,3.5165680156096095,0.5,median,qi
24,log_copies,2.212723751710464,1.0764611938254594,3.3667095684547625,0.5,median,qi
27,log_copies,2.0564402377108246,0.9619783482524837,3.27303687809745,0.5,median,qi
29,log_copies,2.1002336458472257,0.8978700379988074,3.274034208510493,0.5,median,qi
31,log_copies,1.8999629605736441,0.6943774388298046,3.066402897842823,0.5,median,qi
34,log_copies,1.8468277912595612,0.6674123837006769,3.0132452994066155,0.5,median,qi
36,log_copies,1.7534563274007535,0.625374793410747,3.01435125254275,0.5,median,qi
41,log_copies,1.698220976147268,0.45723485758447896,2.9331646675171372,0.5,median,qi
48,log_copies,1.4913261404180957,0.2163912458222829,2.789293844350803,0.5,median,qi
50,log_copies,1.4811718677087569,0.14964936463458195,2.706609714848961,0.5,median,qi
55,log_copies,1.383845165652858,0.12715779091598667,2.7263107461274565,0.5,median,qi
57,log_copies,1.464993192896698,0.01442613203348988,2.750687263350616,0.5,median,qi
59,log_copies,1.4652465121320812,0.21720095572369227,2.690335554676822,0.5,median,qi
62,log_copies,1.4011363869981308,0.08145119846937775,2.7427799922804965,0.5,median,qi
64,log_copies,1.4214613478816203,0.18146797704106504,2.654515605826239,0.5,median,qi
69,log_copies,1.3252041064112108,0.027695344224245126,2.6595754982291613,0.5,median,qi
71,log_copies,1.3746307226043433,0.13919226245462094,2.719836274484647,0.5,median,qi
78,log_copies,1.3015212377762313,0.008230854023016992,2.7054989533970533,0.5,median,qi
80,log_copies,1.3876024659968507,0.05025677044078377,2.6739023961173287,0.5,median,qi
83,log_copies,1.3681984080025984,0.013472139816751952,2.7406145998633313,0.5,median,qi
85,log_copies,1.409758985447926,0.08261181745164871,2.8357159064915134,0.5,median,qi
87,log_copies,1.5036420532225643,0.1764810313071211,2.918374665853759,0.5,median,qi
90,log_copies,1.5012092691390369,0.10790358351489783,2.790943216903329,0.5,median,qi
92,log_copies,1.523894087006703,0.18318004658840434,2.869122618893756,0.5,median,qi
94,log_copies,1.492128579038944,0.13131457634417043,2.9517905731860217,0.5,median,qi
97,log_copies,1.5294828331612798,0.06822095566588848,2.8406599400571073,0.5,median,qi
99,log_copies,1.5725647121883912,0.2540661666555847,2.9255472667936315,0.5,median,qi
101,log_copies,1.539372582490838,0.11955718040771598,3.0053842488129456,0.5,median,qi
104,log_copies,1.58978238593873,0.28027236516243725,3.057796197291592,0.5,median,qi
106,log_copies,1.5608543407658089,0.186672445767156,3.041048948400607,0.5,median,qi
108,log_copies,1.5625996495734769,0.21433022803506196,3.0499464182939082,0.5,median,qi
111,log_copies,1.544458748688519,0.02638882151975253,2.9731780015375233,0.5,median,qi
1,log_copies,3.122169714624149,0.6339569368840228,5.456149991765621,0.8,median,qi
6,log_copies,2.9772841695208063,0.8283730620993363,5.293865216188877,0.8,median,qi
8,log_copies,2.897825527880142,0.5925447792255712,5.033922271005104,0.8,median,qi
10,log_copies,2.743723621612264,0.3942654460268789,5.1282113387924895,0.8,median,qi
15,log_copies,2.55269657668149,0.3236878373288661,4.849443473413915,0.8,median,qi
17,log_copies,2.446033868997821,0.05540208516215269,4.883564439322351,0.8,median,qi
22,log_copies,2.3164482193857214,-0.01094758527047924,4.748748435284582,0.8,median,qi
24,log_copies,2.212723751710464,-0.1918108831887389,4.681826553266815,0.8,median,qi
27,log_copies,2.0564402377108246,-0.3419494793547051,4.429763105196646,0.8,median,qi
29,log_copies,2.1002336458472257,-0.3367159420098126,4.530819190171413,0.8,median,qi
31,log_copies,1.8999629605736441,-0.5877483809792667,4.346683908759373,0.8,median,qi
34,log_copies,1.8468277912595612,-0.7170663276038284,4.446246517656322,0.8,median,qi
36,log_copies,1.7534563274007535,-0.743763120787298,4.343835770608903,0.8,median,qi
41,log_copies,1.698220976147268,-0.7154562861045269,4.230658741953645,0.8,median,qi
48,log_copies,1.4913261404180957,-1.1674653296240372,4.080994480534157,0.8,median,qi
50,log_copies,1.4811718677087569,-1.2723231610193406,3.8724667654544023,0.8,median,qi
55,log_copies,1.383845165652858,-1.301365711084959,4.076975675214557,0.8,median,qi
